cell_id,PC_1,PC_2
c_1_126_1,0.4084905,2.5126555
c_1_126_2,-6.183563,0.48757273
c_1_126_3,-8.743789,-1.3817177
c_1_126_4,3.0326226,0.7688157
c_1_126_5,-3.5527523,0.015758647
c_1_126_6,1.8499088,1.1956898
c_1_126_7,-7.814649,5.737421
c_1_126_8,0.8271204,0.2776867
c_1_126_9,1.6406054,-0.63497233
c_1_126_10,-1.8745748,6.824796
c_1_126_11,2.6370263,0.023503017
c_1_126_12,-2.0606208,1.916229
c_1_126_13,0.55788535,0.4956251
c_1_126_14,1.6991417,0.5756443
c_1_126_15,-0.113681674,-0.7985865
c_1_126_16,-0.36929065,-1.085505
c_1_126_17,-1.7313867,2.840386
c_1_126_18,-2.7351003,1.5579398
c_1_126_19,-2.645478,12.006572
c_1_126_20,-0.18248028,13.116301
c_1_126_21,0.50359386,-0.5403075
c_1_126_22,-2.3661654,11.806247
c_1_126_23,2.1366975,-0.49278954
c_1_126_24,-2.2810547,2.613769
c_1_126_25,-5.532521,-0.6617725
c_1_126_26,1.8845577,-0.3812696
c_1_126_27,-2.7108881,0.026425084
c_1_126_28,2.061068,0.27301505
c_1_126_29,-4.3664145,0.9970051
c_1_126_30,-0.39149505,0.64318776
c_1_126_31,-4.8620725,-0.69037545
c_1_126_32,-4.428491,1.0217693
c_1_126_33,0.05261327,-0.240373
c_1_126_34,0.3312468,0.91426533
c_1_126_35,1.8668314,-0.037292786
c_1_126_36,-1.8722998,-0.9779929
c_1_126_37,0.15949556,1.3666356
c_1_126_38,0.013411953,-0.048062537
c_1_126_39,-0.35806176,-0.8591927
c_1_126_40,-1.6643573,1.4944327
c_1_126_41,1.5563325,0.43215698
c_1_126_42,3.1190588,-0.32864085
c_1_126_43,-2.1325426,-1.1327311
c_1_126_44,1.9769325,-0.52087915
c_1_126_45,0.7373976,-0.07916416
c_1_126_46,3.1120472,0.36727297
c_1_126_47,-2.3790824,-0.7105024
c_1_126_48,3.0692365,0.12612145
c_1_126_49,-0.8757715,-0.9602389
c_1_126_50,2.32141,-0.1828263
c_1_126_51,-4.6737795,-0.44927526
c_1_126_52,-1.2484117,1.0709362
c_1_126_53,-6.6689,-1.4060637
c_1_126_54,-0.7652633,-0.92817485
c_1_126_55,2.5784767,-0.41605905
c_1_126_56,2.301089,0.99287635
c_1_126_57,0.29239127,-0.5536523
c_1_126_58,-5.093847,-1.6849549
c_1_126_59,-0.12074351,-0.83888906
c_1_126_60,-5.21124,-0.1711255
c_1_126_61,0.36403617,-0.9519343
c_1_126_62,-2.3556058,-0.1608981
c_1_126_63,-4.954211,-0.56778276
c_1_126_64,-1.5457166,-1.1795596
c_1_126_65,-1.9778409,-0.49912995
c_1_126_66,-0.8330355,-0.6607343
c_1_126_67,-0.054578327,1.1828829
c_1_126_68,1.031767,0.5328036
c_1_126_69,-2.3511844,-0.79353327
c_1_126_70,1.347477,0.45253247
c_1_126_71,-4.190826,-0.17600778
c_1_126_72,-2.6993732,0.44783506
c_1_126_73,1.1191425,-0.43333328
c_1_126_74,0.69680136,0.38158846
c_1_126_75,-0.24640635,-0.2119506
c_1_126_76,-2.0773127,0.13234448
c_1_126_77,-3.1588123,-1.158688
c_1_126_78,-0.31921804,0.17007898
c_1_126_79,0.4177171,-0.31215936
c_1_126_80,1.9587075,-0.27034563
c_1_126_81,0.33939362,0.5395983
c_1_126_82,3.179399,-0.00025582119
c_1_126_83,1.156858,0.6556794
c_1_126_84,0.61954707,-0.9969269
c_1_126_85,-1.2570406,1.6074791
c_1_126_86,-0.8351,-0.1939318
c_1_126_87,-2.2893064,-0.4617446
c_1_126_88,-6.201669,-0.2525453
c_1_126_89,0.02475767,-0.15498263
c_1_126_90,-4.420371,-1.4882107
c_1_126_91,-5.3539186,1.2144922
c_1_126_92,-1.2265935,-0.27925065
c_1_126_93,-3.1846113,-0.24305908
c_1_126_94,-3.5779588,0.10789472
c_1_126_95,-0.20982951,-0.026637299
c_1_126_96,-4.111152,0.022942446
c_1_126_97,-0.6707172,-0.24515633
c_1_126_98,-1.1129228,-0.54629713
c_1_126_99,-4.23727,-2.2811778
c_1_126_100,0.023221148,-0.16169554
c_1_126_101,-3.898956,-1.714839
c_1_126_102,2.4490335,-0.04919455
c_1_126_103,1.3797787,0.44168097
c_1_126_104,1.9261864,-0.42191398
c_1_126_105,-6.525158,-1.7978104
c_1_126_106,-1.9010485,-1.0609775
c_1_126_107,-1.0693339,0.4761218
c_1_126_108,1.8078831,0.51346755
c_1_126_109,-1.0332223,0.43501562
c_1_126_110,2.1673717,0.07793374
c_1_126_111,-1.1579849,0.27654538
c_1_126_112,-6.2295084,-1.287571
c_1_126_113,3.3812282,0.04010868
c_1_126_114,-3.133787,1.2337159
c_1_126_115,-1.3380494,-1.0866927
c_1_126_116,-2.6285558,2.200975
c_1_126_117,-1.9965007,-0.3681795
c_1_126_118,3.5540555,0.45899233
c_1_126_119,-0.025668252,0.6494831
c_1_126_120,-2.1641219,-0.9355453
c_1_126_121,-1.3505057,-0.98662096
