cell_id,UMAP_1,UMAP_2
c_1_126_1,8.64347,6.323362
c_1_126_2,7.349302,2.0236218
c_1_126_3,6.660696,3.3150916
c_1_126_4,8.549259,7.7672553
c_1_126_5,12.472444,2.999516
c_1_126_6,13.051656,5.765747
c_1_126_7,4.2033987,4.593144
c_1_126_8,7.307553,8.30079
c_1_126_9,10.102777,8.481877
c_1_126_10,3.2943509,5.9043245
c_1_126_11,9.640512,7.983341
c_1_126_12,11.8494005,6.266309
c_1_126_13,7.428913,7.223341
c_1_126_14,8.887512,8.22654
c_1_126_15,13.947037,3.2435267
c_1_126_16,9.090428,7.3214016
c_1_126_17,6.7846837,7.8597536
c_1_126_18,9.830386,6.1817226
c_1_126_19,2.1296256,5.3956823
c_1_126_20,1.8855505,5.2645407
c_1_126_21,12.772777,6.065091
c_1_126_22,2.3867733,5.617209
c_1_126_23,8.867188,7.2241054
c_1_126_24,10.059453,9.048142
c_1_126_25,9.349103,2.860885
c_1_126_26,11.952372,5.167832
c_1_126_27,6.7548,3.752119
c_1_126_28,12.171943,7.978171
c_1_126_29,13.062567,3.934618
c_1_126_30,11.600669,3.4743104
c_1_126_31,10.305097,3.5832188
c_1_126_32,8.404261,4.709549
c_1_126_33,9.944038,4.2580037
c_1_126_34,10.884978,7.2282577
c_1_126_35,7.897368,7.2723994
c_1_126_36,8.062559,5.6452646
c_1_126_37,12.510126,4.6508303
c_1_126_38,13.093748,8.906587
c_1_126_39,7.5994263,5.4878674
c_1_126_40,5.448477,5.322241
c_1_126_41,12.724556,4.5045767
c_1_126_42,7.778057,9.320003
c_1_126_43,10.538177,3.384699
c_1_126_44,10.787725,5.0478244
c_1_126_45,9.29805,5.523053
c_1_126_46,9.17853,7.9707685
c_1_126_47,13.386531,8.363461
c_1_126_48,8.432262,8.757844
c_1_126_49,7.5921416,7.3349724
c_1_126_50,9.453615,6.512739
c_1_126_51,8.376004,2.8975685
c_1_126_52,10.074474,4.1101494
c_1_126_53,6.0332637,6.5295033
c_1_126_54,8.889965,4.83513
c_1_126_55,9.5326185,8.422009
c_1_126_56,11.178903,8.178717
c_1_126_57,10.272885,7.0255876
c_1_126_58,9.454294,2.5979245
c_1_126_59,8.839725,5.194816
c_1_126_60,9.429039,4.008966
c_1_126_61,11.091369,7.005585
c_1_126_62,11.7658205,3.3848445
c_1_126_63,11.785575,2.6446607
c_1_126_64,12.534446,8.228266
c_1_126_65,12.369441,3.971022
c_1_126_66,11.713329,5.495738
c_1_126_67,9.386751,5.9906077
c_1_126_68,8.020879,7.2046957
c_1_126_69,5.8263063,4.249479
c_1_126_70,9.843708,6.964175
c_1_126_71,10.51159,2.7427108
c_1_126_72,10.694091,3.1688461
c_1_126_73,9.6874485,6.6334186
c_1_126_74,12.235502,4.821376
c_1_126_75,10.88011,4.55178
c_1_126_76,10.184151,3.5300527
c_1_126_77,11.147404,2.938722
c_1_126_78,12.8533945,4.4283366
c_1_126_79,10.021095,6.884961
c_1_126_80,9.402374,5.9914637
c_1_126_81,9.992642,5.5055804
c_1_126_82,11.403676,9.530163
c_1_126_83,9.617955,6.110578
c_1_126_84,8.987772,7.7170086
c_1_126_85,10.204592,7.079003
c_1_126_86,13.1736765,6.6315365
c_1_126_87,7.5635796,5.890795
c_1_126_88,10.86045,3.3980424
c_1_126_89,10.695797,5.314315
c_1_126_90,12.336375,4.1759505
c_1_126_91,7.4830437,1.3444922
c_1_126_92,11.180802,4.1412034
c_1_126_93,11.840356,4.410898
c_1_126_94,10.041861,3.2006693
c_1_126_95,11.754997,4.0478888
c_1_126_96,8.072543,5.730917
c_1_126_97,8.162237,5.7847724
c_1_126_98,11.769721,5.5420685
c_1_126_99,8.075788,3.1253653
c_1_126_100,9.40212,4.1955743
c_1_126_101,7.748711,2.0162492
c_1_126_102,10.411599,8.736378
c_1_126_103,10.66448,5.7720275
c_1_126_104,6.505835,4.306576
c_1_126_105,7.8703094,1.9006146
c_1_126_106,11.369814,2.9488025
c_1_126_107,10.664632,2.609033
c_1_126_108,9.176578,7.9390945
c_1_126_109,9.526999,3.0303
c_1_126_110,7.4977684,5.767929
c_1_126_111,13.100051,2.584667
c_1_126_112,9.196602,2.808639
c_1_126_113,8.90772,8.616722
c_1_126_114,11.299427,2.1962495
c_1_126_115,10.833127,3.56092
c_1_126_116,12.472711,5.4155464
c_1_126_117,9.708873,4.768934
c_1_126_118,8.003246,8.496402
c_1_126_119,11.316675,7.661529
c_1_126_120,7.606364,3.7049484
c_1_126_121,10.777367,3.666484
c_1_126_122,10.581473,2.5123994
c_1_126_123,11.588424,9.042437
c_1_126_124,10.470504,5.782846
c_1_126_125,11.398341,8.212351
c_1_126_126,11.721097,9.40835
c_1_126_127,8.761209,7.1204243
c_1_126_128,10.8779,2.1484373
c_1_126_129,11.143446,2.567799
c_1_126_130,9.614138,7.6310587
c_1_126_131,12.74875,4.7910943
c_1_126_132,7.9427752,5.2227187
c_1_126_133,11.85707,3.8567793
c_1_126_134,9.090394,9.383877
c_1_126_135,10.503754,3.8437064
c_1_126_136,5.510543,4.250615
c_1_126_137,10.461508,4.4442434
c_1_126_138,10.807568,9.904209
c_1_126_139,10.929419,3.2413144
c_1_126_140,10.368338,6.4534655
c_1_126_141,12.586447,3.1194491
c_1_126_142,10.643631,4.140851
c_1_126_143,10.645115,7.5464177
c_1_126_144,11.109241,6.4925823
c_1_126_145,10.056255,7.872859
c_1_126_146,14.171197,6.4782224
