cell_id,leiden_cluster
aaaadkhm-1,7
aaabcdob-1,3
aaacnofn-1,0
aaadkiah-1,1
aaadnaml-1,1
aaafanek-1,0
aaafceij-1,0
aaafkenf-1,7
aaafncin-1,0
aaagcehf-1,0
aaagnfpa-1,0
aaajfgid-1,0
aaajpbjf-1,0
aaakffba-1,0
aaaloepk-1,7
aaanafbn-1,1
aaandbhn-1,1
aaanfjen-1,8
aaaobiac-1,7
aaapfnfo-1,0
aaapmpjf-1,1
aaappcid-1,0
aababhdk-1,1
aabaoajd-1,8
aabcdkon-1,0
aabcnice-1,7
aabdldfd-1,7
aabeckah-1,2
aabfbaaa-1,7
aabfgbok-1,7
aabfihac-1,22
aabfpcbo-1,0
aabheogd-1,0
aabiaaac-1,0
aabijngj-1,0
aabjgdmf-1,0
aabkbomg-1,4
aablepid-1,0
aabligfi-1,5
aabljgge-1,7
aabllkkd-1,2
aabmgjkh-1,0
aabofdpb-1,0
aabofjgc-1,0
aaboipii-1,1
aabokhhm-1,0
aabokmmc-1,12
aabpndao-1,0
aacbonol-1,7
aacdnmih-1,5
aaceaolp-1,1
aaceldhk-1,1
aacfjbda-1,0
aacgikoh-1,7
aacgokcc-1,0
aachdcpi-1,1
aacilkfb-1,1
aacjekeh-1,1
aackflpc-1,1
aackphih-1,1
aaclijhm-1,1
aacniink-1,1
aacohjpk-1,1
aacojofe-1,1
aacojphe-1,0
aacpblne-1,1
aacpfjbg-1,1
aacpmbdl-1,0
aadaahkh-1,1
aadamcbe-1,1
aadbmibh-1,1
aadcoong-1,1
aaddbmfb-1,1
aadfjbbg-1,0
aadgnhme-1,1
aadhccob-1,1
aadhgaib-1,1
aadjacjj-1,1
aadjcgkm-1,1
aadlgehh-1,1
aadljogj-1,0
aadlngoc-1,1
aadmoobi-1,1
aadmpagd-1,1
aadohlap-1,0
aadojbpo-1,1
aadokban-1,1
aadokkcl-1,1
aadonija-1,0
aadpmfno-1,1
aaeaapjd-1,1
aaebebmi-1,1
aaecgbkj-1,1
aaedakgk-1,0
aaedjmck-1,1
aaednina-1,1
aaeebine-1,1
aaefcolm-1,0
aaefipoi-1,1
aaeflgog-1,1
aaeglabp-1,1
aaehbhng-1,1
aaehjlid-1,1
aaekaabl-1,1
aaekgmfb-1,1
aaelhhjp-1,1
aaembbhf-1,1
aaemcocp-1,0
aaenclgl-1,1
aaenlago-1,1
aaeocfep-1,1
aaeoebpp-1,1
aaeojedd-1,1
aaepkacn-1,1
aafafgkh-1,7
aafahcdb-1,2
aafanacd-1,1
aafbmgcd-1,1
aafdebkp-1,0
aafebdfm-1,0
aaffgoaa-1,4
aaffnpih-1,0
aafgbljh-1,7
aafgckkc-1,0
aafgpjco-1,1
aafhcbbo-1,0
aafhdaip-1,1
aafjcgaf-1,1
aaflbgec-1,1
aaflcgbb-1,1
aaflhiad-1,1
aaflmdfa-1,8
aafmamel-1,0
aafmkkgk-1,1
aafndljo-1,1
