cell_id,PC_1,PC_2
c_1_1_1,7.373694,5.0507917
c_1_1_2,8.583693,5.856407
c_1_1_3,0.9846422,4.034666
c_1_1_4,5.272524,4.171785
c_1_1_5,3.555659,5.6654196
c_1_1_6,7.796368,3.4585285
c_1_1_7,9.5638275,3.7214305
c_1_1_8,2.1538765,4.7452774
c_1_1_9,12.921386,3.7706323
c_1_1_10,1.0880165,5.5778584
c_1_1_11,5.1666384,4.5887547
c_1_1_12,16.947836,2.621938
c_1_1_13,3.1587234,6.743794
c_1_1_14,5.8359303,6.4661126
c_1_1_15,4.1976094,4.9503803
c_1_1_16,7.3971934,4.5814614
c_1_1_17,6.0347514,5.1503987
c_1_1_18,9.032942,5.160659
c_1_1_19,5.0325985,7.235654
c_1_1_20,3.660093,5.8527956
c_1_1_21,5.630517,6.255529
c_1_1_22,3.879625,4.998303
c_1_1_23,9.594913,6.310272
c_1_1_24,15.050873,4.2116203
c_1_1_25,3.109138,6.771633
c_1_1_26,5.7985897,7.721863
c_1_1_27,10.387004,3.8870888
c_1_1_28,5.722511,6.823919
c_1_1_29,-0.060547598,5.7449822
c_1_1_30,6.914305,6.0323234
c_1_1_31,7.971849,4.08242
c_1_1_32,15.923276,2.6609137
c_1_1_33,1.0266254,4.4517083
c_1_1_34,15.534746,1.8859468
c_1_1_35,8.523153,4.007602
c_1_1_36,8.804904,6.43993
c_1_1_37,7.056241,5.9348874
c_1_1_38,2.797175,4.708356
c_1_1_39,14.603127,3.6907096
c_1_1_40,2.354336,4.5271997
c_1_1_41,1.747473,4.649691
c_1_1_42,6.589604,6.3730774
c_1_1_43,-0.261744,3.4613857
c_1_1_44,5.6403284,4.3346868
c_1_1_45,6.0851054,4.4446807
c_1_1_46,3.511961,5.866954
c_1_1_47,9.408715,6.0637817
c_1_1_48,2.8311658,3.7703338
c_1_1_49,6.7490854,6.4179306
c_1_1_50,0.5632759,4.97301
c_1_1_51,12.9286,3.3747396
c_1_1_52,7.4496894,4.077712
c_1_1_53,2.8057885,5.325
c_1_1_54,7.4552813,5.6928153
c_1_1_55,6.013494,4.096311
c_1_1_56,8.6289215,2.6715655
c_1_1_57,3.8055887,3.9144282
c_1_1_58,6.0084844,4.781464
c_1_1_59,7.0486474,4.3866625
c_1_1_60,6.9204216,5.7323527
c_1_1_61,8.179104,5.6408663
c_1_1_62,4.6494765,4.4696727
c_1_1_63,8.68572,5.8107295
c_1_1_64,7.19844,6.859804
c_1_1_65,9.762977,4.2362514
c_1_1_66,9.972962,5.07503
c_1_1_67,6.1275115,5.811678
c_1_1_68,14.94351,3.5896144
c_1_1_69,1.9179552,4.1424017
c_1_1_70,10.235645,4.6231008
c_1_1_71,8.5106125,4.6415615
c_1_1_72,7.319213,6.449819
c_1_1_73,8.492706,5.3794556
c_1_1_74,3.7383192,4.6254025
c_1_1_75,11.058805,5.341831
c_1_1_76,7.78566,4.6354785
c_1_1_77,2.4667344,5.3705215
c_1_1_78,5.2932067,4.6016936
c_1_1_79,1.9875139,4.6761556
c_1_1_80,6.859476,5.72829
c_1_1_81,6.5536942,3.668816
c_1_1_82,8.95341,5.745244
c_1_1_83,10.365571,5.5110497
c_1_1_84,7.6149397,4.9396224
c_1_1_85,6.986012,4.182014
c_1_1_86,7.0482473,6.478349
c_1_1_87,3.9046454,3.9717166
c_1_1_88,5.295023,4.651991
c_1_1_89,13.167019,3.2628615
c_1_1_90,5.625746,6.3855963
c_1_1_91,9.279558,4.987874
c_1_1_92,4.9207397,3.941941
c_1_1_93,3.1711712,4.3782806
c_1_1_94,8.6066065,3.7516947
c_1_1_95,5.4650364,5.032291
c_1_1_96,14.966555,2.715154
c_1_1_97,6.8281894,5.7218246
c_1_1_98,7.288837,5.7977033
c_1_1_99,5.1968446,4.251678
c_1_1_100,4.4593363,5.1088614
c_1_1_101,8.910227,6.832322
c_1_1_102,4.4246764,5.7824287
c_1_1_103,7.648536,5.4540095
c_1_1_104,6.287706,5.489572
c_1_1_105,8.556775,5.015251
c_1_1_106,2.9162729,5.404855
c_1_1_107,9.933144,3.0785964
c_1_1_108,5.1327834,5.1922984
c_1_1_109,6.997014,4.456041
c_1_1_110,7.8716173,6.4104857
c_1_1_111,12.045962,5.7905064
c_1_1_112,6.4860334,6.3980193
c_1_1_113,4.4560366,4.909934
c_1_1_114,7.8062615,3.4747314
c_1_1_115,8.996988,6.9902287
c_1_1_116,9.103172,5.7772517
c_1_1_117,13.78437,3.9027112
c_1_1_118,10.505653,3.6564307
c_1_1_119,12.041589,3.269972
c_1_1_120,7.8563724,4.5334353
c_1_1_121,7.774846,6.379015
c_1_1_122,2.6469772,4.4276443
c_1_1_123,7.6956954,4.640631
c_1_1_124,5.2723083,5.536274
c_1_1_125,5.1132107,3.5922046
c_1_1_126,8.029186,3.6207945
c_1_1_127,8.356809,4.2448034
c_1_1_128,7.5433517,4.1486497
c_1_1_129,8.03057,3.605451
c_1_1_130,4.418738,5.7191863
c_1_1_131,3.2246552,4.936775
c_1_1_132,8.7978,4.460539
c_1_1_133,4.511548,4.1788692
c_1_1_134,9.299609,3.245367
c_1_1_135,6.506718,4.0102806
c_1_1_136,5.4641247,4.5744395
c_1_1_137,7.1946144,4.0236263
c_1_1_138,7.426287,3.8505232
c_1_1_139,7.767675,4.3652124
c_1_1_140,5.9571376,3.3260186
c_1_1_141,8.175697,5.1558514
c_1_1_142,8.569414,3.6320908
c_1_1_143,9.008209,2.9747534
c_1_1_144,8.277875,6.1448765
c_1_1_145,8.233573,5.2814775
c_1_1_146,4.873927,3.8741333
c_1_1_147,9.340224,4.4996996
c_1_1_148,12.072755,2.0156972
c_1_1_149,5.7953424,5.4413543
c_1_1_150,16.106575,2.570258
c_1_1_151,6.0583935,4.9813776
c_1_1_152,9.6116705,4.544703
c_1_1_153,8.948226,4.2097936
c_1_1_154,8.535877,5.4493685
c_1_1_155,9.76324,4.1140695
c_1_1_156,2.549298,5.6211123
c_1_1_157,4.2435427,4.1550703
c_1_1_158,8.039353,4.2536016
c_1_1_159,10.061657,5.364964
c_1_1_160,4.300252,4.5861287
c_1_1_161,11.308391,3.633096
c_1_1_162,7.505783,4.3166766
c_1_1_163,7.749441,4.564832
c_1_1_164,4.2742076,4.4814606
c_1_1_165,14.983019,2.619017
c_1_1_166,25.333412,-0.044004157
c_1_1_167,21.801472,1.4717178
c_1_1_168,20.259142,0.9625004
c_1_1_169,10.766166,2.1995304
c_1_1_170,11.557807,1.864765
c_1_1_171,5.135265,2.2381287
c_1_1_172,10.281021,4.3663626
c_1_1_173,12.040535,4.661359
c_1_1_174,9.656564,3.4074376
c_1_1_175,7.158669,3.5876508
c_1_1_176,13.257498,4.393519
c_1_1_177,7.7462463,4.662925
c_1_1_178,10.21696,3.6807241
c_1_1_179,11.85852,2.2738047
c_1_1_180,6.5590644,3.9835315
c_1_1_181,8.441623,5.145047
c_1_1_182,12.549606,3.1302264
c_1_1_183,13.755983,5.521024
c_1_1_184,6.5177875,5.1978045
c_1_1_185,7.351565,4.560713
c_1_1_186,8.547879,4.2786927
c_1_1_187,8.124578,4.7883167
c_1_1_188,6.2739153,5.793915
c_1_1_189,10.6194515,4.867248
c_1_1_190,6.6956515,3.2955291
c_1_1_191,7.4395795,2.8257113
c_1_1_192,5.860539,3.9941452
c_1_1_193,7.030604,2.6135137
c_1_1_194,8.1760435,3.5043147
c_1_1_195,17.099833,2.0066273
c_1_1_196,5.396832,4.8066697
c_1_1_197,4.7419887,4.561743
c_1_1_198,10.657549,3.0141582
c_1_1_199,11.469219,2.3257663
c_1_1_200,8.498452,4.1463833
c_1_1_201,9.499056,6.5625687
c_1_1_202,3.2448459,3.7981136
c_1_1_203,7.510889,5.5713997
c_1_1_204,24.489899,-0.5636875
c_1_1_205,12.035472,3.0218136
c_1_1_206,6.9408765,4.69459
c_1_1_207,10.169343,2.7739236
c_1_1_208,11.288177,3.8813775
c_1_1_209,14.883695,3.7933867
c_1_1_210,11.166863,2.8083744
c_1_1_211,11.213372,4.8276005
c_1_1_212,9.256313,2.4590724
c_1_1_213,13.700798,2.2951028
c_1_1_214,9.658063,3.036203
c_1_1_215,14.487951,2.7596512
c_1_1_216,17.387342,2.1973736
c_1_1_217,19.420433,0.475981
c_1_1_218,8.986976,2.1469727
c_1_1_219,13.187184,1.9435687
c_1_1_220,8.77599,2.7578065
c_1_1_221,13.625095,3.6757894
c_1_1_222,7.001797,7.242104
c_1_1_223,15.977835,1.7823634
c_1_1_224,8.415462,2.3319056
c_1_1_225,6.0116544,5.326493
c_1_1_226,11.24548,3.626509
c_1_1_227,1.1010448,4.2986226
c_1_1_228,13.019956,3.7143757
c_1_1_229,8.742032,4.869371
c_1_1_230,10.641735,2.9373965
c_1_1_231,5.108871,4.6162796
c_1_1_232,6.681727,4.5394797
c_1_1_233,8.883827,4.1532874
c_1_1_234,11.0963125,2.5614567
c_1_1_235,5.9372444,3.0119615
c_1_1_236,1.584903,4.2831206
c_1_1_237,18.97284,1.3743185
c_1_1_238,5.6253223,4.6356187
c_1_1_239,10.743385,6.4407234
c_1_1_240,4.6499047,2.46484
c_1_1_241,9.403844,3.5458393
c_1_1_242,10.017415,3.5945015
c_1_1_243,9.286676,5.48838
