cell_id,UMAP_1,UMAP_2
c_1_1_1,0.079629935,-1.0768292
c_1_1_2,0.97230834,-1.0659785
c_1_1_3,-0.8517732,0.43048373
c_1_1_4,-0.36287722,-1.4828376
c_1_1_5,-0.16025805,-0.3653024
c_1_1_6,-0.3385762,-2.1298544
c_1_1_7,-0.09368413,-2.4427235
c_1_1_8,-1.0451869,0.3739404
c_1_1_9,2.105804,-2.8089843
c_1_1_10,-0.9570043,0.18648556
c_1_1_11,0.5350176,-0.79556465
c_1_1_12,1.6009324,-3.954635
c_1_1_13,-0.00014611306,-0.13767543
c_1_1_14,0.5221312,-1.3236157
c_1_1_15,-0.60597354,-0.43516073
c_1_1_16,3.2219715,-1.6395528
c_1_1_17,3.691571,-1.3379412
c_1_1_18,-0.5241223,-1.2979925
c_1_1_19,0.016036144,-0.64107186
c_1_1_20,-0.15493383,-0.30323058
c_1_1_21,0.37987664,-1.0662717
c_1_1_22,-0.24863537,-1.0170628
c_1_1_23,1.9444748,-1.6060308
c_1_1_24,1.4698217,-3.766791
c_1_1_25,-1.1034577,-0.102311485
c_1_1_26,10.459517,-1.466022
c_1_1_27,2.019855,-1.5866205
c_1_1_28,0.30362052,-0.9135091
c_1_1_29,-0.5667593,1.2923495
c_1_1_30,0.7531701,-0.92053795
c_1_1_31,1.5257566,-1.1676016
c_1_1_32,1.4988745,-4.0154977
c_1_1_33,-0.62565297,0.55116904
c_1_1_34,1.358927,-4.249316
c_1_1_35,1.8432804,-1.0899034
c_1_1_36,1.4769574,-2.328741
c_1_1_37,1.4173133,-1.5169504
c_1_1_38,-0.31407985,-0.31720576
c_1_1_39,1.3677121,-3.949459
c_1_1_40,-0.5819223,-0.18154679
c_1_1_41,-0.81455946,0.40053332
c_1_1_42,0.83851,-1.4016861
c_1_1_43,-0.57193154,1.4119186
c_1_1_44,3.8957634,-0.9464618
c_1_1_45,-0.5500582,-1.050303
c_1_1_46,-0.41946205,0.1834349
c_1_1_47,0.35299832,-1.9358758
c_1_1_48,1.8492835,-0.74497265
c_1_1_49,0.56824267,-1.4266194
c_1_1_50,-0.9286201,0.40946034
c_1_1_51,1.4931589,-3.7668679
c_1_1_52,-4.8276587,-7.104583
c_1_1_53,-0.27396935,-0.6528983
c_1_1_54,0.9693799,-1.0071893
c_1_1_55,-1.3909085,-0.7852124
c_1_1_56,-0.26194584,-2.5165
c_1_1_57,-0.9799155,-0.37979245
c_1_1_58,-0.44343504,-0.80498505
c_1_1_59,1.7517844,-1.3263769
c_1_1_60,0.43651125,-1.5657138
c_1_1_61,0.55182815,-2.2263815
c_1_1_62,-1.1016529,-0.48342082
c_1_1_63,0.43409356,-1.7502838
c_1_1_64,0.5159883,-1.3650664
c_1_1_65,0.43240538,-2.8533118
c_1_1_66,0.0734916,-2.5831094
c_1_1_67,0.364914,-1.3423924
c_1_1_68,1.5122727,-3.860183
c_1_1_69,-0.831202,0.21612383
c_1_1_70,0.16272666,-2.456457
c_1_1_71,-1.3104404,-3.1217148
c_1_1_72,0.87686265,-1.6054943
c_1_1_73,1.9361303,-2.521282
c_1_1_74,-0.06695213,-0.6277162
c_1_1_75,1.5941923,-2.3825734
c_1_1_76,0.9678389,-1.9618804
c_1_1_77,-0.04643866,-0.29773545
c_1_1_78,-0.34660342,-0.7528551
c_1_1_79,-0.44945276,0.7829287
c_1_1_80,0.5392858,-1.4971039
c_1_1_81,-0.70089495,-1.7467884
c_1_1_82,0.5903873,-1.7489125
c_1_1_83,1.7481034,-2.0722587
c_1_1_84,-0.4570747,-1.5144947
c_1_1_85,-0.416357,-1.3575257
c_1_1_86,0.45026118,-1.1478149
c_1_1_87,-0.27733755,0.107306
c_1_1_88,0.1329873,-0.8826322
c_1_1_89,1.9403845,-2.4358184
c_1_1_90,0.41883418,-0.91242605
c_1_1_91,-0.22110759,-1.6968216
c_1_1_92,1.9640772,-0.93032175
c_1_1_93,-0.4609,0.35700908
c_1_1_94,-0.20350772,-1.884965
c_1_1_95,-0.46429375,0.59620744
c_1_1_96,1.4587718,-3.9269373
c_1_1_97,0.60284984,-1.1919167
c_1_1_98,0.43354213,-1.3592291
c_1_1_99,4.0972333,-0.36790347
c_1_1_100,-0.31349975,-0.7310555
c_1_1_101,1.2711041,-1.5154265
c_1_1_102,-0.5715341,-0.24065644
c_1_1_103,-0.09545933,-1.1216577
c_1_1_104,-0.80039704,-1.6311448
c_1_1_105,0.16523302,-1.8468624
c_1_1_106,-0.43826732,-0.12124867
c_1_1_107,0.05992034,-2.809979
c_1_1_108,0.609976,-1.0002582
c_1_1_109,-0.626769,-0.8373521
c_1_1_110,0.7589511,-1.6008265
c_1_1_111,2.1365616,-1.5909103
c_1_1_112,0.451727,-0.5401645
c_1_1_113,-0.37515333,-0.35190746
c_1_1_114,1.7622677,-1.8356831
c_1_1_115,0.4957289,-1.6965915
c_1_1_116,2.1454935,-0.9014285
c_1_1_117,1.2628894,-3.742183
c_1_1_118,2.320711,-1.811576
c_1_1_119,2.3346326,-1.7924472
c_1_1_120,-0.5513617,-1.3956999
c_1_1_121,0.47216523,-1.7167245
c_1_1_122,-0.6152665,0.32280427
c_1_1_123,-0.2539577,-1.9937102
c_1_1_124,-0.1287248,-0.76364607
c_1_1_125,-0.79286206,-1.2816615
c_1_1_126,1.4890237,-1.9576973
c_1_1_127,-0.10865677,-1.9809635
c_1_1_128,0.7252361,-1.0421051
c_1_1_129,1.0295333,-1.8335732
c_1_1_130,-0.08876184,-0.514327
c_1_1_131,-0.12749138,-0.38504425
c_1_1_132,-1.2802593,-3.707159
c_1_1_133,-1.024876,-0.95574844
c_1_1_134,2.4355779,-1.7760253
c_1_1_135,0.82493025,-1.5678695
c_1_1_136,-1.0109537,-0.95782566
c_1_1_137,0.50269246,-1.6359417
c_1_1_138,3.4299006,-1.6633567
c_1_1_139,1.4512784,-1.8271949
c_1_1_140,-0.91529083,-1.4160523
c_1_1_141,0.37427488,-1.7414583
c_1_1_142,-4.3709197,-8.419209
c_1_1_143,1.3225887,-2.2576523
c_1_1_144,0.46321854,-1.6965147
c_1_1_145,1.5135356,-2.3190775
c_1_1_146,-4.2881336,-2.528744
c_1_1_147,-0.27147147,-2.9582903
c_1_1_148,0.65515095,-3.801528
c_1_1_149,-0.21960811,-0.7049337
c_1_1_150,1.1076962,-4.777417
c_1_1_151,-0.75436515,-1.3105633
c_1_1_152,0.4200968,-2.277533
c_1_1_153,-0.10420522,-2.3119612
c_1_1_154,0.52745205,-1.7111127
c_1_1_155,2.1526778,-2.2043154
c_1_1_156,-0.36299822,0.35004494
c_1_1_157,-0.29323688,-0.47328582
c_1_1_158,-0.10411191,-2.2318714
c_1_1_159,2.1686003,-1.6068969
c_1_1_160,0.10681052,-0.44468728
c_1_1_161,0.42072955,-3.2264528
c_1_1_162,-0.30584374,-1.6684412
c_1_1_163,-0.101850845,-1.8937325
c_1_1_164,-0.36496565,-0.5133638
c_1_1_165,1.4474874,-3.9619765
c_1_1_166,1.4345734,-5.5458336
c_1_1_167,1.4541979,-4.974255
c_1_1_168,1.4466617,-4.8075366
c_1_1_169,0.24438545,-3.1211247
c_1_1_170,0.59617925,-3.3001812
c_1_1_171,2.0901027,-1.1172197
c_1_1_172,0.2792698,-2.7956946
c_1_1_173,0.37855947,-5.262726
c_1_1_174,-1.3627813,-3.797435
c_1_1_175,-0.67895156,-1.3984154
c_1_1_176,0.63865054,-3.335578
c_1_1_177,0.035551198,-1.6302888
c_1_1_178,-0.00093790237,-3.1122108
c_1_1_179,1.8414915,-2.6257715
c_1_1_180,-0.9568271,-1.6913905
c_1_1_181,-0.6106782,-2.9522357
c_1_1_182,1.9030987,-2.6621091
c_1_1_183,0.97326636,-3.3236153
c_1_1_184,-0.71554345,-1.1815014
c_1_1_185,1.469943,-1.6154112
c_1_1_186,-0.41517514,-2.0218313
c_1_1_187,0.4455879,-1.8710663
c_1_1_188,-0.75766206,-0.32293102
c_1_1_189,2.4929514,-1.5837812
c_1_1_190,1.1577107,-0.85005236
c_1_1_191,2.276081,-1.4277755
c_1_1_192,1.0253297,-1.4090571
c_1_1_193,-0.6228283,-1.6775471
c_1_1_194,2.5537658,-1.6647699
c_1_1_195,1.4695165,-4.3554587
c_1_1_196,0.13838834,-0.7822607
