cell_id,4-1BB,B7-H3,CD123,CD14,CD163,CD27,CD31,CD38,CD39,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,NF-kB p65,PD-L1,Tim-3,VISTA,Vimentin,iNOS,pan-RAS
c_1_29_1,-0.0074550034,1.411435,-0.64896977,1.80868,0.91673493,-1.1519175,-0.18829334,-1.9169569,1.2639515,-1.1743531,0.7542017,-1.2920153,-0.28069046,-1.1887591,-1.4741542,-0.7834067,-0.76502025,-1.2574897,-0.68636096,1.0385108,-1.7255851,-1.470413,1.2293082,-2.3180997,-0.8619263,2.1779726,-1.8803259,1.9621935,-1.8698589,1.3121076
c_1_29_2,-1.2243273,1.7292343,-1.6103188,-1.0414788,0.32469162,-2.6453903,2.5086474,0.9046648,-0.32435665,-0.8575396,-0.29473644,-1.582625,-0.8217277,-3.2756414,-1.690035,-1.9629817,-1.0290614,-1.3606716,-0.77354413,1.950967,-0.60507977,-1.1000973,0.54637843,-2.7998724,-0.9384268,1.9266806,-1.574949,1.2059143,-2.1079571,1.2150245
c_1_29_3,-1.1702843,0.1916029,-1.9803708,-2.344918,-1.3102555,-3.1176548,-1.6189646,-2.1700644,-1.6909658,-2.3286216,-1.332065,-1.746902,-0.30763733,-3.5043943,-1.8113251,-2.8331802,-1.2673081,-2.4365907,-0.45128793,-1.6785697,-0.8255567,-0.8876892,-1.9826345,-5.4384203,-0.9190722,-0.7599876,-3.0077274,-0.72041726,-2.0504003,-2.3883157
c_1_29_4,-0.72888184,1.3701311,-0.7076371,-1.5737348,-1.241533,-3.0031428,-1.9205222,-2.398045,0.2821193,-2.3565228,0.18602079,-0.32933995,2.513028,-2.883807,-0.32775176,-0.056554154,-0.4627762,-1.473256,0.6872084,-0.68759555,-0.5344886,-0.36779666,-2.5877392,-3.4881988,-0.61184335,0.98912257,-2.7724123,-0.8552393,-1.7707582,0.4360702
c_1_29_5,-0.1852784,0.068305425,-0.09526359,-1.7682782,-1.9207592,-2.8213801,-2.2561903,-2.7505727,-2.2001996,-2.1801333,0.056256816,-0.35249934,1.0980705,-1.8690983,-0.09482621,-0.13046663,-0.20931964,-1.5021656,0.711635,-1.5266538,0.053718016,0.53886735,-3.4343843,-4.8507104,-0.34196195,-0.3402819,-2.5235338,0.028020483,-2.2627296,-1.829145
c_1_29_6,-1.5889498,1.4672502,0.4838828,2.0574095,0.670573,-2.7111824,-0.11368405,-2.2571654,1.4309735,-1.0829027,3.267425,-0.90582824,-0.29862097,-1.5123595,-2.2147775,-0.79102653,-1.0290614,-1.7542524,-0.98752105,-0.5108967,-2.5148942,-1.493681,4.5720363,-2.2739809,-0.9908121,1.6178656,-1.833873,0.88718915,-1.282383,-0.18568319
c_1_29_7,-1.0390533,1.8434033,-0.40888363,1.6922429,0.40017995,-2.7453437,-0.92870104,-2.5525382,1.1269996,-0.9884076,2.7208433,-0.081267826,0.12973568,-2.0522504,-1.5542762,-0.82552326,-0.90757316,-1.4863573,-0.77137625,-0.55285585,-1.7458904,-0.8177913,4.2989745,-2.3165214,-0.53120637,1.5856956,-2.2787519,0.14847715,-1.4378828,0.600056
c_1_29_8,0.37604025,2.3631876,1.6780183,3.9707716,-0.91198677,-1.9726919,-0.48691672,-0.9083273,1.0748001,-0.8615674,0.537027,1.0369152,2.8398237,1.1722847,1.0368718,2.1126716,0.42361778,0.090157084,2.3025527,-1.7298782,0.9297456,1.3844163,-0.10190366,-0.62947357,-0.0250636,1.6122943,-0.66329503,-0.5343457,0.06008564,1.4845488
c_1_29_9,-0.8144095,1.2747662,-0.8342416,0.24817453,-1.0854548,-2.896283,-1.0924957,-1.9788065,0.18844093,-1.4303429,0.29445875,-1.2020099,3.0168636,-1.885571,-0.5151971,-1.8389233,-0.17164102,-1.3883723,0.020700445,1.3051988,-0.91158956,-0.61922556,-2.3206851,-3.5965378,-0.08564655,-0.81334907,-2.1067936,0.54281306,-3.5291197,0.059182856
c_1_29_10,0.38305578,1.6428386,1.0545775,1.4051192,1.3641742,-1.7446635,0.48091412,0.0830934,1.0630591,-1.0374473,1.419183,1.461384,3.098517,1.3669208,1.4557483,2.2232108,1.1157869,0.905727,2.121762,1.0920405,1.3939517,1.8283004,-1.0611025,-0.7261284,1.0981717,2.2397864,-0.5967135,1.6103116,1.5288222,1.6902739
