cell_id,4-1BB,CCR7,CD11b,CD123,CD138,CD14,CD163,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,PD-L1,PD-L2,STING,VISTA,Vimentin,iNOS,p53,pan-RAS
c_1_39_1,-0.10913988,0.62497264,-0.6061288,0.6501322,-0.37516293,-0.24681996,0.11131493,-0.08795931,0.5079351,0.24675854,0.49604866,0.29562703,0.1544616,-0.10384343,-0.28013894,0.7833443,0.057712425,0.24367185,-0.51343805,0.33780798,-0.70539653,-0.015845723,0.62332624,-0.08058711,1.6019716,-0.5792506,1.0744665,-0.4581713,0.032410044,0.64818126
c_1_39_2,-0.67524105,-0.5821809,1.2684481,0.41401595,-0.6961542,0.6763631,-0.3057673,0.004079571,-0.52540565,-0.9384118,0.48982787,-0.85044265,-0.69487745,-0.8969862,-0.8068602,0.14956327,-0.6633702,-1.2644148,-0.32379586,-0.6613564,-1.3982472,1.1685731,-0.8547436,-1.2009398,0.04976827,0.5200755,1.4322709,-0.52280575,-0.5582514,0.37359655
c_1_39_3,0.37925127,2.54645,0.09647695,0.41016006,-0.48413688,0.34597617,-0.4991221,0.5556393,0.88067085,0.17923029,0.10889503,0.64491236,0.37313733,0.4253352,0.2385974,0.31261486,0.05509345,0.16975667,-0.55420244,-0.065917015,0.107892744,0.33444092,-0.09983537,0.19410829,-0.13585235,0.4859316,0.87013775,-0.40478116,0.36600983,0.18188488
c_1_39_4,-0.3310031,0.9464144,-0.8885149,-0.7182419,-1.2646389,-0.10151787,-1.5070897,0.5992683,-0.05089318,-0.30439505,-1.4370627,-1.4334913,-0.79838866,-0.27877074,1.5000718,-0.46101633,-0.16220419,-1.2302071,-1.1826439,-0.3540124,-0.8378848,-0.45568904,-0.03584442,-0.50762373,-0.90802854,-0.77268016,0.15209559,-0.6349708,-0.08295702,-0.06316935
c_1_39_5,0.11020568,1.2894493,0.039418485,-0.120606974,-1.22719,0.44531423,-0.09302864,0.54317886,0.009004908,-0.44883114,-0.91154796,-0.5961353,-0.5257403,-0.5540676,0.22169834,1.0713936,-0.2954304,-0.86341995,0.024228202,-1.1131221,-0.55571306,-0.38562357,-0.536768,-1.196366,0.022243364,-0.2776765,0.34392232,0.016940644,-0.7466591,-0.22934732
c_1_39_6,-0.118496284,1.5326056,1.0098997,0.41530007,-0.3173332,0.8458263,-0.004042855,0.63375044,0.6239068,0.717185,-1.1129009,0.5552067,0.5464208,0.94311285,0.9518418,0.19550316,0.8473085,1.2415587,1.1595458,0.42429495,0.9928558,0.18643013,0.32277244,0.31598648,0.12038148,0.634345,0.5329316,0.090031095,0.2918466,-0.26183268
c_1_39_7,-0.20962824,-0.0958976,-1.0203756,-0.1837113,-0.7793054,-0.11715166,-0.6654456,0.46806285,0.3261239,1.6575938,-1.5403578,-0.45890343,-0.01948805,0.020594638,1.1676307,0.07054492,-0.564626,-0.008725367,0.077886775,0.649549,-0.46921262,0.91222626,-0.1193125,-0.06051091,-0.0137726255,-0.6068424,-0.098326415,0.717116,-0.086334266,-0.15976346
c_1_39_8,-0.966828,1.0730289,-0.35544392,-0.49248916,-0.833108,0.022539437,-0.70214796,0.8536616,-0.061844867,1.1735615,-0.7099017,-0.6768442,-0.20310868,-0.3271827,2.499311,-0.32453525,-0.14231105,0.09345287,0.30973613,-0.14081283,-0.2920985,-0.27934188,-0.7828164,-0.57212573,-0.95335484,-0.27648368,-0.2609127,-0.5158282,-0.68978786,-0.58096653
c_1_39_9,0.69760185,0.19426218,2.5776932,-0.74695,-1.198613,0.089405656,-1.7985609,1.0324167,0.32212788,-0.6673873,-1.2299658,-0.59960103,-1.1685112,-0.35494652,1.8061833,-0.6543783,0.6340253,-1.5107749,0.20015897,0.1148527,-1.3536422,0.2577872,-0.70997137,-1.1600457,-1.3459667,-0.886506,0.17969875,0.22186625,-1.1213511,-1.0509924
c_1_39_10,0.40348813,-0.08133803,0.71050555,0.8569228,-0.061214637,1.5869476,0.31548277,0.3776091,1.3389505,0.6100433,0.45534015,0.464079,0.062563576,0.56635594,-0.066128865,3.2353127,0.7939184,0.720626,0.20428295,-0.13155933,0.116449594,1.1147261,0.9887467,0.44672102,1.4960493,1.6952116,1.004331,3.7622552,0.6570677,1.2575226
c_1_39_11,0.5210287,0.7106723,0.69420993,0.1383682,-0.72385657,1.6777841,-0.37892625,0.677152,0.5204494,0.2887275,0.26653597,0.29952866,-0.73766494,-0.032206412,1.1292259,1.0134319,0.56307787,-0.682323,-0.46960124,-0.41233766,-0.62368613,0.40113363,0.13613604,-0.4136725,0.12086625,0.34102985,0.39383048,-0.93650836,-0.74002886,0.14054622
c_1_39_12,0.3286297,1.6140778,0.319679,0.24247742,-1.3962516,0.6341422,-1.071135,0.9348852,0.5864614,0.7381657,-0.7032805,-0.81122756,-0.56715417,0.08047857,1.6545101,0.31460834,-0.31655815,-1.2053143,-0.6449773,0.8554065,-0.5781659,1.0466778,-0.5822897,-0.08462061,-0.27279902,0.29110938,-0.16217904,-0.84555775,-1.2922238,-0.03972975
c_1_39_13,0.43397087,2.0211277,-0.16708368,0.5923063,-0.06985759,0.471001,0.044588868,0.34374157,0.60851026,0.8065013,0.5985642,0.5838147,0.7234636,0.48660883,0.9440816,0.3881682,0.80077577,0.719061,-0.27347434,0.37122738,1.4115336,1.398963,0.39635628,0.10530099,0.43056065,0.42809176,0.8863726,-0.12413361,0.11783592,0.67294306
c_1_39_14,-0.2030957,1.3336854,0.56760216,0.83322674,-0.40004528,0.2404487,-0.12352105,-0.029888231,0.19126806,-0.0040511154,-0.52142334,-0.2227623,0.19607411,-0.06738365,-0.60337466,0.14437217,-0.12960397,-0.009791038,-1.0250772,-0.42433786,0.63616043,1.029211,-0.60789305,-0.76113385,0.077068076,0.05568593,0.75469327,-0.98537034,-0.5871073,-0.70684725
c_1_39_15,0.6411691,0.7884879,0.26531097,1.1966927,0.12573963,0.18693694,-0.09070068,1.0212877,0.8542371,1.9662759,0.26540312,0.98727363,0.61023694,0.7426702,1.4629691,0.061941523,0.4745867,0.8314292,0.9274317,0.6388341,0.37008175,0.38417047,0.41987324,0.6647318,0.38071898,-0.009757491,-0.01691696,0.57078785,0.75008005,-0.2609484
c_1_39_16,-0.63135743,-0.4211,-0.45104364,-0.26029247,-0.4463799,-1.0055776,-1.3727379,0.78243864,0.10497073,0.03697354,-1.2117589,-0.027689593,-0.52948207,0.21127023,0.46773896,0.12380403,-0.54300815,-0.47616336,-0.72451955,0.6518723,-0.42639613,0.12256339,-0.7556218,-1.2024665,-0.40424955,-0.6673784,-0.4961075,-0.27976865,-0.024594253,-0.25962338
c_1_39_17,0.85217917,-0.12537827,2.266953,-0.020448282,-1.1727283,0.27236447,-0.22012635,1.3679605,0.44852838,-0.43482023,-0.5461818,0.19243097,-0.92039084,-0.44464707,1.276224,-0.27525908,0.68264306,-0.3521943,-0.046655733,-0.07297339,-0.8772915,0.9478865,-0.14110874,-0.6831784,-1.1070893,-0.67166555,0.09945566,-0.18799005,-1.0514404,-0.38106936
c_1_39_18,-0.78989375,0.15660045,0.576295,-0.16900346,-0.25388083,1.0381197,-0.30833772,0.74223936,-0.15373324,0.10715677,-0.886567,-0.3803417,-0.044140484,-1.0111514,0.35077053,-0.07204418,-0.35780427,-0.795543,-0.58327574,0.20513754,-0.802171,0.061843444,0.014347113,0.072182484,0.49323535,-0.03735188,0.72274244,0.2141799,-0.8680094,0.61799747
c_1_39_19,0.643842,1.1351504,1.6439928,-0.32194152,-0.5032524,0.38280222,-0.13774052,0.91010076,0.3272646,-0.5682263,-0.8600692,0.39803776,-0.46740362,0.10361528,0.7410242,0.25949842,0.13632491,-0.69368845,0.4095557,1.3488203,-0.47056302,1.0433184,1.2731353,0.12124203,0.90096444,-0.38153332,1.3015472,0.26079398,0.11160911,0.4739145
c_1_39_20,-0.05163368,0.10801319,-0.4801428,1.0416554,-0.45490637,-0.008608516,-0.04922046,0.8539771,0.37405205,0.5125755,-0.14538176,0.68881583,0.31548625,0.083680406,1.5880976,-0.109339,0.67443305,0.81945467,1.0014869,0.15001117,0.41027725,-0.10369851,0.6500669,0.4549952,0.057146415,-0.1581398,0.31240878,-0.28719932,0.1754532,-0.3833961
c_1_39_21,-0.026844574,0.9126118,1.2485287,-0.3639197,-1.2116662,-0.04312727,-1.4672192,1.0968072,0.17845583,0.3917873,-1.1658107,1.111944,-0.021864826,0.5913403,0.3828898,-0.35364962,-0.039661463,-0.053906865,-0.27880186,0.46404135,0.2342858,0.26365814,-0.07620688,-0.7059481,-1.0171435,0.16153282,0.37367353,-0.57521915,0.18757105,-0.8240861
c_1_39_22,-0.43167964,-0.9985698,-0.21219184,-0.37098646,-0.6575542,0.890176,-0.24996793,0.53181696,0.5220085,-1.2904208,-0.2889689,-0.11998197,-0.6771428,0.2659008,0.39085987,-0.069476135,0.22242357,-0.8911262,0.52755946,0.07853075,-0.28958488,-0.7340493,-0.6415193,-0.4216636,0.016486049,-0.52911264,0.6520671,-0.27976865,-0.8037492,-0.35103154
c_1_39_23,-0.5367208,0.78452796,0.25176963,0.3396963,-1.185634,0.6560161,-1.498166,0.79390407,0.096714884,0.4816588,-0.40992448,-0.865512,-1.0541337,0.33057603,-0.15437272,-0.2500035,0.19900376,-1.3064983,-0.7794931,-0.8181129,-0.09629128,-0.4133966,-1.0428127,-0.902196,-0.92837936,0.2001714,0.07206526,-0.4676647,-0.8878551,-0.5683395
c_1_39_24,-0.29654372,1.2045994,0.24382788,1.124728,-0.4193071,1.6714188,0.18426311,0.8722918,0.7487707,0.29300773,-0.48320958,-0.04796423,-0.778013,-0.66774976,0.45533642,0.30695227,0.37137035,-0.9491211,0.10414882,-0.32793188,-0.35189933,0.79946816,0.04527903,-0.20850785,0.12798429,0.17416592,0.8000926,0.089005835,-0.6173574,0.361766
c_1_39_25,1.447552,0.7240504,0.679614,1.4875891,0.24949835,0.5133623,1.0784672,0.97675776,1.2120421,2.1023633,0.85584813,1.4862496,2.3323212,1.2810013,2.074983,0.33243287,1.4167019,2.1402812,1.0014869,2.1482854,1.8747698,0.6448011,2.0234108,1.2738429,-0.31052324,0.5626218,-0.5580998,0.9551559,1.8601485,0.040511236
c_1_39_26,-0.63438815,0.032554623,-0.67668873,-0.2384063,-0.6650348,-0.29924068,-0.8096435,0.5642091,-0.052258868,0.6505075,-0.33008525,-0.1483602,0.22837676,0.4160678,1.1496971,-0.25144908,-0.2596134,-1.0396986,-0.26286516,-0.0040188823,-0.87253016,0.1038512,-0.940026,-0.5588608,-0.8630449,-0.7237822,-0.010158011,-0.22130923,-0.8715,-0.033705965
c_1_39_27,-0.22111104,-0.0861782,0.0064384425,0.36603075,-0.22203326,0.52095866,0.24887665,0.13200565,0.84668654,0.64945143,-0.2059374,0.6899626,-0.27287155,0.3379192,0.19443709,1.3248742,0.41611817,0.50619656,-0.58118415,0.13015606,0.03395332,0.31074822,-0.0043726335,0.60834825,0.8811039,0.48928636,1.1492981,0.31641403,0.14873335,1.6822643
c_1_39_28,-0.87812054,0.5349422,0.34578213,0.2534719,0.037965417,1.2756064,0.3499333,0.8814267,-0.15158334,-1.1281949,-0.25543308,0.0096178,-0.4056636,-0.033872385,0.774343,0.076383114,0.34694666,-0.42604643,0.9432191,0.73346853,-0.935151,0.56345654,0.19320971,-0.5194527,0.23022415,0.15469958,0.34581527,0.020128982,-0.10669713,0.6370588
c_1_39_29,2.4341574,1.8535713,1.7300512,2.5841906,1.5259421,1.0873767,2.556263,1.0884632,1.6614915,3.172446,1.8969882,2.2701013,3.0247712,2.2800467,3.0157623,0.61078715,2.9423802,3.4262147,1.7463927,1.9320507,3.1812003,0.7041166,2.4610558,3.3846345,1.2828457,2.1418123,0.6916101,2.319033,2.707425,1.3921386
c_1_39_30,0.16589743,0.015851762,0.33928823,0.8191154,-0.42773294,0.69241494,0.28047594,0.13787703,0.59801596,0.3437923,0.29133108,0.5754977,0.06410468,0.11471983,0.10741527,0.90240574,0.7303532,0.27222317,-0.35873052,-0.2703408,-0.20196173,-0.08692485,0.23960458,0.3582753,1.5254124,-0.020329125,1.1361798,-0.8064416,-0.266887,1.1023854
c_1_39_31,-0.2888713,0.9327877,-0.5413116,0.022115897,0.39178482,1.2767401,0.13030884,-0.06874056,0.36455354,0.28689098,-0.48472762,-0.61524606,0.2833794,0.040963057,1.1122489,0.77208775,0.23222128,-0.31915292,-0.2841441,-1.4047958,-0.00049348414,0.15596028,-0.18520178,-0.3819416,0.5972481,0.06691343,0.3131935,0.25231454,0.7745756,0.6009228
c_1_39_32,-0.43625346,0.024981488,0.01027128,-0.45375404,-0.74801075,0.8412152,-0.46291128,0.38770795,0.038650792,-1.0989357,-0.5229633,-1.1089096,-1.1375123,-0.24365264,-0.6829269,-0.05924724,-1.064804,-0.52206427,-0.8337381,0.61960405,-1.2816477,0.022175083,-0.23223494,-1.2162446,0.2112529,-0.08377211,0.62116176,-0.7366803,-1.1919895,-0.03090047
c_1_39_33,-0.7920803,0.57105494,-0.11343992,-0.0051620775,-0.6435939,0.8059586,-0.6776108,0.17525002,0.08970363,0.42327088,-0.08622358,-0.1937013,-0.4987482,0.09963959,0.20298608,0.19154772,0.11593805,-0.25324407,-0.26110327,-0.7318755,-0.3364943,0.7189306,-0.3947863,-0.50055057,0.25055018,0.5577548,1.3241941,-0.06560216,0.31131738,-0.014134567
c_1_39_34,0.068642385,-0.16884114,0.105019376,-0.17226402,0.1117875,0.60148615,-0.37892625,0.22097646,0.3392015,0.70533705,-0.2974217,0.9463458,-0.0029006707,0.8883625,1.1937191,0.313944,0.88450193,-0.7985188,-0.22966208,4.6170936,0.2946679,0.17318064,-0.22546922,0.042505,0.35858053,0.17028673,-0.23219976,-0.4406609,0.0802359,0.696565
