cell_id,UMAP_1,UMAP_2
c_1_39_1,0.2636705,2.6362195
c_1_39_2,1.0690924,2.3676934
c_1_39_3,0.9161811,0.8584161
c_1_39_4,0.44110936,-2.4926138
c_1_39_5,0.06316162,-1.4293646
c_1_39_6,-0.51280713,1.2413033
c_1_39_7,-0.93928665,-1.9497459
c_1_39_8,-1.082994,-2.391428
c_1_39_9,-1.4011202,-2.197471
c_1_39_10,-0.9618658,3.7780845
c_1_39_11,-1.1998142,1.3039134
c_1_39_12,-0.774313,-1.0680052
c_1_39_13,-0.295168,1.3942616
c_1_39_14,0.24522625,-0.117312625
c_1_39_15,-1.1889658,1.4361454
c_1_39_16,-0.59686065,-2.8212163
c_1_39_17,-2.35438,-1.5014822
c_1_39_18,-0.56167006,0.6180335
c_1_39_19,-2.2646012,-0.111941814
c_1_39_20,-0.7422679,0.28597185
c_1_39_21,-0.7465751,-1.9307806
c_1_39_22,0.22907797,0.015273107
c_1_39_23,0.76010096,-1.9936789
c_1_39_24,-0.03670574,1.2146765
c_1_39_25,0.77113295,3.317714
c_1_39_26,-1.3441839,-3.0793412
c_1_39_27,-0.22214887,3.1545515
c_1_39_28,-1.1575264,0.44631392
c_1_39_29,3.122539,7.4535537
c_1_39_30,-0.14945711,2.8046992
c_1_39_31,-0.66427344,1.9056036
c_1_39_32,0.08329724,-0.35699725
c_1_39_33,-0.02446086,1.3499166
c_1_39_34,-1.6784211,-0.14941017
c_1_39_35,0.6908114,-1.7149926
c_1_39_36,-1.1543958,-2.5676618
c_1_39_37,-1.071715,-0.8450825
c_1_39_38,0.12511034,-1.3577956
c_1_39_39,-1.2059835,-1.605619
c_1_39_40,1.0516434,2.4154792
c_1_39_41,0.014367622,0.9104094
c_1_39_42,0.70565265,-2.4167416
c_1_39_43,-0.086513035,1.5777521
c_1_39_44,0.7605473,1.4997786
c_1_39_45,-0.9337284,-0.72763234
c_1_39_46,1.2808326,6.685469
c_1_39_47,-2.1869442,1.0359623
c_1_39_48,0.08799153,-0.83473974
c_1_39_49,0.20464103,-0.6348811
c_1_39_50,-0.5012898,-1.8969305
c_1_39_51,-1.0763767,-2.477909
c_1_39_52,-1.5974232,-3.4120936
c_1_39_53,-1.4571337,-2.7908356
c_1_39_54,0.83648694,2.18196
c_1_39_55,-1.0030082,-1.1425967
c_1_39_56,-0.97145873,2.0552886
c_1_39_57,-0.76485974,-1.5824797
c_1_39_58,-0.21665384,2.9372482
c_1_39_59,-1.5556147,0.6236467
c_1_39_60,-0.5233221,-0.7251704
c_1_39_61,-0.2844494,-1.0047305
c_1_39_62,-2.289211,-1.7814797
c_1_39_63,0.9987117,1.9475021
