cell_id,4-1BB,CCR7,CD123,CD127,CD138,CD14,CD15,CD163,CD31,CD38,CD45RA,CTLA4,FABP4,GITR,GZMA,GZMB,ICOS,IL-18,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Rb IgG,TCF7,Tim-3,Vimentin,p53
c_1_1_1,0.7469283,0.9145841,0.9835144,-0.29056782,0.14665928,-0.092353396,1.5230907,2.1137192,1.3210645,0.4731136,-0.07117128,1.3612316,-0.0635334,1.2001693,1.5419097,0.4159356,1.112926,0.31319043,1.5642881,1.17535,1.739233,2.2093916,0.9115048,0.936638,1.3478813,1.7465173,0.92869586,1.6254283,2.1356027,0.52728677
c_1_1_2,0.36953166,0.35749117,0.61178994,-0.23913598,0.10039998,0.30994248,1.2877373,1.8912421,1.136454,-0.07902255,0.064094685,0.7326006,0.504382,0.77711934,0.9373149,0.15114169,0.7809101,-0.028073005,1.3233747,1.17535,1.182708,1.5979701,0.6362651,0.746126,1.0738355,1.1209786,0.7448905,0.8803624,1.769151,-0.37038636
c_1_1_3,0.042562194,-0.46560445,-0.46370292,-0.46836853,0.9772349,-0.8879708,-0.16858003,-0.6365144,-0.81297475,-1.0909975,0.23527794,-0.07761339,1.8590686,0.28287378,0.34157634,0.5265406,0.5795781,-0.6648393,-0.59230435,1.8647147,0.54069006,0.76202554,-0.15169197,0.11238542,1.1261263,0.8137784,-0.13604397,0.009807433,-1.060407,0.16772924
c_1_1_4,1.2560829,1.4200759,1.5825263,-0.3441077,0.4723667,0.03241263,2.4716933,2.4100773,1.500984,-0.6538948,0.36879414,1.7276716,0.6755452,2.1304069,2.143961,0.542447,1.6086483,0.6141623,1.7197698,1.9210669,2.3285959,2.7429433,1.342547,1.9702806,1.871582,2.516976,1.2691603,0.8612523,0.91349185,1.6828675
c_1_1_5,0.9091323,0.9604927,1.5666288,0.38031614,0.49736127,0.25677505,1.6288177,2.4920743,1.6935593,0.5674351,0.49243262,1.3320944,0.5016835,1.1984558,1.4562302,0.94715536,1.363482,0.13682184,1.9491076,1.457514,1.7251194,1.8085073,1.0580901,1.3924592,1.3427142,1.7628455,1.0293883,1.5103829,2.1129873,0.47377095
c_1_1_6,-0.15579462,-0.5294997,-0.42788383,-1.2434236,-0.059024733,0.8071747,0.2678154,0.55574393,-0.5899754,-1.2281138,-1.0440803,-0.50819796,0.16034396,0.041052956,0.3741036,-0.8155768,0.4315496,-1.1982033,0.06708453,0.2944206,0.71845454,0.45851642,-0.46362007,0.041900672,-0.039048135,0.87203103,-0.41682497,-0.17986166,-0.8860482,-0.8438148
c_1_1_7,0.09039656,-0.39543414,-0.19264837,-0.59526,1.3111371,-1.1057279,1.0168439,0.031705454,-0.35426962,-0.9400878,0.3280051,0.42774773,1.6476693,0.72947276,0.7600971,0.91893595,0.5399741,-0.6193905,0.26229158,2.1372538,0.60888857,0.8789025,-0.07794763,0.45136774,1.1689413,0.9419424,0.3707611,0.1513196,0.3237266,0.03526953
c_1_1_8,-1.0652083,-1.6148556,-1.8238287,-2.9603584,-0.7630202,-2.45541,-0.721654,-1.8313098,-1.8840568,-2.4849617,-2.3648582,-1.5226189,-1.3800999,-0.5480328,-0.5565492,-2.7059956,-0.9220379,-1.839538,-1.5182489,-1.2679954,-0.9567042,-0.8175052,-1.7112696,-1.1564506,-1.6498271,-0.24344867,-1.0779862,-1.8370912,-1.8223394,-1.8281146
c_1_1_9,-0.7253264,-0.67424273,-1.0861236,-1.6468245,0.4988958,-1.4579021,0.24236801,-1.5598121,-1.3766546,-1.9759462,-0.99168473,-0.16502069,-0.09972962,-0.25350255,-0.27181718,-1.9580983,-0.510763,-1.1776996,-0.82781607,0.5214183,-0.381739,0.07796093,-0.8307117,-0.76479995,-0.37695798,-0.31635454,-0.8521815,-0.57459235,-0.9843771,-1.4215969
c_1_1_10,0.23208503,0.12751278,0.08530127,-0.38103724,0.20360476,0.5243527,0.89828587,0.57844126,0.5856463,-0.555475,0.12158189,0.38814798,1.0537342,0.4032558,0.4507974,0.16094829,0.3145108,-0.39516923,0.70190513,0.6693625,0.6661082,0.7317127,-0.08489926,-0.16696845,0.49697068,0.83654106,0.13652939,0.32196686,0.747628,-0.14652069
c_1_1_11,1.2551981,0.8461962,1.1057,-0.66507035,0.033194605,-0.013653425,1.8256214,1.8153108,1.1778444,-0.4303218,-0.090019286,1.1604476,0.38271344,1.689635,1.3215915,-0.017277477,1.0997261,0.21001215,1.4234598,1.2853872,1.8957872,2.3030293,0.64928323,1.4342884,1.4376334,1.8843001,0.8351157,1.0156991,1.592015,0.882182
c_1_1_12,0.23319224,0.15359694,0.06662027,-0.59344476,-0.078831054,0.22405839,0.36614737,1.5601597,0.5613682,-0.45780292,-0.36384487,0.52449316,-0.58986425,0.4850273,0.21668835,-0.21831623,0.032819815,-0.40880576,0.75611395,0.31173238,0.8911888,0.6952894,-0.19541849,0.45136774,0.39181095,1.3503572,0.096224055,0.7619875,1.8995636,-0.45789683
c_1_1_13,0.1450622,-0.23838194,-0.29344591,-1.5609556,0.74947757,-1.184238,0.48194674,0.59216636,-0.3586733,-1.81457,-0.9524424,0.31377473,-0.4947306,1.12628,0.54186004,-1.2747155,0.33539873,-0.8892669,0.11279436,0.21161126,1.1435221,0.92229986,-0.37621343,-0.037001226,-0.06540852,0.7171382,-0.24491407,-0.6831468,-1.0125446,-0.25186038
