cell_id,PC_1,PC_2
c_1_1_1,4.0473247,4.356757
c_1_1_2,2.7058833,3.354504
c_1_1_3,-2.055333,4.810754
c_1_1_4,5.310395,6.202556
c_1_1_5,5.763492,4.1165338
c_1_1_6,-3.2165074,2.6617293
c_1_1_7,-0.17716521,4.3024926
c_1_1_8,-13.000738,1.9100603
c_1_1_9,-7.9169693,3.239273
c_1_1_10,0.08611014,3.1702385
c_1_1_11,3.417648,5.038457
c_1_1_12,-0.0028969005,2.6517458
c_1_1_13,-4.662555,4.2100444
c_1_1_14,-4.4554234,1.8016047
c_1_1_15,-9.003903,2.9311082
c_1_1_16,5.6705337,5.009075
c_1_1_17,-0.86289966,3.5760038
c_1_1_18,1.5106949,3.6156132
c_1_1_19,7.069084,6.5680776
c_1_1_20,2.5121527,4.6873164
c_1_1_21,-3.0002482,3.4310782
c_1_1_22,1.2378104,5.997477
c_1_1_23,-4.8403535,3.474078
c_1_1_24,-6.050706,1.8668487
c_1_1_25,-13.79497,-0.33519298
c_1_1_26,-1.9283357,3.1005538
c_1_1_27,-7.179248,1.8037136
c_1_1_28,3.84033,5.540186
c_1_1_29,0.629156,5.6423917
c_1_1_30,-0.035596553,3.251439
c_1_1_31,-1.2844789,3.7889683
c_1_1_32,-10.143415,2.2879598
c_1_1_33,-13.551809,-0.26659358
c_1_1_34,-0.56451255,4.7981195
c_1_1_35,5.4685082,4.3802423
c_1_1_36,-7.169024,0.78014874
c_1_1_37,5.4894333,4.2111597
c_1_1_38,3.4133098,5.0038223
c_1_1_39,2.8277957,3.7183228
c_1_1_40,-2.471495,1.8503672
c_1_1_41,-13.186326,0.07337081
c_1_1_42,-9.313567,-0.76026237
c_1_1_43,-8.600839,2.837879
c_1_1_44,-1.981402,1.2560697
c_1_1_45,-2.3213496,2.9730284
c_1_1_46,4.822638,5.114254
c_1_1_47,6.792319,4.9479613
c_1_1_48,0.12072658,3.4321032
c_1_1_49,-2.474272,2.3021886
c_1_1_50,-1.7821823,3.7126594
c_1_1_51,0.40958947,2.751028
c_1_1_52,-0.031051012,3.6399593
c_1_1_53,1.613907,5.2556663
c_1_1_54,-13.265934,0.97425586
c_1_1_55,-2.0016232,4.123285
c_1_1_56,-2.0040035,4.8385315
c_1_1_57,-13.703772,1.5788853
c_1_1_58,-2.8494585,1.709562
c_1_1_59,0.20214574,5.5341034
c_1_1_60,-2.5491629,1.7597935
c_1_1_61,-0.18582956,4.849916
c_1_1_62,1.0724559,3.251743
c_1_1_63,-0.990524,3.59677
c_1_1_64,-5.9423723,2.2589998
c_1_1_65,4.5124087,5.4884176
c_1_1_66,-6.5301366,2.5696578
c_1_1_67,0.24839069,3.3687594
c_1_1_68,-1.446624,4.7809362
c_1_1_69,-0.4474182,3.0774713
c_1_1_70,2.633489,4.065908
c_1_1_71,-5.909225,2.7644825
c_1_1_72,-5.735721,2.799608
c_1_1_73,1.4291153,4.1132517
c_1_1_74,3.7793655,5.3320484
c_1_1_75,-0.22050968,4.6542997
c_1_1_76,3.7801247,5.646439
c_1_1_77,3.489683,5.6279955
c_1_1_78,1.0492563,3.2515411
c_1_1_79,1.0568255,2.6637232
c_1_1_80,-7.887696,1.6934209
c_1_1_81,6.658675,6.3841496
c_1_1_82,4.8192163,5.91715
c_1_1_83,-1.4260007,2.7834985
c_1_1_84,3.1615055,4.845293
c_1_1_85,0.055670768,2.362178
c_1_1_86,0.69649065,3.4573433
c_1_1_87,-2.1749704,2.2836428
c_1_1_88,8.187672,6.319422
c_1_1_89,2.0048862,3.8844707
c_1_1_90,1.2782228,4.9933763
c_1_1_91,-8.780152,0.27551922
c_1_1_92,-3.2496417,3.1708868
c_1_1_93,5.7762065,5.1214185
c_1_1_94,-4.5815187,2.5477645
c_1_1_95,-8.648662,-0.9410855
c_1_1_96,-4.862403,3.7223341
c_1_1_97,-10.217586,2.8031974
c_1_1_98,0.2667238,3.4801497
c_1_1_99,8.658475,6.6433473
c_1_1_100,0.7093762,3.754546
c_1_1_101,-3.8172982,4.1488028
c_1_1_102,-5.011939,4.0695033
c_1_1_103,6.792307,5.3117156
c_1_1_104,-7.5776796,-0.2022892
c_1_1_105,-6.9065547,1.5093558
c_1_1_106,-4.9257383,3.8829563
c_1_1_107,4.7267833,5.077374
c_1_1_108,-6.3030863,2.6711428
c_1_1_109,-9.189334,1.1199613
c_1_1_110,5.831069,5.0718846
c_1_1_111,12.621998,7.641539
c_1_1_112,-6.493291,2.3671935
c_1_1_113,3.4881034,4.3559065
c_1_1_114,7.1405725,5.1319327
