cell_id,4-1BB,Bcl-2,CCR7,CD123,CD14,CD15,CD16,CD31,CD34,CD39,CD40,CD45RA,CD68,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IgD,Ki-67,LAMP1,PD-1,PD-L2,VISTA,Vimentin,iNOS,pan-RAS
c_1_20_1,-0.20822996,1.2895675,0.16375825,-0.3512277,-0.16623418,-0.88952416,-1.025628,0.04386777,-0.912647,0.55872333,2.12165,2.4822881,-1.4971766,-0.6627864,-0.4812273,-1.4194754,-0.65015906,1.0351369,-0.23447604,-0.5267469,2.5945017,1.2536145,-0.021111503,0.39043415,0.43462846,-1.4361315,-0.80833745,0.5236102,0.37071916,-0.018573243
c_1_20_2,0.7669301,0.57574517,-0.5118397,-1.2123926,-0.3812079,-0.86184114,-0.95039356,-0.3296124,-1.1719074,-0.29477558,0.32593867,1.0281478,-1.6388464,-1.2988112,-0.30690897,-1.5242271,1.6073515,0.3871321,1.0804645,-0.75172496,-0.85421854,-0.1722059,1.3196439,0.37405947,1.6332381,-1.1690961,-1.3557929,0.52512896,-0.99786866,-0.2706406
c_1_20_3,-0.5446254,1.1454109,0.26652047,-0.16948625,-0.13677032,-0.39187446,-1.0726655,-0.35795265,-0.8956011,-0.38497165,0.87931263,1.2901633,-2.0627308,-1.378531,-0.18135838,-0.60296726,-0.9344058,0.80302656,0.9678023,-0.57550347,-0.7845733,0.08384955,1.2505596,-0.30372274,0.95681006,-1.280987,-0.96598333,0.42342553,-0.36692798,0.21285765
c_1_20_4,0.28231406,1.2133133,1.5565048,-0.62299645,1.447367,-0.89751303,-0.256993,-0.4797387,-0.69195116,0.7260669,0.8803782,0.28454414,-0.9150364,-1.0195163,0.0079192715,-1.4238428,-1.0587648,0.13987775,0.5706104,0.6062626,1.0754769,-0.08623863,-1.2812656,0.5395347,0.4021865,-0.7523874,1.2118741,0.7792748,0.33596334,0.0074676685
c_1_20_5,-0.8588413,1.4140174,0.2576008,-0.4911228,-0.56011754,-0.733167,-1.5536531,0.28467607,-0.9270219,0.18838581,1.8247478,2.4418876,-1.5666922,-1.0753988,-0.1301736,-1.6194295,-0.51484627,0.36653835,-0.8646544,-0.44755918,1.1988493,0.8930868,-0.5157324,-0.19626603,-0.34387177,-0.48683,-0.23275386,0.5000448,0.45240918,-0.38083407
c_1_20_6,-0.09089466,1.2281779,0.22293295,-0.2427384,-0.035103846,-0.8776075,-0.7657277,0.042337272,-1.1455013,-0.3431275,1.8476306,1.4719801,-1.3295823,-0.9840798,-0.41930914,-0.90858793,-0.4895298,0.79117745,0.40766326,-0.48279083,-0.37086055,-0.05704433,0.46967873,0.55265737,1.5873879,-0.43178707,-0.117834516,0.8678708,0.19049388,0.34122178
c_1_20_7,0.07097345,0.5341151,2.5844102,0.28075454,0.71850055,-0.9176432,-0.9651392,-0.16010815,-0.8215032,0.09807587,0.43702888,0.4018279,-1.5339351,-1.4375769,0.028604109,-1.3945152,-0.71355665,0.5572019,2.153121,0.41326523,0.55489665,0.181335,-1.4169314,-0.62138855,1.616635,-1.523224,0.45838088,0.21416245,0.43277895,0.018392418
c_1_20_8,-0.06941126,0.75294125,1.0656364,-0.6248549,0.061651178,-0.8776075,-1.0380267,-0.44881788,-1.1063039,0.23210907,1.2557751,1.0592678,-1.4003283,-0.8812455,-0.4771497,-1.2600859,-0.9871903,0.94955546,0.23745544,-0.58652693,1.2890896,0.2898885,-0.8694125,0.13753742,0.28771678,-1.3481436,0.24421838,0.39582556,0.15505156,-0.50095475
c_1_20_9,-0.58273244,-0.5677498,0.7855691,0.0050461516,0.26950797,-0.8423269,-1.3407446,-0.7888052,-0.24748652,-0.3593242,1.1743832,1.2143768,-0.43624818,-1.0524509,-1.044306,-1.8089291,-0.5011784,0.40808067,0.16964082,-0.9880522,-0.46835387,-0.4403169,-1.8551785,-0.1779443,-0.73861617,-0.94808674,-0.3495643,0.18533583,-0.021746004,-0.3413967
c_1_20_10,1.0461149,1.6705046,3.2079725,-0.7508315,0.52105373,-1.5643554,-1.0790507,-0.62069815,-0.28489268,-0.615397,0.7553355,0.3735608,-1.3702939,-1.11564,0.32581592,-1.2641768,-1.2039442,0.34292147,1.1778634,1.1263494,-0.33193696,-0.7224936,-0.7721571,-0.25853187,0.122391164,-1.3635025,0.5166617,0.44893917,0.21619214,-0.191249
c_1_20_11,-1.8535817,-0.5774379,-0.49066895,-1.362236,-0.05088114,-0.65808886,-1.1920202,-1.6064886,0.5990295,0.49875012,0.99106795,0.33146784,-1.5580584,-0.074940786,-0.70580304,-1.6988486,-1.1932502,-0.043487415,-1.4021807,-0.600405,-0.9745159,-1.6100817,-1.3425344,-1.619428,-0.35338214,-0.8149958,-0.9975014,0.43134028,0.25353914,-1.0927603
c_1_20_12,4.223451,1.4864613,3.926301,0.08772842,-0.18169904,-1.2214522,-1.1444601,0.93399924,0.9209622,0.44723,2.077848,1.5396059,-1.4745578,-0.04977112,1.4571543,-1.275462,-0.79212976,0.18926772,-0.009455461,2.6375263,0.5654665,0.2716637,0.74360836,0.17740846,0.013710938,-0.6281936,1.398186,0.675297,0.14431559,0.35767058
c_1_20_13,0.9807081,2.1979523,0.82358,-0.02942859,-0.31434023,-1.0565174,-1.1081296,-0.42071173,-0.75641066,0.32151207,1.720349,2.5085828,-1.5370309,-0.7841544,0.37716174,-0.7009197,-0.61708015,0.54132193,0.5284565,0.33429897,-0.30506858,-0.04594889,-0.17541431,0.8189848,1.0418596,-0.537465,0.11752182,0.640631,0.5365392,-0.0072040088
