cell_id,cell_type
c_1_20_1,Lymphoid-B
c_1_20_2,Lymphoid-B
c_1_20_3,Lymphoid-T
c_1_20_4,Lymphoid-T
c_1_20_5,Lymphoid-B
c_1_20_6,Lymphoid-B
c_1_20_7,Lymphoid-T
c_1_20_8,Lymphoid-B
c_1_20_9,Lymphoid-T
c_1_20_10,Lymphoid-T
c_1_20_11,Lymphoid-Other
c_1_20_12,Lymphoid-Other
c_1_20_13,Lymphoid-Other
c_1_20_14,Lymphoid-DC
c_1_20_15,Lymphoid-T
c_1_20_16,Lymphoid-DC
c_1_20_17,Lymphoid-T
c_1_20_18,Lymphoid-Other
c_1_20_19,Lymphoid-Other
c_1_20_20,Lymphoid-B
c_1_20_21,Lymphoid-B
c_1_20_22,Lymphoid-DC
c_1_20_23,Lymphoid-B
c_1_20_24,Lymphoid-B
c_1_20_25,Lymphoid-T
c_1_20_26,Lymphoid-B
c_1_20_27,Endothelial
c_1_20_28,Lymphoid-T
c_1_20_29,Lymphoid-T
c_1_20_30,Lymphoid-B
c_1_20_31,Lymphoid-B
c_1_20_32,Lymphoid-DC
c_1_20_33,None
c_1_20_34,Lymphoid-Other
c_1_20_35,Lymphoid-B
c_1_20_36,Endothelial
c_1_20_37,Lymphoid-DC
c_1_20_38,Lymphoid-B
c_1_20_39,Lymphoid-T
c_1_20_40,Lymphoid-T
c_1_20_41,Lymphoid-DC
c_1_20_42,Lymphoid-Other
c_1_20_43,Lymphoid-B
c_1_20_44,Lymphoid-B
c_1_20_45,Lymphoid-Other
c_1_20_46,Lymphoid-DC
c_1_20_47,Lymphoid-T
c_1_20_48,Endothelial
c_1_20_49,Lymphoid-DC
c_1_20_50,Lymphoid-DC
c_1_20_51,Lymphoid-Other
c_1_20_52,Lymphoid-DC
c_1_20_53,Lymphoid-T
c_1_20_54,Lymphoid-B
c_1_20_55,Lymphoid-B
c_1_20_56,Lymphoid-DC
c_1_20_57,Lymphoid-B
c_1_20_58,Lymphoid-Other
c_1_20_59,Lymphoid-Other
c_1_20_60,Lymphoid-B
c_1_20_61,Lymphoid-B
c_1_20_62,Lymphoid-DC
c_1_20_63,Lymphoid-Other
c_1_20_64,Lymphoid-Other
c_1_20_65,Lymphoid-B
c_1_20_66,Lymphoid-DC
c_1_20_67,Lymphoid-T
c_1_20_68,Lymphoid-T
c_1_20_69,Lymphoid-B
c_1_20_70,Lymphoid-B
c_1_20_71,Lymphoid-B
c_1_20_72,Lymphoid-Other
c_1_20_73,Lymphoid-DC
c_1_20_74,Lymphoid-Other
c_1_20_75,Lymphoid-B
c_1_20_76,Lymphoid-B
c_1_20_77,Lymphoid-T
c_1_20_78,Lymphoid-Other
c_1_20_79,Lymphoid-T
c_1_20_80,Lymphoid-B
c_1_20_81,Lymphoid-B
c_1_20_82,Lymphoid-Other
c_1_20_83,Lymphoid-DC
c_1_20_84,Lymphoid-B
c_1_20_85,Endothelial
c_1_20_86,Lymphoid-T
c_1_20_87,Lymphoid-DC
c_1_20_88,Lymphoid-B
c_1_20_89,Lymphoid-Other
c_1_20_90,Lymphoid-T
c_1_20_91,Lymphoid-B
c_1_20_92,None
c_1_20_93,Lymphoid-B
c_1_20_94,Lymphoid-Other
c_1_20_95,Lymphoid-B
c_1_20_96,Lymphoid-B
c_1_20_97,Lymphoid-B
c_1_20_98,Lymphoid-B
c_1_20_99,Lymphoid-B
c_1_20_100,Lymphoid-B
c_1_20_101,Lymphoid-T
c_1_20_102,Lymphoid-T
c_1_20_103,Lymphoid-B
c_1_20_104,Lymphoid-B
c_1_20_105,Lymphoid-B
c_1_20_106,Lymphoid-T
c_1_20_107,Lymphoid-DC
c_1_20_108,Lymphoid-T
c_1_20_109,Endothelial
c_1_20_110,Lymphoid-Other
c_1_20_111,Lymphoid-T
c_1_20_112,Lymphoid-B
c_1_20_113,Lymphoid-B
c_1_20_114,Lymphoid-B
c_1_20_115,Lymphoid-T
c_1_20_116,Lymphoid-B
c_1_20_117,Lymphoid-B
c_1_20_118,Lymphoid-B
c_1_20_119,Lymphoid-B
c_1_20_120,Lymphoid-B
c_1_20_121,Lymphoid-B
c_1_20_122,Lymphoid-B
c_1_20_123,Lymphoid-B
c_1_20_124,Lymphoid-Other
c_1_20_125,Lymphoid-T
c_1_20_126,Lymphoid-B
c_1_20_127,Lymphoid-Other
c_1_20_128,Lymphoid-Other
c_1_20_129,Lymphoid-T
c_1_20_130,Lymphoid-B
c_1_20_131,Lymphoid-B
c_1_20_132,Lymphoid-B
c_1_20_133,Lymphoid-B
c_1_20_134,Lymphoid-Other
c_1_20_135,Lymphoid-B
c_1_20_136,Lymphoid-Other
c_1_20_137,Lymphoid-B
c_1_20_138,Endothelial
c_1_20_139,Lymphoid-B
c_1_20_140,Lymphoid-B
c_1_20_141,Lymphoid-T
c_1_20_142,Lymphoid-B
c_1_20_143,Lymphoid-Other
c_1_20_144,None
c_1_20_145,Lymphoid-T
c_1_20_146,Lymphoid-T
c_1_20_147,Lymphoid-B
c_1_20_148,Lymphoid-T
c_1_20_149,Lymphoid-B
c_1_20_150,Lymphoid-Other
c_1_20_151,Lymphoid-T
c_1_20_152,Lymphoid-T
c_1_20_153,Lymphoid-B
c_1_20_154,Lymphoid-B
c_1_20_155,Lymphoid-B
c_1_20_156,Lymphoid-B
c_1_20_157,Lymphoid-Other
c_1_20_158,Endothelial
c_1_20_159,Endothelial
c_1_20_160,Lymphoid-DC
c_1_20_161,Endothelial
c_1_20_162,Lymphoid-B
c_1_20_163,Lymphoid-Other
c_1_20_164,Lymphoid-B
c_1_20_165,Lymphoid-T
c_1_20_166,Endothelial
c_1_20_167,None
c_1_20_168,Lymphoid-DC
c_1_20_169,Lymphoid-B
c_1_20_170,Lymphoid-B
c_1_20_171,Lymphoid-T
c_1_20_172,Lymphoid-T
c_1_20_173,Lymphoid-B
c_1_20_174,Lymphoid-B
c_1_20_175,Lymphoid-T
c_1_20_176,Lymphoid-Other
c_1_20_177,Lymphoid-B
c_1_20_178,Endothelial
c_1_20_179,Lymphoid-B
c_1_20_180,Myeloid
c_1_20_181,Lymphoid-Other
c_1_20_182,Lymphoid-B
c_1_20_183,Endothelial
c_1_20_184,Lymphoid-B
c_1_20_185,Lymphoid-Other
c_1_20_186,Lymphoid-T
c_1_20_187,Mesenchymal-Stromal
c_1_20_188,Lymphoid-B
c_1_20_189,Lymphoid-B
c_1_20_190,Lymphoid-T
