cell_id,4-1BB,CD11c,CD123,CD127,CD14,CD16,CD40,CD45RA,CD68,CTLA4,EGFR,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Tim-3,iNOS,p53
c_1_16_1,-1.39863,-0.07693392,-3.1561017,-1.9269177,-3.7211335,-0.19954334,-1.5250407,-1.426646,-4.018902,-2.7568183,-1.3294559,-0.98948604,-1.7236243,-0.5784466,-0.60801274,1.1440829,-2.2162316,-0.7607881,-0.95723575,-1.5426258,0.94433695,-1.0944095,-0.7345534,0.28008845,-0.92086774,-0.7257735,-2.327141,-2.343644,0.70870125,0.029979944
c_1_16_2,-0.51665986,0.736988,-3.5314348,-0.93510485,-1.7382752,0.19188263,-0.62361205,-0.3267541,-0.86889863,-1.4833657,-1.0319709,-0.5002754,-0.3095048,-1.5281092,-1.0929497,1.9243749,-0.19310792,0.40627545,-0.944365,-1.7477365,1.9963429,-1.1263164,-0.111367136,0.9637219,0.3381844,-1.1050519,-1.503698,-2.223465,0.8080145,-0.2604364
c_1_16_3,-0.25074223,-0.18919514,-3.745668,-1.4515697,-2.0332093,0.74370146,0.1057227,-1.3811983,-0.8033638,-0.48775825,-1.0060102,-0.29842144,-0.2275535,0.043613765,0.29030287,0.115986414,-0.6785165,-1.2416685,-0.8229108,-1.2601557,1.530733,-0.5171475,-0.7615337,0.74605244,-0.93437076,-0.3027518,-0.4172271,-2.1408892,0.5472696,-0.74048775
c_1_16_4,0.7272542,-0.804704,-0.67207706,0.41508418,0.06302418,0.6206235,0.9694409,0.46985283,1.2121581,-0.07779237,0.6560289,0.4781328,1.8262912,-0.5252978,0.42953098,-0.22532414,0.9149153,-0.86289275,1.1470001,-0.9628892,2.475005,0.21100433,-0.77515614,0.16058186,1.3002725,1.3216642,0.65673476,-0.16270019,-1.0311829,0.092432424
c_1_16_5,-1.425867,1.3542494,-3.865381,-1.3978409,-1.8253492,-1.1461463,-0.9682411,-1.3919085,-2.019898,-1.6785016,-1.4555876,-0.6596861,-0.9553498,-1.5419453,-0.2954543,1.8873335,-0.033350937,0.2670382,-1.3239747,-1.4590577,1.574556,-1.3523192,0.5569775,1.0716957,-0.5179657,0.653147,-1.4989533,-2.1898332,0.19800101,-0.79504603
c_1_16_6,-1.39863,0.4493802,-2.705474,-1.8100712,-3.6546924,-0.43612868,-2.016869,-1.0058078,-3.107283,-2.1942155,-2.7280755,-1.6216421,-2.4538877,-1.9637828,-0.9560426,0.72359806,-0.7023523,-0.42997926,-1.9923102,-1.1609876,0.8199111,-2.6184843,-0.621093,0.7215338,-0.7551413,0.09732242,-2.503775,-2.626128,0.64140224,-1.8122063
c_1_16_7,0.6209524,-0.44821098,-0.6678589,-0.9278949,-0.5281736,-0.58565474,0.34690377,-0.2850944,1.473348,-1.2957695,-0.42581055,0.1735793,0.56771743,-0.28669128,1.128259,-0.8046238,1.2020502,-0.05469454,0.15188578,-0.39306396,-0.5138487,-0.16207454,-0.19552432,0.30991971,0.9424614,-0.12431922,0.097462885,-0.93227315,0.4674122,0.8562575
c_1_16_8,0.24430346,1.6961262,-0.9456734,-0.8246878,-0.77108866,-0.7637901,-0.49890164,-0.37064254,0.20855653,0.5009477,-0.86086774,-0.5461228,-0.63953835,-0.6264181,1.3585485,0.7429002,-0.08215628,0.6266215,-0.09912121,-0.22461833,1.139487,-0.1234493,0.2879978,0.5750847,1.1228234,1.4197667,-0.57572454,-1.2596455,0.6749649,0.888849
c_1_16_9,0.1407145,-0.508043,-0.51515496,0.7180216,0.22527368,-0.19954334,0.92386603,-0.25424096,0.62624717,-0.20437627,0.33476707,-0.004494638,1.0771396,-0.6423544,0.8736143,0.41298172,1.1281837,0.1959358,0.7751768,-0.83495617,0.95306146,0.25803557,-0.01999105,-0.551408,1.0588849,0.9163925,-0.22113812,-0.23295708,-1.2328674,1.8152198
c_1_16_10,-1.0003028,1.9865611,-1.0682319,-0.7836909,-0.6793727,-0.2712309,-0.50352937,-0.38474357,-0.40170076,-1.2750283,-1.3330343,-1.017194,-0.7767081,-1.1311191,0.0024079443,1.5556897,0.5048347,0.52805847,-0.7900802,-0.85635066,0.82704586,-1.2691549,0.2665585,2.1258802,0.6340109,0.7089321,-1.4660293,-1.504236,0.9736269,-0.6791767
