cell_id,UMAP_1,UMAP_2
c_1_41_1,8.43091,4.1227837
c_1_41_2,12.584845,7.2124877
c_1_41_3,6.3283925,2.9739058
c_1_41_4,7.365123,3.3876297
c_1_41_5,5.8950076,3.269321
c_1_41_6,12.395366,7.249071
c_1_41_7,6.1648664,3.1273596
c_1_41_8,11.834126,5.321862
c_1_41_9,9.49602,4.020956
c_1_41_10,11.401012,5.7777247
c_1_41_11,11.505878,6.11365
c_1_41_12,12.336436,6.761646
c_1_41_13,12.954536,6.8071113
c_1_41_14,11.350616,4.572641
c_1_41_15,11.864304,8.020798
c_1_41_16,12.105324,5.9637103
c_1_41_17,13.046285,4.562706
c_1_41_18,12.382474,6.5186887
c_1_41_19,12.418296,7.317858
c_1_41_20,5.730322,3.0413096
c_1_41_21,12.888864,6.9693856
c_1_41_22,12.322741,7.602453
c_1_41_23,11.889173,3.1926732
c_1_41_24,12.989347,6.1350236
c_1_41_25,9.752583,2.4595804
c_1_41_26,10.173438,-0.19502684
c_1_41_27,9.827349,3.2638419
c_1_41_28,11.46546,1.1057684
c_1_41_29,10.981905,1.7124838
c_1_41_30,9.847509,2.3428895
c_1_41_32,11.90123,8.264931
c_1_41_33,5.4409504,3.421916
c_1_41_34,12.458434,6.856069
c_1_41_35,12.067464,7.241172
c_1_41_36,12.131308,5.849365
c_1_41_37,12.226464,2.6522422
c_1_41_38,13.857137,6.2679954
c_1_41_39,8.360504,2.6694221
c_1_41_40,12.603504,7.5123625
c_1_41_41,9.5892105,4.213947
c_1_41_42,11.993951,8.044534
c_1_41_43,11.797591,6.0206103
c_1_41_44,12.734177,7.7107277
c_1_41_46,8.843259,2.1960151
c_1_41_47,13.639011,5.186601
c_1_41_48,12.520708,4.4864316
c_1_41_49,12.615596,6.9196105
c_1_41_50,9.057123,3.693795
c_1_41_51,13.678332,4.0485597
c_1_41_52,9.400124,2.056918
c_1_41_53,10.420144,4.3068275
c_1_41_54,13.1235,5.9333115
c_1_41_55,9.153565,1.913706
c_1_41_56,12.790892,3.9063327
c_1_41_57,6.3135724,1.0508347
c_1_41_58,11.141643,5.202625
c_1_41_59,8.90787,2.6994178
c_1_41_60,14.056464,4.868302
c_1_41_61,11.657244,3.416062
c_1_41_62,8.968414,2.9072666
c_1_41_63,7.9880915,2.4347405
c_1_41_64,12.912924,5.879028
c_1_41_65,12.7087755,7.528481
c_1_41_66,11.23457,4.1610584
c_1_41_67,12.756761,5.6515274
c_1_41_68,9.901075,2.0402937
c_1_41_69,10.769783,2.8675559
c_1_41_70,10.248813,3.5105987
c_1_41_71,9.533202,1.2984987
c_1_41_72,10.561725,4.02336
c_1_41_73,8.263725,1.5848618
c_1_41_74,13.06511,6.036737
c_1_41_75,12.72465,6.695681
c_1_41_76,8.445717,4.0413275
c_1_41_77,12.77333,3.8484228
c_1_41_78,9.942958,2.3673747
c_1_41_79,4.831278,1.1282701
c_1_41_80,10.843025,4.5871367
c_1_41_81,10.465445,2.425036
c_1_41_82,9.353291,1.5031744
c_1_41_83,14.07206,4.798061
c_1_41_84,9.079513,5.0131207
c_1_41_85,13.014711,6.0840387
c_1_41_86,9.533277,4.396041
c_1_41_87,13.312571,1.4993545
c_1_41_88,10.170111,4.032587
c_1_41_89,11.148241,3.182515
c_1_41_90,9.796306,2.821277
c_1_41_91,9.810801,2.6561098
c_1_41_92,9.77895,3.1297307
c_1_41_93,9.870087,2.2598305
c_1_41_94,8.312816,3.6223664
c_1_41_95,13.957826,-0.37780973
c_1_41_96,9.608327,3.844914
c_1_41_97,7.244561,3.1502135
c_1_41_98,8.807809,4.673395
c_1_41_99,11.568362,3.8762867
c_1_41_100,7.025666,2.257834
c_1_41_101,8.935481,1.3358614
c_1_41_102,8.968141,3.0195727
c_1_41_103,8.588131,3.0955572
c_1_41_104,8.820449,1.3465407
c_1_41_105,10.124679,2.7406008
c_1_41_106,10.875546,2.7227583
c_1_41_107,9.693468,2.3334277
c_1_41_108,11.537994,1.7601374
c_1_41_109,9.311115,1.2973965
c_1_41_110,9.727863,1.9362326
c_1_41_111,8.435606,2.2409306
c_1_41_112,9.631426,1.2429013
c_1_41_113,13.396025,4.7491937
c_1_41_114,9.173346,3.3211222
c_1_41_115,7.913371,3.0275521
c_1_41_116,9.257706,2.6351852
c_1_41_117,8.914381,4.122697
c_1_41_118,12.173118,4.150967
c_1_41_119,8.206223,3.1712792
c_1_41_120,10.202552,3.9933915
c_1_41_121,8.975276,1.2595547
c_1_41_122,10.338699,4.9030023
c_1_41_123,8.954869,2.5482707
c_1_41_124,12.890001,5.4133186
c_1_41_125,8.746381,3.3372955
c_1_41_126,10.445043,3.472932
c_1_41_127,10.116484,2.4001472
c_1_41_128,8.691895,3.411053
c_1_41_129,8.416612,1.6327436
c_1_41_130,13.252515,3.7604182
c_1_41_131,8.307576,3.1848905
c_1_41_132,12.539606,4.0535054
c_1_41_133,12.670578,1.1931129
c_1_41_134,10.215882,2.035649
c_1_41_135,10.130382,2.422069
c_1_41_136,11.080823,3.2098403
c_1_41_137,9.134146,3.4978094
c_1_41_138,8.388905,3.5311303
c_1_41_139,11.291183,3.587938
c_1_41_140,8.889224,1.983777
c_1_41_141,12.103836,4.221275
c_1_41_142,10.416433,3.3913043
c_1_41_143,11.128646,2.9355018
c_1_41_144,14.186567,1.9408019
c_1_41_145,9.234555,4.2358003
c_1_41_146,12.110758,3.7850826
c_1_41_147,12.433349,4.3127775
c_1_41_148,10.815937,3.9814758
c_1_41_149,14.467373,3.1545908
c_1_41_150,13.0769,3.2042787
c_1_41_151,11.561291,4.3006263
c_1_41_152,15.082972,4.554802
c_1_41_153,14.677768,2.2330256
c_1_41_154,9.776621,4.8883224
c_1_41_155,7.913154,2.6441054
c_1_41_156,13.38893,3.9221606
c_1_41_157,11.75527,4.97165
c_1_41_158,11.548031,3.1453226
c_1_41_159,9.171973,2.1505668
c_1_41_160,11.188239,6.1591363
c_1_41_161,7.1476345,2.6652489
c_1_41_162,5.6920695,2.9956758
c_1_41_163,12.028857,3.3838649
c_1_41_164,5.7627172,2.9091036
c_1_41_165,10.483845,4.4292374
c_1_41_166,10.979896,3.8039389
c_1_41_167,12.487755,5.3760767
c_1_41_168,14.227109,4.470062
c_1_41_169,9.707361,4.408373
c_1_41_170,9.43921,4.006115
c_1_41_171,9.867842,3.3144758
c_1_41_172,12.773396,4.1691694
c_1_41_173,10.523818,4.1240616
c_1_41_174,9.417586,4.4480205
c_1_41_175,8.101813,4.510526
c_1_41_176,14.649306,5.1432056
c_1_41_177,10.082269,4.867622
c_1_41_178,10.183815,1.0680051
c_1_41_179,11.06427,-0.296453
c_1_41_180,9.928523,2.5996356
c_1_41_181,10.4814625,2.5766816
c_1_41_182,11.523857,3.6188533
c_1_41_183,8.709361,2.8469367
c_1_41_184,8.438396,4.2320848
c_1_41_185,13.880298,5.8482523
c_1_41_186,9.352953,2.0617917
c_1_41_187,9.771714,2.0843418
c_1_41_188,12.359793,3.2777314
c_1_41_189,11.753153,3.778646
c_1_41_190,9.311102,2.1590257
c_1_41_191,11.72025,4.0239143
c_1_41_192,9.904146,-1.2875365
c_1_41_193,8.578534,2.2972004
c_1_41_194,8.743229,2.432886
c_1_41_195,9.372113,3.4133708
c_1_41_196,14.219204,4.089533
c_1_41_197,8.376201,1.3264648
c_1_41_198,11.676756,3.415893
c_1_41_199,9.542141,3.7594626
c_1_41_200,9.452515,3.4373348
c_1_41_201,10.480707,5.013923
c_1_41_202,7.283052,2.4945529
c_1_41_203,13.589073,5.244677
c_1_41_204,9.115904,2.7454627
c_1_41_205,10.167475,-0.29408893
c_1_41_206,9.210924,3.9336352
c_1_41_207,10.03811,3.569117
c_1_41_208,13.473141,2.3586736
c_1_41_209,8.200252,3.6099524
c_1_41_210,9.850314,3.359394
c_1_41_211,9.280748,2.9670134
c_1_41_212,13.012237,5.2380056
c_1_41_213,11.862603,1.9817625
c_1_41_214,5.6037903,1.1583143
c_1_41_215,11.069768,3.0381966
c_1_41_216,9.607505,-0.5043151
c_1_41_217,12.73928,4.036901
c_1_41_218,10.001945,5.02963
c_1_41_219,9.459846,2.7708418
c_1_41_220,6.1362896,2.6081614
c_1_41_221,13.808803,4.5586834
c_1_41_222,8.726326,1.7345052
c_1_41_224,14.503057,0.7240918
