cell_id,PC_1,PC_2
c_1_18_2,-0.8678897,1.1803341
c_1_18_3,0.9884564,0.026774392
c_1_18_4,-0.29735148,-1.3356595
c_1_18_5,1.4855788,-0.47247204
c_1_18_6,-0.1892785,0.25667888
c_1_18_7,-0.48727393,-1.1132858
c_1_18_8,0.42034933,0.25036436
c_1_18_9,0.51084316,0.10645495
c_1_18_10,-0.47957155,-1.5404276
c_1_18_11,-1.754704,-0.6897843
c_1_18_12,-1.3195947,0.101591125
c_1_18_13,-0.99306303,-1.3028231
c_1_18_14,1.0487556,-0.4088246
c_1_18_15,-0.72030133,-2.0102484
c_1_18_16,1.7004418,0.59090143
c_1_18_17,-1.2226378,-2.5065212
c_1_18_18,-0.065795764,0.06553408
c_1_18_19,1.256591,-0.24771833
c_1_18_20,-1.0444291,0.23643064
c_1_18_21,0.25241557,1.5250083
c_1_18_22,-0.81345856,-0.15453574
c_1_18_23,0.018009448,-0.4887028
c_1_18_24,-0.32468092,-2.0154357
c_1_18_25,-1.3309566,2.1934593
c_1_18_26,0.85497004,-0.4092556
c_1_18_27,0.27410072,-0.87610394
c_1_18_28,-1.5478712,1.2542529
c_1_18_29,-1.5021776,2.2962804
c_1_18_30,-0.88973534,2.2562597
c_1_18_31,-0.5644517,1.7154181
c_1_18_32,-1.0697812,1.3932464
c_1_18_33,-0.963458,3.0170372
c_1_18_34,0.26288196,-0.34846896
c_1_18_35,-1.2812369,0.40673319
c_1_18_36,-1.3095522,0.74317324
c_1_18_37,-0.952473,-0.34943944
c_1_18_38,-0.9665927,-0.59793854
c_1_18_39,-1.2032858,-1.2422146
c_1_18_40,-1.1848493,2.2418065
c_1_18_41,-1.7485896,2.7162101
c_1_18_42,-0.33069724,1.929316
c_1_18_43,-1.2080758,0.34529728
c_1_18_44,-0.4262204,1.5837827
c_1_18_45,-1.2974632,1.9461393
c_1_18_46,-1.0259718,2.100414
c_1_18_47,-0.042711858,-0.062036164
c_1_18_48,-1.5156436,-0.6416154
c_1_18_49,-1.2855898,-2.2557561
c_1_18_50,-1.5196722,1.3513829
c_1_18_51,-0.8972767,1.9303523
c_1_18_52,-1.404284,2.4625084
c_1_18_53,-1.5615457,2.237132
c_1_18_54,0.5046966,-0.031868212
c_1_18_55,-1.3208476,-2.3409863
c_1_18_56,0.20188431,-0.8356399
c_1_18_57,-0.8452479,2.3326468
c_1_18_58,-1.2852445,3.4619622
c_1_18_59,0.20163764,-0.41253167
c_1_18_60,-1.5029677,2.8153834
c_1_18_61,-1.1123652,1.804959
c_1_18_62,-1.8108134,3.312883
c_1_18_63,-0.9721272,0.26674294
c_1_18_64,-0.6311848,-1.7443175
c_1_18_65,1.6255933,-0.7397361
c_1_18_66,-1.158082,2.4103544
c_1_18_67,-1.1880237,2.1645348
c_1_18_68,-1.8619395,2.0735674
c_1_18_69,-0.75157136,1.8244232
c_1_18_70,-2.2252285,3.0982118
c_1_18_71,-0.67111576,3.1625822
c_1_18_72,-1.9073007,1.1290485
c_1_18_73,0.07932255,-1.6588588
c_1_18_74,-1.8668196,2.6825247
c_1_18_75,0.53341466,-0.6597769
c_1_18_76,-2.2874637,3.2577262
c_1_18_77,-0.26038423,-0.5321697
c_1_18_78,-1.578858,1.7179933
c_1_18_79,-2.266775,3.5269666
c_1_18_80,-1.6458097,1.9319848
c_1_18_81,-1.1611433,1.3229686
c_1_18_82,-1.24809,2.6983821
c_1_18_83,-0.57177216,-3.3433793
c_1_18_84,-2.0292852,2.99207
c_1_18_85,-1.3173498,2.0517802
c_1_18_86,-1.3359388,1.6226292
c_1_18_87,3.0140088,0.5060257
c_1_18_88,-1.266102,-1.9611242
c_1_18_89,1.9720441,0.21846148
c_1_18_90,-1.5804372,2.6389961
c_1_18_91,-2.2660408,1.8973451
c_1_18_92,-0.6951357,-1.6695713
c_1_18_93,0.13989563,0.3488698
c_1_18_94,-1.8606638,3.2308025
c_1_18_95,0.8337085,-0.43373764
c_1_18_96,-1.5770832,2.1678388
c_1_18_97,2.6037517,-0.08352177
c_1_18_98,-1.0707042,-0.17671947
c_1_18_99,-1.0962584,0.82954854
c_1_18_100,-1.1084958,1.7082014
c_1_18_101,-1.3035996,2.5911152
c_1_18_102,1.2616385,0.56827474
c_1_18_103,-1.3582891,2.659945
c_1_18_104,-1.5215567,3.3458846
c_1_18_105,-0.2767985,-0.05337278
c_1_18_106,-2.811482,4.0806007
c_1_18_107,-1.5219662,3.6999705
