cell_id,cell_type
c_1_18_2,Lymphoid-T
c_1_18_3,Lymphoid-Other
c_1_18_4,Lymphoid-Other
c_1_18_5,Lymphoid-Other
c_1_18_6,Lymphoid-T
c_1_18_7,Lymphoid-Other
c_1_18_8,Lymphoid-Other
c_1_18_9,Lymphoid-T
c_1_18_10,Lymphoid-T
c_1_18_11,Lymphoid-T
c_1_18_12,Lymphoid-Other
c_1_18_13,Lymphoid-T
c_1_18_14,Lymphoid-Other
c_1_18_15,Lymphoid-DC
c_1_18_16,Lymphoid-Other
c_1_18_17,Lymphoid-Plasma
c_1_18_18,Lymphoid-Other
c_1_18_19,Lymphoid-Other
c_1_18_20,Lymphoid-T
c_1_18_21,Lymphoid-Other
c_1_18_22,Lymphoid-Other
c_1_18_23,Lymphoid-Other
c_1_18_24,Lymphoid-Plasma
c_1_18_25,Epithelial
c_1_18_26,Endothelial
c_1_18_27,Lymphoid-Plasma
c_1_18_28,Epithelial
c_1_18_29,Epithelial
c_1_18_30,Epithelial
c_1_18_31,Epithelial
c_1_18_32,Epithelial
c_1_18_33,Epithelial
c_1_18_34,Lymphoid-Other
c_1_18_35,Lymphoid-Other
c_1_18_36,Lymphoid-Other
c_1_18_37,Lymphoid-Other
c_1_18_38,Lymphoid-Other
c_1_18_39,Lymphoid-B
c_1_18_40,Epithelial
c_1_18_41,Lymphoid-T
c_1_18_42,Epithelial
c_1_18_43,Epithelial
c_1_18_44,Lymphoid-Other
c_1_18_45,Epithelial
c_1_18_46,Epithelial
c_1_18_47,Lymphoid-Other
c_1_18_48,Lymphoid-Other
c_1_18_49,Lymphoid-Other
c_1_18_50,Lymphoid-Other
c_1_18_51,Epithelial
c_1_18_52,Epithelial
c_1_18_53,Epithelial
c_1_18_54,Lymphoid-Other
c_1_18_55,Lymphoid-T
c_1_18_56,Lymphoid-B
c_1_18_57,Epithelial
c_1_18_58,Epithelial
c_1_18_59,Endothelial
c_1_18_60,Epithelial
c_1_18_61,Epithelial
c_1_18_62,Epithelial
c_1_18_63,Epithelial
c_1_18_64,Lymphoid-T
c_1_18_65,Endothelial
c_1_18_66,Epithelial
c_1_18_67,Epithelial
c_1_18_68,Stem
c_1_18_69,Epithelial
c_1_18_70,Epithelial
c_1_18_71,Epithelial
c_1_18_72,Epithelial
c_1_18_73,Lymphoid-Other
c_1_18_74,Epithelial
c_1_18_75,Endothelial
c_1_18_76,Epithelial
c_1_18_77,Lymphoid-Other
c_1_18_78,Lymphoid-T
c_1_18_79,Epithelial
c_1_18_80,Epithelial
c_1_18_81,Lymphoid-T
c_1_18_82,Epithelial
c_1_18_83,Lymphoid-Plasma
c_1_18_84,Lymphoid-T
c_1_18_85,Epithelial
c_1_18_86,Epithelial
c_1_18_87,Lymphoid-Other
c_1_18_88,Lymphoid-Plasma
c_1_18_89,Endothelial
c_1_18_90,Epithelial
c_1_18_91,Epithelial
c_1_18_92,Lymphoid-Plasma
c_1_18_93,Lymphoid-Other
c_1_18_94,Stem
c_1_18_95,Endothelial
c_1_18_96,Epithelial
c_1_18_97,Endothelial
c_1_18_98,Lymphoid-Plasma
c_1_18_99,Lymphoid-Other
c_1_18_100,Epithelial
c_1_18_101,Epithelial
c_1_18_102,Lymphoid-Other
c_1_18_103,Epithelial
c_1_18_104,Epithelial
c_1_18_105,Lymphoid-Other
c_1_18_106,Stem
c_1_18_107,Stem
c_1_18_108,Lymphoid-Other
c_1_18_109,Epithelial
c_1_18_110,Stem
c_1_18_112,Epithelial
c_1_18_113,Epithelial
c_1_18_114,Lymphoid-Other
c_1_18_115,Lymphoid-Plasma
c_1_18_116,Lymphoid-Plasma
c_1_18_117,Endothelial
c_1_18_118,Epithelial
c_1_18_119,Lymphoid-T
c_1_18_120,Stem
c_1_18_121,Lymphoid-T
c_1_18_122,Epithelial
c_1_18_123,Epithelial
c_1_18_124,Lymphoid-Other
c_1_18_125,Lymphoid-Plasma
c_1_18_126,Endothelial
c_1_18_127,Lymphoid-Plasma
c_1_18_128,Epithelial
c_1_18_129,Lymphoid-Other
c_1_18_130,Epithelial
c_1_18_131,Epithelial
c_1_18_132,Lymphoid-Other
c_1_18_133,Epithelial
c_1_18_134,Epithelial
c_1_18_135,Endothelial
c_1_18_136,Epithelial
c_1_18_137,Lymphoid-T
c_1_18_138,Epithelial
c_1_18_139,Lymphoid-DC
c_1_18_140,Lymphoid-T
c_1_18_141,Epithelial
c_1_18_142,Lymphoid-Other
c_1_18_143,Epithelial
c_1_18_144,Epithelial
c_1_18_145,Lymphoid-Other
c_1_18_146,Epithelial
c_1_18_147,Epithelial
c_1_18_148,Epithelial
c_1_18_149,Lymphoid-Plasma
c_1_18_150,Lymphoid-DC
c_1_18_151,Lymphoid-Plasma
c_1_18_152,Lymphoid-T
c_1_18_153,Epithelial
c_1_18_154,Endothelial
c_1_18_155,Epithelial
c_1_18_156,Epithelial
c_1_18_157,Lymphoid-T
c_1_18_158,Lymphoid-Plasma
c_1_18_159,Epithelial
c_1_18_160,Lymphoid-Other
c_1_18_161,Epithelial
c_1_18_162,Stem
c_1_18_163,Epithelial
c_1_18_164,Stem
c_1_18_165,Epithelial
c_1_18_166,Endothelial
c_1_18_167,Lymphoid-DC
c_1_18_168,Lymphoid-T
c_1_18_169,Lymphoid-Other
c_1_18_170,Endothelial
c_1_18_171,Lymphoid-Other
c_1_18_172,Lymphoid-Other
c_1_18_173,Epithelial
c_1_18_174,Epithelial
c_1_18_175,Lymphoid-T
c_1_18_176,Lymphoid-Other
c_1_18_177,Epithelial
c_1_18_178,Epithelial
c_1_18_179,Lymphoid-T
c_1_18_180,Epithelial
c_1_18_181,Lymphoid-Other
c_1_18_182,Lymphoid-Other
c_1_18_183,Epithelial
c_1_18_184,Epithelial
c_1_18_185,Lymphoid-Plasma
c_1_18_186,Lymphoid-Other
c_1_18_187,Lymphoid-T
c_1_18_188,Epithelial
c_1_18_189,Epithelial
c_1_18_190,Epithelial
c_1_18_191,Epithelial
c_1_18_192,Lymphoid-Other
c_1_18_193,Epithelial
c_1_18_194,Lymphoid-Plasma
c_1_18_195,Lymphoid-Other
c_1_18_196,Epithelial
c_1_18_197,Endothelial
c_1_18_198,Epithelial
c_1_18_199,Epithelial
c_1_18_200,Lymphoid-Other
c_1_18_201,Epithelial
c_1_18_202,Lymphoid-T
c_1_18_203,Epithelial
c_1_18_204,Epithelial
c_1_18_205,Epithelial
c_1_18_206,Lymphoid-T
c_1_18_207,Epithelial
c_1_18_208,Epithelial
c_1_18_209,Lymphoid-T
c_1_18_210,Lymphoid-Other
c_1_18_211,Epithelial
c_1_18_212,Epithelial
c_1_18_213,Endothelial
c_1_18_214,Epithelial
c_1_18_215,Epithelial
c_1_18_216,Lymphoid-Other
c_1_18_217,Myeloid
c_1_18_218,Epithelial
c_1_18_219,Stem
c_1_18_220,Lymphoid-Plasma
c_1_18_221,Epithelial
c_1_18_222,Lymphoid-Plasma
c_1_18_223,Lymphoid-T
c_1_18_224,Epithelial
c_1_18_225,Epithelial
c_1_18_226,Lymphoid-Other
c_1_18_227,Epithelial
c_1_18_228,Lymphoid-T
c_1_18_229,Lymphoid-Plasma
c_1_18_230,Lymphoid-Plasma
c_1_18_231,Lymphoid-Plasma
c_1_18_232,Lymphoid-Plasma
c_1_18_233,Epithelial
c_1_18_234,Epithelial
c_1_18_235,Epithelial
c_1_18_236,Lymphoid-T
c_1_18_237,Epithelial
c_1_18_238,Epithelial
c_1_18_239,Epithelial
c_1_18_240,Epithelial
c_1_18_241,Epithelial
c_1_18_242,Lymphoid-Plasma
c_1_18_243,Lymphoid-Plasma
c_1_18_244,Lymphoid-Other
c_1_18_245,Epithelial
c_1_18_246,Epithelial
c_1_18_247,Stem
c_1_18_248,Lymphoid-Other
c_1_18_249,Epithelial
c_1_18_250,Lymphoid-T
c_1_18_251,Epithelial
c_1_18_252,Epithelial
c_1_18_253,Epithelial
c_1_18_254,Lymphoid-T
c_1_18_255,Lymphoid-Plasma
c_1_18_256,Epithelial
c_1_18_257,Epithelial
c_1_18_258,Epithelial
c_1_18_259,Stem
c_1_18_260,Lymphoid-Other
c_1_18_261,Epithelial
c_1_18_262,Lymphoid-Other
c_1_18_263,Lymphoid-DC
c_1_18_264,Epithelial
c_1_18_265,Lymphoid-DC
c_1_18_266,Lymphoid-Other
c_1_18_267,Lymphoid-Other
c_1_18_268,Epithelial
c_1_18_269,Epithelial
c_1_18_270,Epithelial
c_1_18_271,Epithelial
c_1_18_272,Epithelial
c_1_18_273,Epithelial
c_1_18_274,Endothelial
c_1_18_275,Stem
c_1_18_276,Epithelial
c_1_18_277,Lymphoid-T
c_1_18_278,Lymphoid-Other
c_1_18_279,Lymphoid-DC
c_1_18_280,Lymphoid-Other
c_1_18_281,Lymphoid-T
c_1_18_282,Stem
c_1_18_283,Lymphoid-Other
c_1_18_284,Endothelial
c_1_18_285,Epithelial
c_1_18_286,Epithelial
c_1_18_287,Epithelial
c_1_18_288,Lymphoid-Plasma
c_1_18_289,Lymphoid-Other
c_1_18_290,Epithelial
c_1_18_291,Lymphoid-T
c_1_18_292,Epithelial
c_1_18_293,Epithelial
c_1_18_294,Lymphoid-Plasma
c_1_18_295,Lymphoid-T
c_1_18_296,Lymphoid-B
c_1_18_297,Endothelial
c_1_18_298,Lymphoid-T
c_1_18_299,Epithelial
c_1_18_300,Epithelial
c_1_18_301,Myeloid
c_1_18_302,Epithelial
c_1_18_303,Lymphoid-Other
c_1_18_304,Epithelial
c_1_18_305,Lymphoid-T
c_1_18_306,Lymphoid-Other
c_1_18_307,Endothelial
c_1_18_308,Epithelial
c_1_18_309,Epithelial
c_1_18_310,Epithelial
c_1_18_311,Lymphoid-Plasma
c_1_18_312,Lymphoid-Plasma
c_1_18_313,Lymphoid-B
c_1_18_314,Lymphoid-Other
c_1_18_315,Stem
c_1_18_316,Stem
c_1_18_317,Lymphoid-Other
c_1_18_318,Lymphoid-Plasma
c_1_18_319,Epithelial
c_1_18_320,Lymphoid-Other
c_1_18_321,Lymphoid-Plasma
c_1_18_322,Epithelial
c_1_18_323,Epithelial
c_1_18_324,Lymphoid-Plasma
c_1_18_325,Epithelial
c_1_18_326,Endothelial
c_1_18_327,Lymphoid-T
c_1_18_328,Epithelial
c_1_18_329,Epithelial
c_1_18_330,Myeloid
c_1_18_331,Epithelial
c_1_18_332,Epithelial
c_1_18_333,Epithelial
c_1_18_334,Endothelial
c_1_18_335,Epithelial
c_1_18_336,Lymphoid-Plasma
c_1_18_337,Epithelial
c_1_18_338,Epithelial
c_1_18_339,Epithelial
c_1_18_340,Lymphoid-Plasma
c_1_18_341,Lymphoid-Other
c_1_18_342,Endothelial
c_1_18_343,Lymphoid-Other
c_1_18_344,Epithelial
c_1_18_345,Epithelial
c_1_18_346,Epithelial
c_1_18_347,Epithelial
c_1_18_348,Endothelial
c_1_18_349,Epithelial
c_1_18_350,Lymphoid-Other
c_1_18_351,Epithelial
c_1_18_352,Lymphoid-Other
c_1_18_353,Epithelial
c_1_18_354,Lymphoid-T
c_1_18_355,Lymphoid-Plasma
c_1_18_356,Epithelial
c_1_18_357,Lymphoid-T
c_1_18_358,Lymphoid-T
c_1_18_359,Epithelial
c_1_18_360,Epithelial
c_1_18_361,Lymphoid-T
c_1_18_362,Lymphoid-B
c_1_18_363,Epithelial
c_1_18_364,Lymphoid-Other
c_1_18_365,Epithelial
c_1_18_366,Epithelial
c_1_18_367,Epithelial
