cell_id,UMAP_1,UMAP_2
c_1_36_5,10.075585,3.5900595
c_1_36_6,11.583665,-2.7787542
c_1_36_7,9.594119,2.5484836
c_1_36_8,10.494313,0.35812703
c_1_36_9,9.12116,0.23282735
c_1_36_10,9.540641,2.2588513
c_1_36_11,10.55848,-2.2141855
c_1_36_12,12.151358,0.36016616
c_1_36_13,10.731622,4.4001255
c_1_36_14,9.198733,0.02135183
c_1_36_15,10.0473995,0.32671055
c_1_36_16,11.575128,-1.6956823
c_1_36_17,6.7799397,2.080279
c_1_36_18,5.567316,-2.0895042
c_1_36_19,8.301744,-0.44426847
c_1_36_20,8.114475,-3.3728938
c_1_36_21,11.453543,-0.8662569
c_1_36_22,9.046362,0.29338604
c_1_36_23,9.263787,1.773042
c_1_36_24,9.971972,2.2811189
c_1_36_25,12.468021,0.22526868
c_1_36_26,10.624804,-1.1011246
c_1_36_27,10.4269705,0.64171743
c_1_36_28,8.5321865,2.0018616
c_1_36_29,10.057465,-1.0963593
c_1_36_30,9.836934,0.3735834
c_1_36_31,8.708279,3.8097208
c_1_36_32,12.31401,3.2848008
c_1_36_33,8.968917,3.9762146
c_1_36_34,8.789873,7.780001
c_1_36_35,7.0996084,1.0867254
c_1_36_36,10.054787,0.10331791
c_1_36_37,7.6613793,-0.2923979
c_1_36_38,7.1092196,1.3527912
c_1_36_39,8.008707,-0.6376648
c_1_36_40,7.9830594,0.18923554
c_1_36_42,10.011754,-1.5096112
c_1_36_43,9.420386,1.9659877
c_1_36_44,8.97434,1.5717422
c_1_36_45,7.5769005,-0.901828
c_1_36_46,9.233294,0.325049
c_1_36_47,9.751933,2.3249564
c_1_36_48,8.44695,1.5667229
c_1_36_49,5.8570833,-1.9582312
c_1_36_50,8.378933,3.2858677
c_1_36_51,10.000181,1.944239
c_1_36_52,11.331174,-0.19312888
c_1_36_53,7.1391797,-2.1465602
c_1_36_54,7.4396667,-0.70427024
c_1_36_55,8.284032,0.07895144
c_1_36_56,9.967051,2.5259037
c_1_36_57,10.863633,-1.1701448
c_1_36_58,7.4515986,1.0885191
c_1_36_59,8.467346,1.5151795
c_1_36_60,9.253242,3.8586109
c_1_36_61,7.3655615,-0.15203369
c_1_36_62,8.919599,1.9463803
c_1_36_63,9.395505,1.4022738
c_1_36_64,12.226682,-0.20556648
c_1_36_65,9.340407,0.1581576
c_1_36_66,8.111465,-0.77067536
c_1_36_67,11.099777,-0.8206617
c_1_36_68,6.3894553,4.977392
c_1_36_69,8.027385,1.6181307
