cell_id,cell_type
c_1_36_5,Lymphoid-Other
c_1_36_6,Lymphoid-T
c_1_36_7,Lymphoid-T
c_1_36_8,Lymphoid-T
c_1_36_9,Lymphoid-B
c_1_36_10,Lymphoid-T
c_1_36_11,Lymphoid-T
c_1_36_12,Lymphoid-T
c_1_36_13,Endothelial
c_1_36_14,Lymphoid-Other
c_1_36_15,Lymphoid-T
c_1_36_16,Lymphoid-T
c_1_36_17,Myeloid
c_1_36_18,Lymphoid-B
c_1_36_19,Lymphoid-T
c_1_36_20,Lymphoid-Plasma
c_1_36_21,Lymphoid-B
c_1_36_22,Lymphoid-T
c_1_36_23,Lymphoid-T
c_1_36_24,Lymphoid-Other
c_1_36_25,Lymphoid-T
c_1_36_26,Lymphoid-DC
c_1_36_27,Lymphoid-Other
c_1_36_28,Lymphoid-DC
c_1_36_29,Lymphoid-T
c_1_36_30,Lymphoid-B
c_1_36_31,Lymphoid-Other
c_1_36_32,Endothelial
c_1_36_33,Lymphoid-Other
c_1_36_34,Mesenchymal-Stromal
c_1_36_35,Lymphoid-DC
c_1_36_36,Lymphoid-T
c_1_36_37,Lymphoid-B
c_1_36_38,Lymphoid-DC
c_1_36_39,Lymphoid-B
c_1_36_40,Lymphoid-T
c_1_36_42,Lymphoid-Other
c_1_36_43,Lymphoid-T
c_1_36_44,Lymphoid-DC
c_1_36_45,Lymphoid-B
c_1_36_46,Lymphoid-T
c_1_36_47,Lymphoid-T
c_1_36_48,Lymphoid-DC
c_1_36_49,Lymphoid-B
c_1_36_50,Endothelial
c_1_36_51,Lymphoid-T
c_1_36_52,Lymphoid-T
c_1_36_53,Lymphoid-B
c_1_36_54,Lymphoid-Other
c_1_36_55,Lymphoid-B
c_1_36_56,Lymphoid-T
c_1_36_57,Lymphoid-T
c_1_36_58,Lymphoid-T
c_1_36_59,Myeloid
c_1_36_60,Lymphoid-Other
c_1_36_61,Lymphoid-T
c_1_36_62,Lymphoid-Other
c_1_36_63,Lymphoid-B
c_1_36_64,Lymphoid-T
c_1_36_65,Lymphoid-T
c_1_36_66,Lymphoid-B
c_1_36_67,Lymphoid-T
c_1_36_68,Neuronal-Glial
c_1_36_69,Lymphoid-DC
c_1_36_70,Endothelial
c_1_36_71,Lymphoid-T
c_1_36_72,Lymphoid-T
c_1_36_73,Lymphoid-B
c_1_36_74,Lymphoid-Other
c_1_36_75,Lymphoid-B
c_1_36_76,Lymphoid-B
c_1_36_77,Lymphoid-T
c_1_36_78,Lymphoid-T
c_1_36_79,Lymphoid-B
c_1_36_80,Lymphoid-B
c_1_36_81,Lymphoid-B
c_1_36_82,Endothelial
c_1_36_83,Lymphoid-DC
c_1_36_84,Lymphoid-Other
c_1_36_85,Lymphoid-B
c_1_36_86,Lymphoid-Plasma
c_1_36_87,Lymphoid-DC
c_1_36_88,Lymphoid-Other
c_1_36_89,Lymphoid-DC
c_1_36_90,Lymphoid-B
c_1_36_91,Lymphoid-B
c_1_36_92,Endothelial
c_1_36_93,Myeloid
c_1_36_94,Lymphoid-DC
c_1_36_95,Lymphoid-T
c_1_36_96,Lymphoid-Other
c_1_36_97,Myeloid
c_1_36_98,Lymphoid-B
c_1_36_99,Endothelial
c_1_36_100,Endothelial
c_1_36_101,Lymphoid-T
c_1_36_102,Lymphoid-B
c_1_36_103,Endothelial
c_1_36_104,Endothelial
c_1_36_105,Lymphoid-DC
c_1_36_106,Lymphoid-B
c_1_36_107,Lymphoid-DC
c_1_36_108,Endothelial
c_1_36_109,Endothelial
c_1_36_110,Lymphoid-B
c_1_36_111,Lymphoid-B
c_1_36_112,Lymphoid-Plasma
c_1_36_113,Lymphoid-T
c_1_36_114,Lymphoid-Other
c_1_36_115,Lymphoid-B
c_1_36_116,Lymphoid-T
c_1_36_117,Lymphoid-T
c_1_36_118,Lymphoid-T
c_1_36_119,Lymphoid-B
c_1_36_120,Lymphoid-Other
c_1_36_121,Lymphoid-T
c_1_36_122,Lymphoid-T
c_1_36_123,Lymphoid-B
c_1_36_124,Mesenchymal-Stromal
c_1_36_125,Mesenchymal-Stromal
c_1_36_126,Lymphoid-DC
c_1_36_127,Endothelial
c_1_36_128,Lymphoid-Other
c_1_36_129,Endothelial
c_1_36_130,Lymphoid-Other
c_1_36_131,Lymphoid-DC
c_1_36_132,Lymphoid-Other
c_1_36_133,Lymphoid-T
c_1_36_134,Lymphoid-T
c_1_36_135,Lymphoid-Other
c_1_36_136,Lymphoid-Other
c_1_36_137,Endothelial
c_1_36_138,Lymphoid-T
c_1_36_139,Lymphoid-T
c_1_36_140,Lymphoid-T
c_1_36_141,Lymphoid-DC
c_1_36_142,Endothelial
c_1_36_143,Lymphoid-T
c_1_36_144,Lymphoid-B
c_1_36_145,Mesenchymal-Stromal
c_1_36_146,Lymphoid-T
c_1_36_147,Lymphoid-B
c_1_36_148,Myeloid
c_1_36_149,Lymphoid-Other
c_1_36_150,Lymphoid-T
c_1_36_151,Endothelial
c_1_36_152,Lymphoid-Other
c_1_36_153,Lymphoid-B
