cell_id,PC_1,PC_2
c_1_1_1,-0.82319635,-0.45047805
c_1_1_2,-1.9550217,-0.22784191
c_1_1_3,-1.6800214,0.07986434
c_1_1_4,-0.82900465,-1.5644913
c_1_1_10,-0.3870473,-2.1153705
c_1_1_11,-0.19993399,-2.451092
c_1_1_12,-1.3738136,-2.5013795
c_1_1_14,-1.4954871,1.4625548
c_1_1_16,-1.3348048,1.697373
c_1_1_17,-0.45653868,-0.38255078
c_1_1_18,-0.64235616,-0.22103655
c_1_1_19,-0.7164551,-1.1447929
c_1_1_21,-1.086607,0.7792445
c_1_1_22,-1.4295882,-2.8195925
c_1_1_23,-0.9775767,1.5301112
c_1_1_25,-1.1875899,0.9917523
c_1_1_26,-0.46843696,0.63511866
c_1_1_27,-1.1493523,-1.4493515
c_1_1_28,-0.5274799,-1.2056657
c_1_1_29,-0.93803275,-2.5126634
c_1_1_30,-1.046979,-0.81858
c_1_1_31,-1.1721175,-3.486705
c_1_1_32,-2.0268526,1.1915953
c_1_1_33,-0.6055741,0.25659493
c_1_1_34,-1.676434,-1.7556311
c_1_1_35,-1.3600067,-0.24777275
c_1_1_36,-1.9714642,-1.4346732
c_1_1_37,-1.6870788,-0.08365536
c_1_1_38,-1.4295355,-2.0868888
c_1_1_39,-1.4618748,-1.0414691
c_1_1_40,-0.5504158,0.31000152
c_1_1_41,-1.589861,1.1766157
c_1_1_42,-0.9397162,-0.22736572
c_1_1_43,-0.6321347,0.12779026
c_1_1_44,-0.42297384,-0.9788475
c_1_1_45,-1.8367286,2.0360076
c_1_1_47,-1.1700337,0.23907638
c_1_1_48,-0.093197964,0.21783632
c_1_1_49,-0.04973489,-0.80018425
c_1_1_50,-0.91364473,-1.84107
c_1_1_51,-1.2351074,0.33057654
c_1_1_52,-1.2942353,-1.68376
c_1_1_53,-1.3770702,-1.5973045
c_1_1_54,-1.483632,-4.999074
c_1_1_55,-0.35413513,-1.0907266
c_1_1_56,-0.6646244,-0.37268725
c_1_1_57,-1.572701,2.7197063
c_1_1_58,0.092273295,-0.2041276
c_1_1_59,-1.0106076,-2.471632
c_1_1_60,-0.9219206,1.4365546
c_1_1_61,-0.7989813,-0.18132952
c_1_1_62,-0.29694235,0.7970657
c_1_1_63,-1.3436217,0.09699266
c_1_1_66,-0.81070983,2.071887
c_1_1_67,-1.9879147,0.7154338
c_1_1_68,0.67617154,-0.09407593
c_1_1_69,-1.2065794,-0.29459107
c_1_1_70,-1.738633,2.3005323
c_1_1_71,-1.6301122,0.27839077
c_1_1_72,-0.7438709,-0.8104234
c_1_1_73,-0.9947657,-0.75026476
c_1_1_74,-1.3849044,5.428012
c_1_1_75,-0.39328286,-0.9011075
c_1_1_76,-1.4135584,1.8775408
c_1_1_77,-1.1450328,-0.07444241
c_1_1_78,-1.5251272,0.36865515
c_1_1_79,-1.8204057,2.2314014
c_1_1_80,-0.7029678,0.49147838
c_1_1_81,-0.8869536,-0.7281399
c_1_1_82,-0.33443925,-0.76369864
c_1_1_83,-1.7434235,-1.1768019
c_1_1_84,-1.497749,1.352788
c_1_1_85,-0.6812085,-0.5763794
c_1_1_86,-0.80951685,1.4409064
c_1_1_87,-1.1069269,-2.2041757
c_1_1_88,-0.19217838,-1.7950219
c_1_1_89,-0.7855821,-0.38176498
c_1_1_90,-1.1440709,-2.4217935
c_1_1_91,-0.79335284,-1.335318
c_1_1_92,-0.90938586,1.2768437
c_1_1_93,-1.0287921,0.5701723
c_1_1_94,-1.7241743,3.393351
c_1_1_95,-0.555923,-1.4313943
c_1_1_96,-1.2990812,-2.668919
c_1_1_97,-0.8495327,-1.4622167
c_1_1_98,-0.51067674,-0.37401325
c_1_1_99,-1.0873893,-2.8335748
c_1_1_100,-0.87248594,-0.38580316
c_1_1_101,-0.71351796,-0.23394385
c_1_1_102,-1.6031873,-4.699903
c_1_1_103,-1.4191785,-2.9075327
c_1_1_104,0.0676418,-2.0240014
c_1_1_105,-1.2160429,0.8178298
c_1_1_106,-1.0531855,-0.4696052
c_1_1_107,-2.3323383,2.0428367
c_1_1_108,-1.450007,-0.09292813
c_1_1_109,-0.4971189,-0.39026776
c_1_1_110,-1.2662791,-1.105312
c_1_1_111,-0.27780458,-0.28362048
c_1_1_112,-0.9501447,-1.7216619
c_1_1_113,-0.8145495,-0.0076818066
c_1_1_114,-0.74890304,-0.18646581
c_1_1_115,-1.3757337,0.30483788
c_1_1_116,-0.42708007,0.3981164
c_1_1_117,-1.1462609,-0.3792672
c_1_1_118,-1.9258891,2.327813
c_1_1_119,-0.82258487,-2.4889686
c_1_1_120,-0.9793639,-0.57254255
c_1_1_121,-0.22901306,0.37210038
c_1_1_122,-1.6614184,2.2318494
c_1_1_123,-1.1239082,-2.9432278
c_1_1_124,-1.690902,0.23794806
c_1_1_125,-1.5249542,0.6862366
c_1_1_126,-1.8771024,1.2318485
c_1_1_127,-1.4833983,1.9556297
c_1_1_128,-0.18661019,0.3555615
c_1_1_129,-0.67948335,-0.07021189
c_1_1_130,-1.5111237,0.46926814
c_1_1_131,-0.5930473,-0.22683315
c_1_1_132,-1.3813729,0.406433
c_1_1_133,-0.14405404,-1.077465
c_1_1_134,-0.7207433,3.4044075
c_1_1_135,-0.86376435,0.45209995
c_1_1_136,-0.891489,-1.7363201
c_1_1_137,0.19243683,-0.7020379
c_1_1_138,0.02903786,-0.049615294
c_1_1_139,-1.8056278,0.10399969
c_1_1_141,0.022679815,0.0402022
c_1_1_142,-0.96186763,0.8282977
c_1_1_143,-0.17316903,-1.4687502
c_1_1_144,-0.93016464,0.948546
c_1_1_145,-1.3436517,0.5116148
c_1_1_146,-0.97973615,0.586207
c_1_1_147,-0.90927213,1.4468553
c_1_1_148,-0.38800406,0.36238977
c_1_1_149,-0.68720067,0.51593876
c_1_1_150,-1.5901877,-0.098446436
c_1_1_151,-0.38675007,-0.55310416
c_1_1_152,-1.7310851,0.82550156
c_1_1_153,-2.0685344,-1.5528563
c_1_1_154,-0.23880449,0.6074927
c_1_1_155,-1.2359611,3.84038
c_1_1_156,-1.5432332,-0.2660605
c_1_1_157,-1.5127509,-1.3940371
c_1_1_158,-0.67999375,-1.1152703
c_1_1_159,-1.5216639,-0.521604
c_1_1_160,-0.37965164,-0.39353785
c_1_1_161,-0.15552945,0.7065485
c_1_1_162,-0.06767828,1.5686029
c_1_1_163,-0.62307584,0.1991594
c_1_1_164,-2.0988758,2.6015193
c_1_1_165,-1.412251,-0.78320783
c_1_1_166,-0.9287038,-0.8093075
c_1_1_167,-1.8002182,1.3211954
c_1_1_168,-1.4996618,2.4965804
c_1_1_169,-0.48851705,-1.7614627
c_1_1_170,-1.0308018,-1.2575288
c_1_1_171,-0.2496333,-1.3688865
c_1_1_172,-1.0309856,-2.756551
c_1_1_173,0.6545533,-0.20568393
c_1_1_174,-0.94567555,-0.97485757
c_1_1_175,-0.3738661,-2.3526337
c_1_1_176,0.4265943,0.18584563
c_1_1_177,-1.648414,1.0468465
c_1_1_178,-1.0616918,0.10303764
c_1_1_179,-1.0092413,-0.48021415
c_1_1_180,-1.8255128,3.7993832
c_1_1_181,-1.3809549,-0.26793802
c_1_1_182,-0.3826987,-0.60647213
c_1_1_183,-2.1269493,-2.6981714
c_1_1_184,0.26868734,0.5593316
c_1_1_185,-1.5957798,-1.0145371
c_1_1_186,-0.96563697,5.254823
c_1_1_187,0.14661889,0.8537687
c_1_1_188,-0.6967095,-0.19705454
c_1_1_189,-0.6873177,1.4438242
c_1_1_190,-0.68800074,2.0735006
c_1_1_191,-1.3650554,-1.2293923
c_1_1_192,-0.09334936,2.2445297
c_1_1_193,-1.4656414,-0.48847276
c_1_1_194,-0.7263319,0.50387603
c_1_1_195,-0.9294116,-0.22158195
c_1_1_196,-1.495584,1.7836435
c_1_1_198,0.42807686,-1.2671009
c_1_1_199,-0.39523405,0.4010716
c_1_1_200,-1.0472232,-1.5173286
c_1_1_201,-0.68345183,-0.16693859
c_1_1_202,-1.465418,-0.25263852
c_1_1_203,-1.5544497,-0.94819015
c_1_1_204,1.0830929,0.5007134
c_1_1_205,-2.0220518,0.67325234
c_1_1_206,-1.7581065,2.1674078
c_1_1_207,-0.9422204,-1.7304195
c_1_1_208,-2.756502,6.469377
c_1_1_209,-1.7150573,-0.68322
c_1_1_210,-1.7315106,0.60592526
c_1_1_211,-0.9991145,4.271747
c_1_1_212,-1.3223147,-2.1653926
c_1_1_213,-1.6635385,-0.026102325
c_1_1_214,-0.5825256,1.3043777
c_1_1_215,-1.0879633,-1.8158597
c_1_1_216,-1.0176483,1.0572534
c_1_1_217,1.8873026,-0.2258987
c_1_1_218,-0.46763673,0.8169069
c_1_1_219,-1.3272537,0.51025444
c_1_1_220,-0.6231226,-0.44195193
c_1_1_221,-0.45536056,-0.5674409
c_1_1_222,-2.698433,-4.3434086
c_1_1_223,-0.94841653,-0.9886966
c_1_1_224,-1.2923677,-0.6745112
c_1_1_225,-0.49912632,0.9915712
c_1_1_226,-1.452583,0.66173035
c_1_1_227,-0.5553054,1.579633
c_1_1_228,-2.1891031,5.4840083
c_1_1_229,-1.336821,-0.37164775
c_1_1_230,-0.9798762,-0.013253925
c_1_1_231,-0.5592166,-1.4696953
c_1_1_232,-1.2483548,-0.30719736
c_1_1_233,-1.0637157,0.16740966
c_1_1_234,0.2580976,-0.27923813
c_1_1_235,-0.5804976,-0.95784146
c_1_1_236,0.32768595,-1.5463345
c_1_1_237,-0.9584138,-1.0022427
c_1_1_238,-1.9543383,-1.0607015
c_1_1_239,-1.7690172,1.8922409
c_1_1_240,-0.24717006,-0.18583731
c_1_1_241,-0.8738077,0.058120504
