cell_id,PC_1,PC_2
c_1_46_1,-0.7031288,-0.9295529
c_1_46_2,-0.5283142,-0.49310964
c_1_46_3,0.80214626,-1.2506019
c_1_46_5,-2.3998191,0.96022177
c_1_46_6,0.38462916,-0.085939
c_1_46_7,1.2397543,-1.3503399
c_1_46_8,0.6126674,1.0530665
c_1_46_9,1.8593744,-2.6893992
c_1_46_10,1.2796454,-2.1278768
c_1_46_11,0.38923088,1.0662841
c_1_46_12,0.35024458,-0.3740305
c_1_46_13,-1.0562301,1.1948183
c_1_46_14,-1.046853,-1.409135
c_1_46_15,-1.6510259,0.9894947
c_1_46_16,-1.0830175,-1.4653614
c_1_46_17,-0.2041234,0.96603805
c_1_46_18,-1.6218255,-0.6793293
c_1_46_19,0.7145467,-2.2996433
c_1_46_20,-1.9377491,-2.2695048
c_1_46_21,-2.14546,-0.23632208
c_1_46_22,0.7824464,0.84734815
c_1_46_23,0.4296021,-1.1107477
c_1_46_24,-0.56992817,-0.85361177
c_1_46_25,0.30332744,-0.18759927
c_1_46_26,-0.11454425,0.22193299
c_1_46_27,0.42017478,-0.03368796
c_1_46_28,-1.5930024,-1.2883621
c_1_46_29,-0.023476047,-3.647467
c_1_46_30,0.07438304,-1.2723409
c_1_46_31,0.5101403,-0.15258008
c_1_46_32,-0.86572427,-0.5074805
c_1_46_33,-0.34364453,0.7298447
c_1_46_34,-2.1222546,-3.4909596
c_1_46_35,0.9314405,-1.3456677
c_1_46_36,-2.4827662,-3.1329677
c_1_46_37,1.3309047,1.7499541
c_1_46_38,-1.7525499,-0.8311074
c_1_46_39,0.19479555,0.24704202
c_1_46_40,-1.0323343,-1.6209891
c_1_46_41,-0.9542287,1.1748148
c_1_46_42,-0.6769601,-0.10848018
c_1_46_43,0.21215694,-0.6064856
c_1_46_44,0.24689649,-0.80944484
c_1_46_45,-1.1456503,0.7022058
c_1_46_46,0.25198296,0.030872425
c_1_46_47,-0.1666221,0.5585091
c_1_46_48,0.5675831,-0.93869114
c_1_46_49,-0.01871456,-0.24505281
c_1_46_50,-0.3766753,-0.16852912
c_1_46_51,-2.2888603,-1.3981856
c_1_46_52,0.060680892,-0.23702832
c_1_46_53,0.32084215,-0.26508218
c_1_46_54,0.881006,-0.8331698
c_1_46_55,-0.84846675,-0.07372709
c_1_46_56,0.16384944,-0.6517327
c_1_46_57,0.48671886,-1.4260573
c_1_46_58,-0.16675337,0.8288486
c_1_46_59,1.4026687,-0.14894493
c_1_46_60,-0.68391573,-0.9248096
c_1_46_61,-0.7579568,-1.1809036
c_1_46_62,0.9466731,0.18485875
c_1_46_63,-0.16568083,-1.5715828
c_1_46_64,-1.7157425,-0.056786448
c_1_46_65,-0.823597,0.3090499
c_1_46_66,0.07439156,0.74885726
c_1_46_67,-0.60019773,0.060002368
c_1_46_68,0.90654194,-0.7653738
c_1_46_69,-0.49867064,0.36371815
c_1_46_70,-1.0886377,-0.20735668
c_1_46_71,-0.21222182,-0.46053782
c_1_46_72,-3.7408595,-5.627612
c_1_46_73,-1.2837362,1.5056254
c_1_46_74,-1.2640814,-0.10780127
c_1_46_75,-0.9161765,0.276005
c_1_46_76,-0.8700756,2.346295
c_1_46_77,-0.8117019,-0.35835728
c_1_46_78,-0.4397515,-0.2617844
c_1_46_79,-0.7570332,-0.9243759
c_1_46_80,0.8620464,0.40529492
c_1_46_81,-0.75244474,-1.1481062
c_1_46_82,0.39823666,0.28562653
c_1_46_83,-1.7353214,2.507448
c_1_46_84,2.2309241,-0.59893036
c_1_46_85,-0.3216299,0.4812788
c_1_46_86,-2.4743617,2.4064848
c_1_46_87,0.8202799,-1.2830493
c_1_46_88,-1.8411357,3.5743382
c_1_46_89,1.2250749,-1.4244391
c_1_46_90,-0.07477348,-0.061598025
c_1_46_91,-1.3485348,1.8960006
c_1_46_92,-0.116088524,0.8610693
c_1_46_93,0.9627728,-0.8659117
c_1_46_94,-0.27200347,-1.2237256
c_1_46_95,0.47330207,-1.0956181
c_1_46_96,1.8447292,-1.3932424
c_1_46_97,1.2575603,0.15404962
c_1_46_98,0.256289,2.5174787
c_1_46_99,-0.15149121,-0.41950303
c_1_46_100,0.06062662,-0.47309598
c_1_46_101,-1.2470096,-0.17321622
c_1_46_102,-0.76731634,-0.75405556
c_1_46_103,0.76765865,-1.6033692
c_1_46_104,-0.9261508,1.8119419
c_1_46_105,-0.34100568,-0.49748605
c_1_46_106,-1.8914516,-1.7546836
c_1_46_107,2.3175867,-0.9831064
c_1_46_108,-0.5824119,-0.7614368
c_1_46_109,-1.0832185,-1.38775
c_1_46_110,1.1903756,-0.82171655
c_1_46_111,0.12640257,0.8687946
c_1_46_112,-0.6087387,-1.6498142
c_1_46_113,-1.1792884,-0.49322012
c_1_46_114,-2.202016,4.0372243
c_1_46_115,-0.25270316,-0.20684119
c_1_46_116,-1.0929124,1.0861496
c_1_46_117,1.0009103,-0.0690662
c_1_46_118,-0.7962786,0.42492893
c_1_46_119,0.84244454,-0.80363643
