cell_id,UMAP_1,UMAP_2
c_1_46_1,8.102154,5.0950756
c_1_46_2,10.424594,3.4480672
c_1_46_3,9.240204,4.785517
c_1_46_5,9.06653,2.6240144
c_1_46_6,9.305844,4.4144464
c_1_46_7,7.5581145,9.754306
c_1_46_8,8.172283,6.1860714
c_1_46_9,7.4887285,8.881497
c_1_46_10,7.8796916,8.973975
c_1_46_11,9.050458,7.049174
c_1_46_12,5.9030275,6.830516
c_1_46_13,10.912757,3.2274737
c_1_46_14,7.9083757,5.6105814
c_1_46_15,9.061775,1.9794594
c_1_46_16,6.539198,5.281185
c_1_46_17,10.334796,3.7455409
c_1_46_18,6.5345244,4.066662
c_1_46_19,7.7294235,9.293345
c_1_46_20,4.891269,4.5456276
c_1_46_21,7.0165358,3.485595
c_1_46_22,7.4025073,7.1136217
c_1_46_23,8.066787,6.176946
c_1_46_24,9.9925785,5.0923495
c_1_46_25,9.415649,5.628601
c_1_46_26,7.5986967,5.495928
c_1_46_27,7.4624395,6.980293
c_1_46_28,8.061525,5.226046
c_1_46_29,6.42729,6.705924
c_1_46_30,7.314676,5.5828614
c_1_46_31,9.679212,3.735826
c_1_46_32,8.147988,4.4236627
c_1_46_33,7.044644,2.3790755
c_1_46_34,7.171884,5.6795363
c_1_46_35,7.800943,8.838089
c_1_46_36,5.3557506,6.4760165
c_1_46_37,9.326291,5.119761
c_1_46_38,7.3383923,4.010473
c_1_46_39,7.7473216,4.027861
c_1_46_40,6.566515,7.1060133
c_1_46_41,8.13798,2.7708242
c_1_46_42,8.043077,8.122505
c_1_46_43,9.7989,4.5616713
c_1_46_44,7.216911,4.91182
c_1_46_45,9.706667,2.638974
c_1_46_46,9.390327,4.93023
c_1_46_47,8.983691,3.926635
c_1_46_48,6.175096,7.16724
c_1_46_49,9.3179035,5.3169246
c_1_46_50,7.580836,4.900249
c_1_46_51,6.2330337,4.713803
c_1_46_52,8.786508,4.611706
c_1_46_53,8.762883,4.595062
c_1_46_54,7.568376,8.209852
c_1_46_55,7.0506544,4.3388257
c_1_46_56,12.551101,6.130962
c_1_46_57,7.407954,8.638307
c_1_46_58,10.184767,3.689767
c_1_46_59,8.921838,7.588862
c_1_46_60,7.3402877,4.929942
c_1_46_61,6.9885206,5.8362474
c_1_46_62,10.331587,5.4360256
c_1_46_63,7.2536993,8.067995
c_1_46_64,6.7795715,4.3008556
c_1_46_65,8.338216,3.468968
c_1_46_66,8.663516,2.689339
c_1_46_67,8.806407,4.168419
c_1_46_68,6.6383395,6.9958625
c_1_46_69,8.15244,4.9305687
c_1_46_70,7.1328735,4.5735626
c_1_46_71,7.6351604,7.8003
c_1_46_72,3.750042,3.9134421
c_1_46_73,8.347804,1.2317463
c_1_46_74,9.068701,5.456583
c_1_46_75,8.6029825,5.3512034
c_1_46_76,6.5295987,2.2911406
c_1_46_77,8.673605,3.893198
c_1_46_78,8.233724,5.9333134
c_1_46_79,6.876208,5.9261084
c_1_46_80,8.486018,7.928718
c_1_46_81,7.4533668,5.2842956
c_1_46_82,7.61317,5.9055047
c_1_46_83,7.511218,0.7270397
c_1_46_84,7.856828,9.994627
c_1_46_85,7.398376,3.101798
c_1_46_86,9.013699,0.32675308
c_1_46_87,7.335969,9.993603
c_1_46_88,8.256733,0.16049485
c_1_46_89,7.227456,9.331971
c_1_46_90,7.83294,7.344391
c_1_46_91,8.676988,2.5183327
c_1_46_92,9.418141,4.5254126
c_1_46_93,9.401308,7.0995426
c_1_46_94,7.501248,9.02257
c_1_46_95,7.3804083,8.946253
c_1_46_96,7.8776455,10.002284
c_1_46_97,8.7443075,4.2339087
c_1_46_98,8.522822,5.995164
c_1_46_99,7.906762,4.6097584
c_1_46_100,8.335133,5.279723
c_1_46_101,6.774922,5.5407615
c_1_46_102,9.350073,3.3518074
c_1_46_103,7.3427596,8.585885
c_1_46_104,9.485302,2.162841
c_1_46_105,7.526371,5.3169847
c_1_46_106,6.2221227,3.9856062
c_1_46_107,8.02733,10.0588
c_1_46_108,7.5396557,9.132252
c_1_46_109,5.68906,3.4297209
c_1_46_110,6.428781,7.3694043
c_1_46_111,7.976219,7.8719883
c_1_46_112,6.093411,5.641749
c_1_46_113,6.542184,6.1590858
c_1_46_114,8.355868,-0.731919
c_1_46_115,8.2278,5.48057
c_1_46_116,8.634959,1.1307162
c_1_46_117,8.164885,6.3885937
c_1_46_118,8.536591,4.083726
c_1_46_119,10.692228,4.474276
c_1_46_120,7.7951612,10.042472
c_1_46_121,7.025724,5.546308
c_1_46_122,8.668359,8.264625
c_1_46_123,8.822239,0.69285446
c_1_46_124,8.8817625,6.494451
c_1_46_125,7.3238525,9.727905
c_1_46_126,7.1351194,5.8807507
c_1_46_127,7.784421,5.027477
c_1_46_128,5.321463,6.7683206
c_1_46_129,5.8190637,6.0386605
c_1_46_130,8.639878,4.9624443
c_1_46_131,9.548646,6.537083
c_1_46_132,9.769427,4.750729
c_1_46_133,8.273781,5.6262665
c_1_46_134,10.233134,3.8418343
c_1_46_135,3.5004644,4.4045553
c_1_46_136,9.152359,4.173566
c_1_46_137,6.3788357,3.1911707
c_1_46_138,7.2360635,6.3534136
c_1_46_139,7.726376,3.7813246
c_1_46_140,8.61833,3.930756
c_1_46_141,6.883512,5.5618386
