cell_id,cell_type
c_1_46_1,Lymphoid-Other
c_1_46_2,Lymphoid-Other
c_1_46_3,Lymphoid-Other
c_1_46_5,Lymphoid-T
c_1_46_6,Lymphoid-Other
c_1_46_7,Lymphoid-Plasma
c_1_46_8,Lymphoid-T
c_1_46_9,Lymphoid-Plasma
c_1_46_10,Lymphoid-Plasma
c_1_46_11,Lymphoid-DC
c_1_46_12,Lymphoid-Other
c_1_46_13,Lymphoid-Other
c_1_46_14,Lymphoid-Other
c_1_46_15,Lymphoid-T
c_1_46_16,Lymphoid-Other
c_1_46_17,Lymphoid-Other
c_1_46_18,Lymphoid-Other
c_1_46_19,Lymphoid-Plasma
c_1_46_20,Lymphoid-Other
c_1_46_21,Lymphoid-T
c_1_46_22,Lymphoid-DC
c_1_46_23,Lymphoid-Other
c_1_46_24,Lymphoid-Other
c_1_46_25,Lymphoid-Other
c_1_46_26,Lymphoid-Other
c_1_46_27,Lymphoid-Other
c_1_46_28,Lymphoid-T
c_1_46_29,Lymphoid-Other
c_1_46_30,Lymphoid-Other
c_1_46_31,Lymphoid-T
c_1_46_32,Lymphoid-Other
c_1_46_33,Lymphoid-Other
c_1_46_34,Lymphoid-T
c_1_46_35,Lymphoid-Plasma
c_1_46_36,Lymphoid-Other
c_1_46_37,Lymphoid-Other
c_1_46_38,Lymphoid-Other
c_1_46_39,Lymphoid-Other
c_1_46_40,Lymphoid-Other
c_1_46_41,Lymphoid-Other
c_1_46_42,Lymphoid-Plasma
c_1_46_43,Lymphoid-T
c_1_46_44,Lymphoid-Other
c_1_46_45,Lymphoid-T
c_1_46_46,Lymphoid-Other
c_1_46_47,Lymphoid-Other
c_1_46_48,Myeloid
c_1_46_49,Lymphoid-Other
c_1_46_50,Lymphoid-Other
c_1_46_51,Endothelial
c_1_46_52,Lymphoid-Other
c_1_46_53,Lymphoid-Other
c_1_46_54,Lymphoid-Other
c_1_46_55,Lymphoid-T
c_1_46_56,Lymphoid-Other
c_1_46_57,Lymphoid-Other
c_1_46_58,Lymphoid-T
c_1_46_59,Lymphoid-B
c_1_46_60,Lymphoid-Other
c_1_46_61,Lymphoid-T
c_1_46_62,Lymphoid-Other
c_1_46_63,Lymphoid-Plasma
c_1_46_64,Lymphoid-Other
c_1_46_65,Lymphoid-Other
c_1_46_66,Lymphoid-Other
c_1_46_67,Lymphoid-Other
c_1_46_68,Lymphoid-Other
c_1_46_69,Lymphoid-Other
c_1_46_70,Lymphoid-Other
c_1_46_71,Lymphoid-Other
c_1_46_72,Lymphoid-Other
c_1_46_73,Lymphoid-Other
c_1_46_74,Lymphoid-Other
c_1_46_75,Lymphoid-Other
c_1_46_76,Lymphoid-Other
c_1_46_77,Lymphoid-Other
c_1_46_78,Lymphoid-Other
c_1_46_79,Lymphoid-Other
c_1_46_80,Lymphoid-Plasma
c_1_46_81,Lymphoid-Other
c_1_46_82,Lymphoid-Other
c_1_46_83,Epithelial
c_1_46_84,Lymphoid-Plasma
c_1_46_85,Lymphoid-Other
c_1_46_86,Lymphoid-Other
c_1_46_87,Lymphoid-Plasma
c_1_46_88,Epithelial
c_1_46_89,Lymphoid-Plasma
c_1_46_90,Lymphoid-Other
c_1_46_91,Lymphoid-Other
c_1_46_92,Lymphoid-T
c_1_46_93,Lymphoid-Other
c_1_46_94,Lymphoid-Plasma
c_1_46_95,Lymphoid-Plasma
c_1_46_96,Lymphoid-Plasma
c_1_46_97,Lymphoid-Other
c_1_46_98,Lymphoid-Other
c_1_46_99,Lymphoid-Other
c_1_46_100,Lymphoid-Other
c_1_46_101,Lymphoid-T
c_1_46_102,Lymphoid-Other
c_1_46_103,Lymphoid-Plasma
c_1_46_104,Lymphoid-Other
c_1_46_105,Lymphoid-Other
c_1_46_106,Lymphoid-T
c_1_46_107,Lymphoid-Plasma
c_1_46_108,Lymphoid-Plasma
c_1_46_109,Lymphoid-Other
c_1_46_110,Lymphoid-Other
c_1_46_111,Lymphoid-Other
c_1_46_112,Lymphoid-Other
c_1_46_113,Lymphoid-Other
c_1_46_114,Stem
c_1_46_115,Lymphoid-Other
c_1_46_116,Epithelial
c_1_46_117,Lymphoid-Other
c_1_46_118,Lymphoid-Other
c_1_46_119,Lymphoid-T
c_1_46_120,Lymphoid-Plasma
c_1_46_121,Lymphoid-Other
c_1_46_122,Lymphoid-Plasma
c_1_46_123,Epithelial
c_1_46_124,Lymphoid-Other
c_1_46_125,Lymphoid-Plasma
c_1_46_126,Lymphoid-Other
c_1_46_127,Lymphoid-Other
c_1_46_128,Lymphoid-Other
c_1_46_129,Lymphoid-T
c_1_46_130,Lymphoid-Other
c_1_46_131,Lymphoid-Other
c_1_46_132,Lymphoid-Other
c_1_46_133,Lymphoid-Other
c_1_46_134,Lymphoid-Other
c_1_46_135,Mesenchymal-Stromal
c_1_46_136,Lymphoid-Other
c_1_46_137,Lymphoid-T
c_1_46_138,Lymphoid-Other
c_1_46_139,Lymphoid-Other
c_1_46_140,Lymphoid-Other
c_1_46_141,Lymphoid-Other
c_1_46_142,Lymphoid-T
c_1_46_143,Lymphoid-Other
c_1_46_144,Epithelial
c_1_46_145,Lymphoid-Other
c_1_46_146,Lymphoid-Other
c_1_46_147,Lymphoid-Other
c_1_46_148,Lymphoid-Other
c_1_46_149,Lymphoid-Other
c_1_46_150,Epithelial
c_1_46_151,Lymphoid-Other
c_1_46_152,Myeloid
c_1_46_153,Lymphoid-Other
c_1_46_154,Lymphoid-T
c_1_46_155,Lymphoid-Other
c_1_46_156,Lymphoid-Other
c_1_46_157,Lymphoid-Other
c_1_46_158,Lymphoid-Other
c_1_46_159,Lymphoid-Other
c_1_46_160,Lymphoid-DC
c_1_46_161,Lymphoid-T
c_1_46_162,Lymphoid-T
c_1_46_163,Lymphoid-Other
c_1_46_164,Lymphoid-Other
c_1_46_165,Lymphoid-Other
c_1_46_166,Lymphoid-T
c_1_46_167,Epithelial
c_1_46_168,Lymphoid-Other
c_1_46_169,Lymphoid-Other
c_1_46_170,Lymphoid-Other
c_1_46_171,Epithelial
c_1_46_172,Lymphoid-Other
c_1_46_173,Myeloid
c_1_46_174,Lymphoid-Other
c_1_46_175,Lymphoid-Other
c_1_46_176,Lymphoid-DC
c_1_46_177,Lymphoid-Other
c_1_46_178,Lymphoid-Other
c_1_46_179,Lymphoid-T
c_1_46_180,Mesenchymal-Stromal
c_1_46_181,Lymphoid-Other
c_1_46_182,Lymphoid-T
c_1_46_183,Lymphoid-Other
c_1_46_184,Epithelial
c_1_46_185,Lymphoid-Other
c_1_46_186,Lymphoid-Other
c_1_46_187,Lymphoid-Other
c_1_46_188,Lymphoid-Other
c_1_46_189,Lymphoid-Other
c_1_46_190,Lymphoid-T
c_1_46_191,Epithelial
c_1_46_192,Epithelial
c_1_46_193,Lymphoid-Other
c_1_46_194,Lymphoid-Other
