cell_id,cell_type
c_1_39_1,Neuronal-Glial
c_1_39_2,Lymphoid-Other
c_1_39_4,Lymphoid-Other
c_1_39_5,Lymphoid-Other
c_1_39_6,Neuronal-Glial
c_1_39_7,Mesenchymal-Stromal
c_1_39_8,Mesenchymal-Stromal
c_1_39_9,Lymphoid-T
c_1_39_10,Neuronal-Glial
c_1_39_11,Lymphoid-Other
c_1_39_12,Mesenchymal-Stromal
c_1_39_13,Mesenchymal-Stromal
c_1_39_14,Neuronal-Glial
c_1_39_15,Lymphoid-Other
c_1_39_16,Mesenchymal-Stromal
c_1_39_17,Mesenchymal-Stromal
c_1_39_18,Lymphoid-Other
c_1_39_19,Mesenchymal-Stromal
c_1_39_20,Endothelial
c_1_39_21,Mesenchymal-Stromal
c_1_39_22,Neuronal-Glial
c_1_39_23,Mesenchymal-Stromal
c_1_39_24,Mesenchymal-Stromal
c_1_39_25,Neuronal-Glial
c_1_39_26,Neuronal-Glial
c_1_39_27,Mesenchymal-Stromal
c_1_39_28,Mesenchymal-Stromal
c_1_39_29,Neuronal-Glial
c_1_39_30,Lymphoid-Other
c_1_39_31,Mesenchymal-Stromal
c_1_39_32,Mesenchymal-Stromal
c_1_39_33,Mesenchymal-Stromal
c_1_39_34,Mesenchymal-Stromal
c_1_39_35,Neuronal-Glial
c_1_39_36,Mesenchymal-Stromal
c_1_39_37,Mesenchymal-Stromal
c_1_39_38,Myeloid
c_1_39_39,Lymphoid-DC
c_1_39_40,Mesenchymal-Stromal
c_1_39_41,Neuronal-Glial
c_1_39_44,Mesenchymal-Stromal
c_1_39_45,Mesenchymal-Stromal
c_1_39_46,Endothelial
c_1_39_47,Endothelial
c_1_39_48,Endothelial
c_1_39_49,Mesenchymal-Stromal
c_1_39_50,Mesenchymal-Stromal
c_1_39_51,Myeloid
c_1_39_52,Lymphoid-Other
c_1_39_53,Lymphoid-Other
c_1_39_54,Mesenchymal-Stromal
c_1_39_55,Lymphoid-Other
c_1_39_56,Mesenchymal-Stromal
c_1_39_59,Mesenchymal-Stromal
c_1_39_62,Mesenchymal-Stromal
c_1_39_63,Mesenchymal-Stromal
c_1_39_64,Neuronal-Glial
c_1_39_65,Mesenchymal-Stromal
c_1_39_66,Endothelial
c_1_39_67,Mesenchymal-Stromal
c_1_39_68,Mesenchymal-Stromal
c_1_39_69,Mesenchymal-Stromal
c_1_39_70,Mesenchymal-Stromal
c_1_39_71,Mesenchymal-Stromal
c_1_39_72,Mesenchymal-Stromal
