cell_id,PC_1,PC_2
c_1_33_1,-4.8775997,-0.7480708
c_1_33_2,2.2111514,-2.1195319
c_1_33_3,1.9622196,-1.1195964
c_1_33_4,2.2851827,-1.2449461
c_1_33_5,1.5122669,-0.5072478
c_1_33_6,2.363455,-0.7491419
c_1_33_7,1.574087,-1.3872149
c_1_33_8,1.9903921,-0.9672836
c_1_33_9,-0.7416782,-0.9285953
c_1_33_10,2.178866,-0.19788611
c_1_33_11,2.1479003,-0.68699133
c_1_33_12,2.4975243,-1.5030905
c_1_33_13,3.1391282,-1.4635192
c_1_33_14,-1.9917825,0.24074055
c_1_33_15,2.136274,-0.42637414
c_1_33_16,2.1714182,-1.7424251
c_1_33_17,2.4360452,-0.7433733
c_1_33_18,1.432915,-0.66627467
c_1_33_19,2.296284,-0.61230415
c_1_33_20,0.41594175,-0.085190944
c_1_33_21,1.0984117,-1.2725613
c_1_33_22,-0.29075813,0.5417388
c_1_33_23,-0.37260348,0.16345263
c_1_33_24,2.5932634,-1.0448282
c_1_33_25,2.2778282,-1.2093307
c_1_33_26,1.25762,-1.3738843
c_1_33_27,0.4429844,-0.4101528
c_1_33_28,1.7201501,-2.3483415
c_1_33_29,2.8118062,-1.2365863
c_1_33_30,2.5826733,-0.77132696
c_1_33_31,0.89443123,0.05681106
c_1_33_32,-0.23955166,2.0985777
c_1_33_33,0.8990976,-0.27142298
c_1_33_34,1.7553803,-1.1569706
c_1_33_35,-1.220204,-0.09644009
c_1_33_37,4.1487093,-1.5960242
c_1_33_38,2.6647859,-1.2596474
c_1_33_39,-1.7536666,1.8812675
c_1_33_40,3.0347245,-1.0450689
c_1_33_41,2.6235785,-2.2127368
c_1_33_42,1.3263674,-0.66756123
c_1_33_43,-1.4317948,2.6014783
c_1_33_44,3.4990678,-1.5803235
c_1_33_45,2.313557,-0.72858435
c_1_33_46,2.2625206,-2.2942684
c_1_33_47,3.304464,-1.8987986
c_1_33_48,-1.3898298,-0.44904146
c_1_33_49,3.6659944,-1.8901964
c_1_33_50,2.338466,-0.37684354
c_1_33_51,1.8513103,-0.26117098
c_1_33_52,1.4594887,-0.20493992
c_1_33_53,0.799217,-0.81125975
c_1_33_54,3.0066226,-1.6787866
c_1_33_55,0.97454494,0.03385842
c_1_33_56,1.8542323,-0.46700722
c_1_33_57,0.38214397,0.28997767
c_1_33_58,0.03609414,1.137453
c_1_33_59,-0.7247754,1.3490576
c_1_33_60,-0.06268666,1.3551044
c_1_33_61,0.8143266,-0.94871515
c_1_33_62,-0.8860425,0.5351908
c_1_33_63,0.70513564,0.31427568
c_1_33_64,2.3296208,-0.96948755
c_1_33_65,1.150729,-0.24443391
c_1_33_66,0.6566129,-1.3046385
c_1_33_67,1.0274041,-0.5494706
c_1_33_68,1.8935648,-0.3020089
c_1_33_69,1.5671949,-0.13830197
c_1_33_70,1.1051532,-0.0041357414
c_1_33_71,1.5646673,-0.24100457
c_1_33_72,1.0634078,0.122269064
c_1_33_73,-0.48445204,-0.0136758
c_1_33_74,1.4388359,-0.19808322
c_1_33_75,1.2390971,-0.74291706
c_1_33_76,-2.1189725,1.770953
c_1_33_77,1.3407019,0.39615655
c_1_33_78,-1.5159929,0.8999762
c_1_33_79,0.53916574,-0.2383072
