cell_id,cell_type
c_1_1_1,Endothelial
c_1_1_2,Endothelial
c_1_1_3,Lymphoid-Other
c_1_1_5,Lymphoid-Other
c_1_1_7,Lymphoid-Other
c_1_1_8,Endothelial
c_1_1_9,Lymphoid-T
c_1_1_10,Lymphoid-B
c_1_1_11,Lymphoid-Other
c_1_1_12,Lymphoid-Other
c_1_1_13,Mesenchymal-Stromal
c_1_1_14,Lymphoid-T
c_1_1_15,Lymphoid-Other
c_1_1_16,Lymphoid-Other
c_1_1_17,Endothelial
c_1_1_18,Lymphoid-Other
c_1_1_19,Lymphoid-Other
c_1_1_20,Lymphoid-Other
c_1_1_21,Endothelial
c_1_1_23,Lymphoid-Other
c_1_1_24,Endothelial
c_1_1_26,Lymphoid-Other
c_1_1_28,Lymphoid-Other
c_1_1_29,Lymphoid-Other
c_1_1_30,Endothelial
c_1_1_31,Lymphoid-Other
c_1_1_32,Erythroid
c_1_1_33,Endothelial
c_1_1_34,Erythroid
c_1_1_35,Lymphoid-Other
c_1_1_36,Lymphoid-Other
c_1_1_37,Lymphoid-Other
c_1_1_38,Lymphoid-Other
c_1_1_39,Mesenchymal-Stromal
c_1_1_40,Endothelial
c_1_1_41,Lymphoid-Other
c_1_1_42,Lymphoid-Other
c_1_1_43,Lymphoid-Other
c_1_1_44,Myeloid
c_1_1_45,Endothelial
c_1_1_46,Erythroid
c_1_1_47,Erythroid
c_1_1_48,Lymphoid-Plasma
c_1_1_49,Lymphoid-Other
c_1_1_50,Lymphoid-Other
c_1_1_51,Lymphoid-Other
c_1_1_52,Endothelial
c_1_1_54,Lymphoid-Plasma
c_1_1_55,Lymphoid-Other
c_1_1_56,Endothelial
c_1_1_57,Lymphoid-Other
c_1_1_58,Lymphoid-Plasma
c_1_1_59,Endothelial
c_1_1_60,Lymphoid-Other
c_1_1_61,Lymphoid-Other
c_1_1_62,Lymphoid-Other
c_1_1_64,Lymphoid-Other
c_1_1_65,Endothelial
c_1_1_66,Lymphoid-Other
c_1_1_67,Endothelial
c_1_1_68,Endothelial
c_1_1_69,Lymphoid-Other
c_1_1_70,Endothelial
c_1_1_71,Epithelial
c_1_1_72,Lymphoid-Other
c_1_1_73,Endothelial
c_1_1_74,Lymphoid-Other
c_1_1_76,Lymphoid-Other
c_1_1_77,Endothelial
c_1_1_78,Lymphoid-Other
c_1_1_79,Lymphoid-Other
c_1_1_80,Lymphoid-Other
c_1_1_81,Lymphoid-Other
c_1_1_82,Lymphoid-T
c_1_1_83,Lymphoid-DC
c_1_1_84,Endothelial
c_1_1_85,Endothelial
c_1_1_86,Lymphoid-T
c_1_1_87,Lymphoid-DC
c_1_1_88,Endothelial
c_1_1_89,Endothelial
c_1_1_90,Lymphoid-Other
c_1_1_93,Erythroid
c_1_1_95,Lymphoid-T
c_1_1_96,Endothelial
c_1_1_97,Myeloid
c_1_1_99,Lymphoid-Other
c_1_1_100,Lymphoid-DC
c_1_1_102,Lymphoid-Plasma
c_1_1_103,Lymphoid-Plasma
c_1_1_104,Lymphoid-Other
c_1_1_106,Lymphoid-T
c_1_1_108,Lymphoid-Other
c_1_1_110,Erythroid
c_1_1_112,Lymphoid-Other
c_1_1_113,Erythroid
c_1_1_114,Lymphoid-DC
c_1_1_115,Endothelial
c_1_1_116,Mesenchymal-Stromal
c_1_1_117,Epithelial
c_1_1_118,Myeloid
