cell_id,PC_1,PC_2
c_1_41_1,0.72526807,2.7544572
c_1_41_2,6.3359594,2.920293
c_1_41_3,0.5054689,2.5538948
c_1_41_4,1.8497525,4.6884413
c_1_41_5,0.7921649,4.9600825
c_1_41_6,5.0830884,4.175541
c_1_41_7,2.6311395,5.098567
c_1_41_8,1.7825065,2.2792468
c_1_41_9,0.77954453,-0.39315203
c_1_41_10,2.6856315,1.8994249
c_1_41_11,1.4512897,4.11605
c_1_41_12,4.7749977,2.980481
c_1_41_13,7.776938,6.0079956
c_1_41_14,1.2222286,-1.1144915
c_1_41_15,5.1584153,5.2018948
c_1_41_16,4.086619,3.698306
c_1_41_17,4.454949,1.9282936
c_1_41_18,2.984619,4.036792
c_1_41_19,5.084517,3.6281602
c_1_41_20,0.97272974,5.4146094
c_1_41_21,5.94564,3.8500755
c_1_41_22,5.4324923,5.12823
c_1_41_23,1.8067422,-0.8700908
c_1_41_24,5.348162,3.158252
c_1_41_25,1.2121377,0.9141464
c_1_41_26,-0.311535,0.24458587
c_1_41_27,1.9931961,3.996398
c_1_41_28,-0.13151816,1.2882932
c_1_41_29,-1.2301774,0.69753027
c_1_41_30,0.34214845,0.2530583
c_1_41_32,6.5664077,6.4795785
c_1_41_33,2.8525648,7.7877426
c_1_41_34,6.1686625,3.2394917
c_1_41_35,4.6491156,4.129601
c_1_41_36,2.9206858,0.8616652
c_1_41_37,1.8869696,0.7340693
c_1_41_38,6.731508,3.014496
c_1_41_39,2.0240269,3.6876862
c_1_41_40,6.790819,2.7835674
c_1_41_41,0.3248799,-0.56437147
c_1_41_42,4.88648,5.556875
c_1_41_43,1.4213731,4.3645663
c_1_41_44,6.8016915,4.7271175
c_1_41_46,0.77335083,1.7828858
c_1_41_47,3.3366363,0.45437452
c_1_41_48,1.0306405,-1.4515877
c_1_41_49,4.7798867,3.0477874
c_1_41_50,-1.0394982,0.43644917
c_1_41_51,2.5403664,0.37318283
c_1_41_52,0.8696027,2.5284097
c_1_41_53,1.2002246,0.047030102
c_1_41_54,3.4822822,1.80766
c_1_41_55,0.39122543,0.34572816
c_1_41_56,2.0150259,-1.2933742
c_1_41_57,-0.9480133,0.7929488
c_1_41_58,2.2029371,0.8270577
c_1_41_59,-0.7100995,-0.44569543
c_1_41_60,3.4491346,-1.5864388
c_1_41_61,1.5874515,-0.44129154
c_1_41_62,-0.732669,0.17858048
c_1_41_63,-0.78572816,0.7502697
c_1_41_64,4.480796,2.238638
c_1_41_65,5.255001,3.9656868
c_1_41_66,0.4718574,-1.0350304
c_1_41_67,4.170997,1.5134146
c_1_41_68,0.10667573,0.7904736
c_1_41_69,1.4944997,1.2827121
c_1_41_70,1.7755347,2.0047362
c_1_41_71,-0.20371649,0.79305834
c_1_41_72,1.7333288,0.6849584
c_1_41_73,0.18269528,1.879783
c_1_41_74,5.472393,1.7208605
c_1_41_75,4.9169574,5.1534476
c_1_41_76,-1.6879454,0.39717785
c_1_41_77,2.9924896,-1.8376869
c_1_41_78,0.41108212,-0.17237003
c_1_41_79,-1.3140061,3.654204
c_1_41_80,0.07278094,-1.2359002
c_1_41_81,1.5239751,1.0676755
c_1_41_82,-0.8923255,-0.28864053
c_1_41_83,3.8580523,-2.8394957
c_1_41_84,0.34727812,1.9054631
c_1_41_85,4.2647724,2.6976514
c_1_41_86,-0.13678621,-0.50861895
c_1_41_87,2.4051595,-0.3019001
c_1_41_88,1.3093966,-0.5945483
c_1_41_89,0.40547788,-0.38590506
c_1_41_90,-0.90523195,0.65639657
c_1_41_91,0.2697728,1.2445565
c_1_41_92,-0.057330314,-0.70519394
c_1_41_93,0.3852793,-0.39753878
c_1_41_94,0.039982237,1.4728158
c_1_41_95,-1.0932546,-0.980454
c_1_41_96,0.4125706,0.9987373
c_1_41_97,-0.18744497,1.7057613
c_1_41_98,-1.7263978,0.11389177
c_1_41_99,1.804084,-0.48675716
c_1_41_100,0.44774666,0.73361385
c_1_41_101,-0.5660592,0.014652933
c_1_41_102,-0.16188069,0.30227044
c_1_41_103,0.28011018,0.557219
c_1_41_104,0.44012344,0.7500608
c_1_41_105,-2.3153474,0.601909
c_1_41_106,-0.22022852,-1.1733826
c_1_41_107,-1.5282134,-0.52683794
c_1_41_108,-0.74632573,-1.0939677
c_1_41_109,-1.4965528,-0.5614244
c_1_41_110,-1.0537279,-0.92527974
c_1_41_111,-1.0440837,0.7677073
c_1_41_112,0.8912652,0.4635069
c_1_41_113,3.133894,0.8232466
c_1_41_114,-0.16101176,0.024551416
c_1_41_115,-1.362679,0.42010528
c_1_41_116,-0.20790555,0.19877492
c_1_41_117,-0.11968764,0.60104764
c_1_41_118,0.30398893,-1.0777255
c_1_41_119,-0.9067777,-0.5427834
c_1_41_120,1.1051167,0.10118204
c_1_41_121,-0.09668302,-1.602688
c_1_41_122,2.1387162,1.0022573
c_1_41_123,-1.1908888,1.3254851
c_1_41_124,2.5242221,-0.86752
c_1_41_125,-0.42852667,0.676572
c_1_41_126,1.1860851,-2.6888561
c_1_41_127,-0.31385434,0.7818543
c_1_41_128,-0.09097325,-0.096443295
c_1_41_129,-0.8434651,0.5139882
c_1_41_130,2.0566049,-0.50798976
c_1_41_131,0.7300732,0.8585441
c_1_41_132,2.2267318,-2.4876006
c_1_41_133,-0.82742226,-1.5236787
c_1_41_134,0.44739762,-0.2734374
c_1_41_135,0.016152559,0.8571057
c_1_41_136,0.5974989,-0.5984482
c_1_41_137,0.4073397,0.62034696
c_1_41_138,-0.84312314,-0.4217012
c_1_41_139,0.54025394,-0.35098004
c_1_41_140,0.08968285,0.5907584
c_1_41_141,1.561306,-0.29939473
c_1_41_142,1.6055646,0.42645007
c_1_41_143,0.14451712,-0.6117377
c_1_41_144,0.6663703,-2.621857
c_1_41_145,0.9634008,0.10629391
c_1_41_146,2.4259071,-1.0773919
c_1_41_147,0.6022045,-1.9753308
c_1_41_148,0.35638344,-0.05123759
c_1_41_149,3.2712796,-2.1394742
c_1_41_150,0.8087538,-1.5566399
c_1_41_151,2.4017458,0.5071952
c_1_41_152,5.4525747,-4.4029326
c_1_41_153,1.9295858,-1.8855687
c_1_41_154,0.43996978,-0.3363627
c_1_41_155,0.5364717,0.6939072
c_1_41_156,2.8060741,-0.9316091
c_1_41_157,0.67330176,3.5526981
c_1_41_158,2.4909143,0.09340506
c_1_41_159,0.49422607,2.475826
c_1_41_160,1.3303405,1.8848392
c_1_41_161,-1.1419545,2.3433347
c_1_41_162,2.4911609,4.4570475
c_1_41_163,3.0083742,0.79790795
c_1_41_164,-1.4264942,3.6855352
c_1_41_165,-0.47634557,0.04539237
c_1_41_166,0.17756921,-1.0530936
c_1_41_167,4.4180856,1.0163069
c_1_41_168,4.212037,-2.1277704
c_1_41_169,-0.27155602,2.1538973
c_1_41_170,-1.0764693,0.2193175
c_1_41_171,-0.7161472,1.3487678
c_1_41_172,2.5137813,-0.8331131
c_1_41_173,0.3951661,1.3447337
c_1_41_174,-0.44416243,0.14204726
c_1_41_175,-2.0211372,0.2065658
c_1_41_176,7.7047024,-0.08599899
c_1_41_177,-1.205481,-0.025672628
c_1_41_178,0.11509903,0.53945744
c_1_41_179,-1.1772263,-1.0204341
c_1_41_180,-0.6948413,-0.082698055
c_1_41_181,-1.2149196,-0.53220576
c_1_41_182,1.2011658,0.014103609
c_1_41_183,-0.586597,-0.28467268
c_1_41_184,-0.47110534,1.128405
c_1_41_185,4.785755,-0.8735797
c_1_41_186,-0.16470803,-0.72667325
c_1_41_187,-1.5610377,0.43290073
c_1_41_188,1.4370588,-1.3807997
c_1_41_189,1.0844185,-1.3018355
c_1_41_190,-1.666396,0.13756257
c_1_41_191,0.702901,0.6359752
c_1_41_192,-2.5885248,-1.3766751
c_1_41_193,-0.23420358,0.8643468
c_1_41_194,-0.35156587,-0.06445699
c_1_41_195,-0.67537403,0.01865702
c_1_41_196,3.1271863,-1.465378
c_1_41_197,-0.68019634,0.3848296
c_1_41_198,0.8463474,-0.3758571
c_1_41_199,-0.1536269,0.66838306
c_1_41_200,0.8147936,0.60611033
c_1_41_201,0.027890718,0.72039694
c_1_41_202,-0.030266993,0.1841521
c_1_41_203,2.5010147,-0.02538262
c_1_41_204,0.32278463,0.22717175
c_1_41_205,0.1030087,-0.51974094
c_1_41_206,-0.47674242,1.3608012
c_1_41_207,-0.41626588,-0.531625
c_1_41_208,4.363012,1.672315
c_1_41_209,0.1861066,0.12468062
c_1_41_210,1.3455638,1.1300288
c_1_41_211,0.37830204,-0.27747455
c_1_41_212,4.16014,0.9645249
c_1_41_213,-1.0241287,-0.6188167
c_1_41_214,-1.7675767,2.093142
c_1_41_215,-1.1419429,-1.1053417
c_1_41_216,-0.6703769,-0.50264233
c_1_41_217,1.0075147,-0.6551744
c_1_41_218,0.10829763,0.288597
c_1_41_219,1.2614652,1.3719759
c_1_41_220,0.14324813,3.803186
c_1_41_221,3.1184022,-1.2479798
c_1_41_222,-1.303441,-0.07995442
c_1_41_224,-1.3003047,-3.1658087
c_1_41_225,1.5068601,-2.421481
c_1_41_226,0.0531305,0.16462877
c_1_41_227,-0.41090047,0.39509147
c_1_41_228,-0.5297785,0.25803354
c_1_41_229,-0.74070036,1.1370342
c_1_41_230,-0.7739661,3.5600197
c_1_41_231,1.8265667,-1.007808
c_1_41_232,-0.7750366,0.3426272
c_1_41_233,0.030884486,0.24995875
c_1_41_234,2.497754,7.178189
c_1_41_235,0.5621463,0.3078745
c_1_41_236,4.9484024,-1.0776674
c_1_41_237,-1.093512,0.16124564
c_1_41_238,-0.23322596,0.74255574
c_1_41_239,-0.9299701,0.9032494
c_1_41_240,1.5599498,-0.32823747
c_1_41_241,-0.80284214,-0.5141865
c_1_41_242,0.15611,-0.85763174
c_1_41_244,1.5153546,0.0065833963
c_1_41_245,-0.5917797,-0.27222726
c_1_41_246,-0.46718284,1.7051615
c_1_41_247,-0.33026928,-0.55663204
c_1_41_248,-0.9453031,-0.30552417
c_1_41_249,-1.0809666,0.122845136
c_1_41_250,-0.30082694,1.5099564
c_1_41_251,0.28880456,1.4422753
c_1_41_252,-0.054436028,-2.2723362
c_1_41_254,-0.9427482,-1.26102
c_1_41_255,-1.144992,-0.85662276
c_1_41_256,-0.41845143,0.9016023
c_1_41_257,-0.30858544,0.5440944
c_1_41_258,2.2847717,-2.6643343
c_1_41_259,-0.59125334,-2.6079447
c_1_41_260,-1.1935958,0.010922184
c_1_41_262,-0.39278325,-0.5683658
c_1_41_263,-0.09131912,1.5720363
c_1_41_264,2.9867473,-0.7133872
c_1_41_265,-0.59506875,0.11262549
c_1_41_266,2.6014328,-1.4146417
c_1_41_267,-0.3324626,-0.16009395
c_1_41_268,1.9340235,1.6571788
c_1_41_269,-0.7567282,-0.91796404
c_1_41_270,0.7674159,-0.42382616
c_1_41_271,-1.6771901,2.1739373
c_1_41_272,0.34930533,-1.79909
c_1_41_273,0.7500876,0.35783252
c_1_41_274,0.20782496,0.77456427
c_1_41_275,-0.3172278,-1.0231584
c_1_41_276,4.991376,0.0026370191
c_1_41_277,0.8798399,-1.6089993
c_1_41_278,6.5006056,5.288712
c_1_41_279,0.63342863,1.6681882
c_1_41_280,-1.0715889,-0.14800346
c_1_41_281,-0.8703207,0.73819137
c_1_41_282,4.1236663,-2.014748
c_1_41_283,-0.93084234,0.07917529
c_1_41_284,6.7070174,-2.188557
c_1_41_285,-0.12849009,-0.079253554
c_1_41_286,-1.2122471,-0.70267844
c_1_41_287,5.6406283,-1.0904678
c_1_41_288,3.0829773,0.24874005
c_1_41_289,-0.855421,0.20396821
c_1_41_290,0.7517231,-0.40390676
c_1_41_291,-0.75488025,-0.73519987
c_1_41_292,-0.6310503,1.2790211
c_1_41_294,-0.9539281,-0.84977347
c_1_41_295,-0.122129045,0.1292914
c_1_41_296,0.90842825,-1.5359108
c_1_41_297,-0.7878203,-1.7642206
c_1_41_298,1.7468423,-1.6969419
c_1_41_299,-1.2411524,-0.24729222
c_1_41_300,-1.2033701,0.38122535
c_1_41_301,-0.083003126,-0.991163
c_1_41_302,0.026739728,-0.04127468
c_1_41_303,1.2572542,-1.0651059
c_1_41_304,0.25683016,0.5779887
c_1_41_305,-0.8167094,2.2679162
c_1_41_306,0.48612738,-1.5125965
c_1_41_307,-1.1986939,-0.39949188
c_1_41_308,-0.29306507,-0.55966294
c_1_41_309,1.4678274,-1.1885636
c_1_41_310,-1.8094643,-0.77567816
c_1_41_311,-0.85469353,-1.1672194
c_1_41_313,3.1479828,1.2582867
c_1_41_314,1.8424412,3.0591784
c_1_41_315,-0.49946663,-0.7319112
c_1_41_318,4.867364,3.2905166
c_1_41_319,4.3601937,0.0037545103
c_1_41_321,-1.14972,0.72291917
c_1_41_322,0.22928742,1.3911505
c_1_41_323,1.6808183,1.4884074
c_1_41_324,6.5554543,5.9232945
c_1_41_329,3.7688901,2.5535097
c_1_41_330,2.2249901,-0.2880103
c_1_41_331,1.6737643,-0.36772582
c_1_41_332,9.430052,6.094367
c_1_41_333,6.788264,3.9310102
c_1_41_334,8.913214,6.989198
c_1_41_335,6.7723284,3.7414713
c_1_41_336,2.4824967,2.9149642
c_1_41_337,4.151018,6.522993
c_1_41_338,2.008981,3.1835525
c_1_41_339,1.1456122,3.5944202
c_1_41_340,1.1687158,1.4419103
c_1_41_341,2.6273897,3.9555776
c_1_41_342,1.1866062,0.64722705
c_1_41_343,5.554221,4.8485956
c_1_41_344,5.4114523,2.5439472
c_1_41_345,4.3853784,1.1789842
c_1_41_346,1.8632442,1.242816
c_1_41_347,3.7177997,5.628018
c_1_41_348,2.8703287,2.775624
c_1_41_349,7.7529883,2.5445035
c_1_41_350,11.774677,7.910096
c_1_41_351,3.1220045,3.1141946
c_1_41_352,8.137869,4.2044325
c_1_41_353,2.9746184,1.0270443
c_1_41_354,2.21328,1.7610573
c_1_41_355,5.7236285,3.5944781
c_1_41_356,-0.094959944,-0.51474714
c_1_41_357,3.819673,2.8037949
c_1_41_358,1.6735355,0.954792
c_1_41_359,-1.0950147,0.40128353
c_1_41_360,7.625372,4.124709
c_1_41_361,5.260775,4.5169883
c_1_41_362,6.5063887,6.1603727
