cell_id,PC_1,PC_2
c_1_17_1,-0.5566584,-0.7068408
c_1_17_2,-1.0803909,-0.30223787
c_1_17_6,-4.067984,-3.3312805
c_1_17_7,-0.9100121,0.09942257
c_1_17_8,0.98041403,-1.4313502
c_1_17_9,0.19995956,-0.6716318
c_1_17_10,-3.9304948,-0.6919546
c_1_17_11,0.26427072,-0.8546271
c_1_17_12,-2.3902156,1.1731488
c_1_17_13,1.2083185,0.8839554
c_1_17_14,1.8384084,1.7830547
c_1_17_15,0.80392164,0.9916994
c_1_17_16,-2.5767415,1.0980668
c_1_17_17,0.29903644,-0.48229045
c_1_17_18,0.21276422,-1.4899336
c_1_17_19,-3.404812,2.543271
c_1_17_20,-4.968012,1.2912385
c_1_17_21,-3.478154,1.0065804
c_1_17_22,-1.316656,-1.788423
c_1_17_23,-0.20890619,-1.4710743
c_1_17_24,-3.8880787,2.239549
c_1_17_25,0.3703275,-1.0798199
c_1_17_27,0.064863585,-0.19997448
c_1_17_28,-2.0999808,0.09002193
c_1_17_29,0.3852953,-0.8118991
c_1_17_30,-3.9917681,0.9410244
c_1_17_32,-2.8808088,-0.6238277
c_1_17_33,0.74595416,-1.0797302
c_1_17_34,-4.3868823,2.7628932
c_1_17_35,-2.8647647,0.5852525
c_1_17_36,1.0869181,1.1255829
c_1_17_37,-2.7036815,-0.8530041
c_1_17_38,-0.080654465,1.5907066
c_1_17_39,-6.926353,4.6954107
c_1_17_40,-3.8702455,2.363314
c_1_17_41,-1.3469568,-1.5012763
c_1_17_42,0.16386619,0.49788442
c_1_17_43,-4.1530375,3.1094549
c_1_17_44,0.18612549,-0.6928664
c_1_17_45,1.8817604,-0.26099515
c_1_17_46,-0.27478456,0.22106579
c_1_17_47,-0.94120747,-0.5527287
c_1_17_48,0.7610011,-0.8702209
c_1_17_49,-1.0309874,2.09375
c_1_17_50,0.91828483,-0.29270953
c_1_17_51,1.5702221,0.13490999
c_1_17_52,0.25330308,1.2843176
c_1_17_53,-1.2449163,-0.6668588
c_1_17_54,-0.22424558,-1.2526065
c_1_17_55,0.975869,0.4526548
c_1_17_56,0.5946928,0.89919484
c_1_17_57,-0.4948114,-0.14626125
c_1_17_58,-0.62384665,-2.4708753
c_1_17_59,-2.3012683,-2.426726
c_1_17_60,-1.128303,1.0020663
c_1_17_61,-2.550163,-0.2998801
c_1_17_62,-0.5562593,-3.0120618
c_1_17_63,-3.0445037,-0.025926566
c_1_17_64,-2.2818844,-1.1552113
c_1_17_66,-3.4932854,1.6442525
c_1_17_67,-4.1371307,0.83045423
c_1_17_68,-0.10902074,-2.8866477
c_1_17_69,-0.29319677,-1.1179355
c_1_17_72,-4.078896,1.2465453
c_1_17_73,0.9229768,0.83439165
c_1_17_74,0.062590234,-1.7149236
c_1_17_75,-0.44820833,0.47719637
c_1_17_76,-3.6931295,1.2184354
c_1_17_77,-0.30341816,1.9734964
c_1_17_78,-5.146923,2.3364563
c_1_17_80,-2.180491,-0.12119379
c_1_17_81,-1.1233232,-0.65522474
c_1_17_82,-1.5128709,-3.5066926
c_1_17_83,-1.5066048,-1.743883
c_1_17_84,1.7346557,1.6415751
c_1_17_85,2.6887305,0.7368426
c_1_17_86,0.31317148,0.2828699
c_1_17_87,-1.2207423,0.04287895
c_1_17_88,-1.9933211,-1.3941895
c_1_17_89,-2.6468422,-0.07934422
c_1_17_90,0.940965,0.077302694
c_1_17_91,-0.90755075,1.185426
c_1_17_92,0.012017948,-1.8514109
c_1_17_93,-1.0375615,-1.8219366
c_1_17_94,0.90114444,-0.8575072
c_1_17_95,-6.101685,2.261103
c_1_17_96,-4.509492,1.8810706
c_1_17_97,-0.24998678,-0.45177743
c_1_17_98,-1.0684694,-0.88672936
c_1_17_100,-0.40365252,0.44069543
c_1_17_101,-5.6598716,-5.8301687
c_1_17_102,-0.45507768,-1.441505
c_1_17_103,-0.87712324,1.2384082
c_1_17_104,-0.32000557,-2.605813
c_1_17_105,-2.1522887,-2.1827443
c_1_17_107,-5.5633693,2.0435438
c_1_17_108,-1.5044477,-0.3411288
c_1_17_109,-1.3645357,-0.5956862
c_1_17_110,1.4797137,-0.33776116
c_1_17_111,0.29936638,-1.5907257
c_1_17_113,-0.42969546,0.794569
c_1_17_114,1.0151535,-0.8863825
c_1_17_115,-1.1055274,-0.53803027
c_1_17_116,-3.906687,-1.0669574
c_1_17_117,2.0852356,2.9273922
c_1_17_118,1.8666617,1.6954416
c_1_17_120,-0.93018633,0.106534764
c_1_17_121,-2.9745388,-1.5262645
c_1_17_122,1.4469575,-0.21183355
c_1_17_123,-1.8159176,-1.4378517
c_1_17_124,-1.9169811,-1.1868192
c_1_17_125,-4.49152,1.7944714
c_1_17_126,0.21206985,1.9368455
c_1_17_127,0.78998876,0.55556655
c_1_17_128,2.3576026,-0.66689026
c_1_17_129,1.2873683,-0.34170446
c_1_17_130,-0.52461636,-2.0988803
c_1_17_131,-0.6270332,-1.2823107
c_1_17_132,-2.2902675,-1.7139118
c_1_17_133,-4.1281934,1.3911655
c_1_17_135,-1.4962014,0.09831391
c_1_17_136,0.030400632,-1.2030764
c_1_17_137,-3.5756686,1.0452689
c_1_17_138,0.7293728,-1.8080506
c_1_17_139,-0.6661611,-0.5731988
c_1_17_140,-5.1082006,0.48859882
c_1_17_141,-0.22129257,-0.98916656
c_1_17_142,-3.3474517,2.0038698
c_1_17_143,-0.27342695,-0.66868657
c_1_17_145,0.9681441,0.73598826
c_1_17_146,-0.430358,-1.4584218
c_1_17_148,-2.1418576,-0.36075905
c_1_17_149,0.38102907,-0.18230757
c_1_17_150,-1.6892847,2.7917986
c_1_17_162,0.64018905,3.8110216
c_1_17_165,1.8017368,1.8404869
c_1_17_167,0.6602516,0.8891613
c_1_17_168,-6.681746,11.733639
c_1_17_170,-0.79809016,-0.08482958
c_1_17_173,0.6056836,2.8434753
c_1_17_175,1.418522,-0.0549598
c_1_17_177,-0.31966913,1.2088671
c_1_17_181,0.52691525,0.9394184
c_1_17_182,-1.4268968,-0.942522
c_1_17_185,-0.84565634,-0.10364699
c_1_17_186,-1.083489,0.004869687
c_1_17_187,1.6058071,0.14870161
c_1_17_188,2.8062449,1.6518512
c_1_17_189,1.4295707,0.09389633
c_1_17_190,-1.3882195,-2.147578
c_1_17_193,0.35121945,-0.71797836
c_1_17_194,2.4636931,1.7770206
c_1_17_200,-3.3338356,3.6596086
c_1_17_204,1.58173,0.81846064
c_1_17_205,-1.5284523,1.2831578
c_1_17_206,-1.9236364,1.0122533
c_1_17_209,0.97747487,1.3185931
c_1_17_210,0.33701116,-0.46098715
c_1_17_211,0.035647336,0.5288733
c_1_17_213,0.38059306,-0.8477573
c_1_17_214,2.2465448,-0.26650918
c_1_17_217,-3.506341,0.6089298
c_1_17_218,1.7755455,-0.073133975
c_1_17_220,1.078173,-0.5608531
c_1_17_222,1.7918097,0.15675274
c_1_17_225,-0.59691596,1.1670651
c_1_17_226,2.1750095,0.19616307
c_1_17_228,1.3403457,-0.8372155
c_1_17_229,0.46706906,-1.8534237
c_1_17_236,1.6743073,0.26883018
c_1_17_238,0.32771564,-0.3746767
c_1_17_240,1.8791809,2.6420815
c_1_17_246,0.57581866,-0.7953368
c_1_17_247,1.9645017,1.2127339
c_1_17_248,-0.4876609,-3.0130007
c_1_17_249,1.0504965,1.8330407
c_1_17_252,-1.8789527,2.486271
c_1_17_253,0.75960225,0.28873855
c_1_17_255,-2.1908703,1.9204204
c_1_17_256,-1.563207,-0.18840031
c_1_17_257,1.7672147,0.45683277
c_1_17_263,-1.3492845,0.5077131
c_1_17_272,1.8371651,0.47866812
c_1_17_273,-1.3417678,0.9184884
c_1_17_276,1.2364285,-1.127436
c_1_17_285,0.50238484,-1.8733486
c_1_17_286,-0.01262825,-2.03908
c_1_17_287,1.9834796,0.7498846
c_1_17_288,0.19143617,0.4522778
