cell_id,UMAP_1,UMAP_2
c_1_18_1,2.1365917,0.643922
c_1_18_2,9.067833,0.91255206
c_1_18_3,5.3252234,-0.8621641
c_1_18_5,7.9525123,0.4683916
c_1_18_6,7.1942477,1.1785979
c_1_18_7,1.7276206,-0.42175442
c_1_18_8,7.6957865,1.1888638
c_1_18_9,5.849736,-3.617797
c_1_18_10,5.346223,-1.5610057
c_1_18_11,8.114079,-0.26358598
c_1_18_12,3.4658396,2.99768
c_1_18_13,5.0866957,0.31522396
c_1_18_14,6.932994,-0.06501916
c_1_18_15,5.14583,1.5257821
c_1_18_16,8.158423,0.14270636
c_1_18_17,3.4400601,-0.33682817
c_1_18_18,4.24733,-2.1523461
c_1_18_19,5.4416714,0.24399494
c_1_18_20,6.587938,0.7676464
c_1_18_21,4.215786,0.694019
c_1_18_22,3.8771844,4.149546
c_1_18_23,8.435193,0.5712229
c_1_18_24,5.403561,1.0130281
c_1_18_25,6.4433594,1.7002858
c_1_18_26,5.6477895,1.5224743
c_1_18_27,5.68256,1.6844207
c_1_18_28,3.4250927,-2.0844162
c_1_18_29,9.023008,1.3677408
c_1_18_30,6.823103,0.42701828
c_1_18_31,8.012523,2.318947
c_1_18_32,1.3578104,0.28431574
c_1_18_33,4.275221,-0.364393
c_1_18_34,5.0490117,1.0230452
c_1_18_35,7.7431774,1.5074044
c_1_18_36,6.3704066,0.2761979
c_1_18_37,4.9808764,-0.28214562
c_1_18_39,6.0408535,0.35709664
c_1_18_40,6.393162,2.722502
c_1_18_41,5.633671,1.2641556
c_1_18_42,5.329831,1.6066735
c_1_18_43,1.8807386,-0.43932864
c_1_18_44,4.1825023,0.64640206
c_1_18_45,7.208418,0.15806074
c_1_18_47,4.9543653,0.16714738
c_1_18_48,7.2148027,2.5701075
c_1_18_49,2.9552388,-1.2368231
c_1_18_50,8.247002,0.023560233
c_1_18_51,1.7539834,1.9621339
c_1_18_52,8.323835,0.3556536
c_1_18_53,7.725974,0.5138499
c_1_18_54,6.428436,1.4011421
c_1_18_55,8.001527,2.8591168
c_1_18_56,3.5898802,-1.7313287
c_1_18_57,5.7042956,0.26306158
c_1_18_58,4.9059477,1.6324564
c_1_18_59,1.2482536,0.22254623
c_1_18_60,3.0351171,-1.4128201
c_1_18_61,6.7844152,0.959559
c_1_18_62,2.7938614,0.85304075
c_1_18_63,5.9640837,3.2480762
c_1_18_64,3.6058815,3.822852
c_1_18_65,4.011958,-0.13774127
c_1_18_68,4.867922,-1.8538641
c_1_18_70,5.0611606,-3.270701
c_1_18_71,5.0964007,1.0665852
c_1_18_72,6.513818,0.6673661
c_1_18_73,5.5772643,-3.326613
c_1_18_74,5.126096,0.07483351
c_1_18_75,4.832743,-0.39831284
c_1_18_76,1.5992153,0.22396016
c_1_18_77,7.4752593,-1.5365356
c_1_18_78,4.884064,-2.1488361
c_1_18_79,4.906633,0.48380578
c_1_18_80,2.0695636,0.20732088
c_1_18_81,4.85636,-0.94685996
c_1_18_82,5.018086,-1.7701342
c_1_18_83,8.509306,0.6796867
c_1_18_84,5.91345,-3.1482115
c_1_18_85,6.2424045,-1.561901
c_1_18_86,5.504784,1.143783
c_1_18_87,3.0572374,2.133
c_1_18_88,3.3106618,0.39630023
c_1_18_89,6.1260276,-0.94459313
c_1_18_90,6.1342587,-0.57920414
c_1_18_91,7.166152,-0.12042004
c_1_18_93,6.411847,-1.8014055
c_1_18_94,2.9652703,-0.10375115
c_1_18_95,4.9384894,-0.88642055
c_1_18_96,4.094541,-3.1452723
c_1_18_97,6.7143817,-1.5658311
c_1_18_98,4.8753886,-0.73235476
c_1_18_99,6.797013,3.9282312
c_1_18_100,6.3850474,-0.9516917
c_1_18_101,5.74786,-2.4088888
c_1_18_103,8.286538,0.7036671
c_1_18_104,3.918352,-2.0926554
c_1_18_105,4.973595,-1.5945504
c_1_18_106,5.44782,-2.0829527
c_1_18_107,5.5930653,-3.0400312
c_1_18_108,5.415315,-0.4657076
c_1_18_109,5.611559,-2.583889
c_1_18_110,3.3719087,-1.899417
c_1_18_111,6.495529,-0.20543161
c_1_18_112,1.9990246,-0.51407385
c_1_18_113,6.0398874,-0.67583734
c_1_18_114,5.956083,-1.6183599
c_1_18_115,4.7422104,-0.910555
c_1_18_116,4.562084,-3.5334039
c_1_18_117,6.270887,-2.0476751
c_1_18_118,3.7207794,-2.098541
c_1_18_121,6.563611,-2.0217855
c_1_18_122,5.2572346,-3.810132
c_1_18_123,6.300681,0.7571193
c_1_18_124,8.394673,1.4701513
c_1_18_125,4.0497203,-3.0458102
c_1_18_126,3.8764834,-3.4762282
c_1_18_127,1.896922,-0.14688553
c_1_18_128,5.705692,-4.0009847
c_1_18_129,3.5616453,-0.65972614
c_1_18_130,4.6258826,-0.15332577
c_1_18_131,4.2488155,-2.3932173
c_1_18_132,4.1534896,-0.38984752
c_1_18_133,5.631434,-0.61908495
c_1_18_134,7.190362,-2.8068054
c_1_18_135,1.4444017,0.17471
c_1_18_136,4.7887177,-0.9194071
c_1_18_137,3.3401835,-2.6140206
c_1_18_138,3.0120518,-2.3701916
c_1_18_139,6.154284,-2.6010957
c_1_18_140,4.901311,-3.6944504
c_1_18_141,2.9108307,0.23393653
c_1_18_142,6.410646,0.91062814
c_1_18_143,3.735887,-3.7905066
c_1_18_144,5.622072,-2.9636517
c_1_18_145,3.0729918,4.10963
c_1_18_146,6.065333,-0.6649586
c_1_18_147,6.255342,-1.5879935
c_1_18_148,3.4465418,-2.7575567
c_1_18_150,4.55057,1.6915652
