cell_id,cell_type
c_1_18_1,Lymphoid-DC
c_1_18_2,Lymphoid-B
c_1_18_3,Epithelial
c_1_18_5,Lymphoid-DC
c_1_18_6,Lymphoid-Other
c_1_18_7,Lymphoid-T
c_1_18_8,Lymphoid-Other
c_1_18_9,Lymphoid-Other
c_1_18_10,Lymphoid-T
c_1_18_11,Lymphoid-Other
c_1_18_12,Lymphoid-Other
c_1_18_13,Lymphoid-T
c_1_18_14,Lymphoid-T
c_1_18_15,Lymphoid-Other
c_1_18_16,Lymphoid-T
c_1_18_17,Lymphoid-Other
c_1_18_18,Lymphoid-T
c_1_18_19,Lymphoid-Other
c_1_18_20,Lymphoid-T
c_1_18_21,Lymphoid-Other
c_1_18_22,Lymphoid-DC
c_1_18_23,Lymphoid-T
c_1_18_24,Lymphoid-T
c_1_18_25,Lymphoid-B
c_1_18_26,Lymphoid-B
c_1_18_27,Endothelial
c_1_18_28,Lymphoid-Other
c_1_18_29,Lymphoid-Other
c_1_18_30,Endothelial
c_1_18_31,Endothelial
c_1_18_32,Myeloid
c_1_18_33,Lymphoid-T
c_1_18_34,Lymphoid-Other
c_1_18_35,Lymphoid-T
c_1_18_36,Lymphoid-Other
c_1_18_37,Lymphoid-Other
c_1_18_39,Lymphoid-Other
c_1_18_40,Endothelial
c_1_18_41,Lymphoid-T
c_1_18_42,Lymphoid-B
c_1_18_43,Lymphoid-Other
c_1_18_44,Lymphoid-B
c_1_18_45,Lymphoid-T
c_1_18_47,Lymphoid-T
c_1_18_48,Lymphoid-Other
c_1_18_49,Lymphoid-Other
c_1_18_50,Lymphoid-T
c_1_18_51,Endothelial
c_1_18_52,Lymphoid-DC
c_1_18_53,Lymphoid-Other
c_1_18_54,Endothelial
c_1_18_55,Endothelial
c_1_18_56,Stem
c_1_18_57,Lymphoid-Other
c_1_18_58,Lymphoid-T
c_1_18_59,Myeloid
c_1_18_60,Lymphoid-Other
c_1_18_61,Lymphoid-Other
c_1_18_62,Lymphoid-Other
c_1_18_63,Endothelial
c_1_18_64,Lymphoid-B
c_1_18_65,Lymphoid-Other
c_1_18_68,Lymphoid-Other
c_1_18_70,Lymphoid-Other
c_1_18_71,Epithelial
c_1_18_72,Lymphoid-T
c_1_18_73,Epithelial
c_1_18_74,Epithelial
c_1_18_75,Lymphoid-Plasma
c_1_18_76,Lymphoid-T
c_1_18_77,Lymphoid-B
c_1_18_78,Lymphoid-T
c_1_18_79,Lymphoid-T
c_1_18_80,Stem
c_1_18_81,Lymphoid-T
c_1_18_82,Epithelial
c_1_18_83,Lymphoid-Other
c_1_18_84,Lymphoid-T
c_1_18_85,Lymphoid-T
c_1_18_86,Lymphoid-T
c_1_18_87,Epithelial
c_1_18_88,Lymphoid-T
c_1_18_89,Epithelial
c_1_18_90,Lymphoid-T
c_1_18_91,Lymphoid-T
c_1_18_93,Lymphoid-T
c_1_18_94,Mesenchymal-Stromal
c_1_18_95,Epithelial
c_1_18_96,Lymphoid-T
c_1_18_97,Lymphoid-Other
c_1_18_98,Stem
c_1_18_99,Mesenchymal-Stromal
c_1_18_100,Lymphoid-T
c_1_18_101,Lymphoid-T
c_1_18_103,Lymphoid-Other
c_1_18_104,Epithelial
c_1_18_105,Lymphoid-T
c_1_18_106,Lymphoid-T
c_1_18_107,Lymphoid-T
c_1_18_108,Lymphoid-Other
c_1_18_109,Lymphoid-T
c_1_18_110,Epithelial
c_1_18_111,Lymphoid-T
c_1_18_112,Stem
c_1_18_113,Lymphoid-T
c_1_18_114,Mesenchymal-Stromal
c_1_18_115,Lymphoid-B
c_1_18_116,Lymphoid-T
c_1_18_117,Stem
c_1_18_118,Epithelial
c_1_18_121,Lymphoid-T
c_1_18_122,Lymphoid-T
c_1_18_123,Lymphoid-T
c_1_18_124,Lymphoid-T
c_1_18_125,Lymphoid-T
c_1_18_126,Stem
c_1_18_127,Lymphoid-T
c_1_18_128,Stem
c_1_18_129,Lymphoid-Other
c_1_18_130,Lymphoid-Other
c_1_18_131,Lymphoid-T
c_1_18_132,Myeloid
c_1_18_133,Lymphoid-T
c_1_18_134,Stem
c_1_18_135,Lymphoid-T
c_1_18_136,Lymphoid-Other
c_1_18_137,Endothelial
c_1_18_138,Epithelial
c_1_18_139,Stem
c_1_18_140,Lymphoid-Other
c_1_18_141,Lymphoid-T
c_1_18_142,Lymphoid-T
c_1_18_143,Stem
c_1_18_144,Lymphoid-Other
c_1_18_145,Lymphoid-Plasma
c_1_18_146,Epithelial
c_1_18_147,Epithelial
c_1_18_148,Epithelial
c_1_18_150,Lymphoid-T
c_1_18_151,Lymphoid-T
c_1_18_152,Lymphoid-T
c_1_18_153,Lymphoid-T
c_1_18_154,Endothelial
c_1_18_155,Stem
c_1_18_156,Lymphoid-B
c_1_18_157,Lymphoid-Other
c_1_18_158,Stem
c_1_18_159,Lymphoid-T
c_1_18_161,Endothelial
c_1_18_162,Lymphoid-T
c_1_18_163,Lymphoid-T
c_1_18_164,Endothelial
c_1_18_165,Myeloid
c_1_18_166,Stem
c_1_18_167,Epithelial
c_1_18_168,Lymphoid-Other
c_1_18_169,Lymphoid-T
c_1_18_170,Lymphoid-T
c_1_18_171,Epithelial
c_1_18_172,Lymphoid-T
c_1_18_173,Lymphoid-T
c_1_18_174,Lymphoid-T
c_1_18_175,Lymphoid-Other
c_1_18_176,Lymphoid-T
c_1_18_177,Myeloid
c_1_18_178,Lymphoid-Other
c_1_18_179,Epithelial
c_1_18_180,Lymphoid-T
c_1_18_181,Lymphoid-T
c_1_18_182,Epithelial
c_1_18_183,Lymphoid-Plasma
c_1_18_184,Lymphoid-Other
c_1_18_185,Epithelial
c_1_18_186,Lymphoid-T
c_1_18_187,Endothelial
c_1_18_188,Lymphoid-Other
c_1_18_189,Lymphoid-Plasma
c_1_18_190,Endothelial
c_1_18_191,Stem
c_1_18_192,Lymphoid-Plasma
c_1_18_193,Lymphoid-B
c_1_18_194,Endothelial
c_1_18_195,Lymphoid-T
c_1_18_196,Epithelial
c_1_18_197,Mesenchymal-Stromal
c_1_18_198,Stem
c_1_18_199,Lymphoid-T
c_1_18_200,Endothelial
c_1_18_201,Stem
c_1_18_202,Lymphoid-T
c_1_18_203,Neuronal-Glial
c_1_18_204,Lymphoid-Other
c_1_18_205,Lymphoid-T
c_1_18_206,Lymphoid-T
c_1_18_207,Epithelial
c_1_18_208,Mesenchymal-Stromal
c_1_18_210,Stem
c_1_18_211,Stem
c_1_18_212,Mesenchymal-Stromal
c_1_18_213,Epithelial
c_1_18_215,Lymphoid-T
c_1_18_216,Lymphoid-T
