cell_id,UMAP_1,UMAP_2
c_1_12_1,5.518203,1.9794557
c_1_12_2,2.554292,0.8612873
c_1_12_3,-0.34740052,-0.15862721
c_1_12_4,-0.7476918,-1.9648284
c_1_12_5,1.292111,-1.7836362
c_1_12_6,4.092379,-1.7600728
c_1_12_7,1.7490928,0.8469597
c_1_12_8,3.5868433,-1.7120638
c_1_12_9,1.1156961,-0.5328867
c_1_12_10,1.6722941,-0.37704957
c_1_12_11,1.7007037,-2.5773036
c_1_12_12,2.7227836,-0.14536926
c_1_12_13,0.9835594,-0.43769383
c_1_12_14,3.9602158,-2.423433
c_1_12_15,1.2383982,0.5879661
c_1_12_16,4.812774,-1.960726
c_1_12_17,2.6670563,-0.7987064
c_1_12_18,0.56966525,-1.4606968
c_1_12_19,-0.34110767,-1.7157658
c_1_12_20,-1.2524078,-1.9477776
c_1_12_21,0.29633802,-1.2890062
c_1_12_22,0.80139035,-1.5538691
c_1_12_23,2.4422936,-1.1412393
c_1_12_24,3.046262,-0.9280584
c_1_12_25,-1.3717381,0.5859693
c_1_12_26,5.2372766,-0.7464818
c_1_12_27,1.4524086,0.1368315
c_1_12_28,3.7741904,-1.6178031
c_1_12_29,2.61531,-2.095839
c_1_12_30,0.14157204,0.38509342
c_1_12_31,2.4885173,-1.5141987
c_1_12_32,4.397264,-2.034425
c_1_12_33,3.4207463,-2.2632174
c_1_12_34,1.452575,-2.5306644
c_1_12_35,0.8028001,-2.0125332
c_1_12_36,1.1665161,-1.7708542
c_1_12_37,1.7632542,-1.0263608
c_1_12_38,2.4482713,-0.75625056
c_1_12_39,0.7770641,-0.11085485
c_1_12_40,1.3067441,-0.612907
c_1_12_41,0.45710838,-1.564231
c_1_12_42,1.0405645,0.09952892
c_1_12_43,-0.31133583,1.5041487
c_1_12_44,0.6950737,-0.35314393
c_1_12_45,1.7055656,-1.6886241
c_1_12_46,2.9276085,-2.044066
c_1_12_47,2.779011,-1.3951659
c_1_12_48,-0.40833384,0.8807357
c_1_12_49,5.0006485,-1.238745
c_1_12_50,2.495596,-2.186698
c_1_12_51,2.3067045,-0.50845003
c_1_12_52,1.4519888,0.7063404
c_1_12_53,1.4318275,-0.23544568
c_1_12_54,5.3711576,-0.35290527
c_1_12_55,1.913483,-0.9792165
c_1_12_56,2.361996,-2.0932043
c_1_12_57,2.0304937,-2.5267606
c_1_12_58,1.9550833,-0.45727155
c_1_12_59,0.46678048,-0.94179904
c_1_12_60,2.894381,-0.91521305
c_1_12_61,1.0731481,-1.0481467
c_1_12_62,0.077048086,1.082865
c_1_12_63,4.04589,-1.0273826
c_1_12_64,3.6606717,1.3733017
c_1_12_65,0.49370405,-1.4465536
c_1_12_66,4.191348,-2.6386888
c_1_12_67,0.28041852,0.8238696
c_1_12_68,3.9466248,-2.1470394
c_1_12_69,3.6401849,-2.069571
