cell_id,cell_type
c_1_12_1,Lymphoid-Other
c_1_12_2,Lymphoid-Other
c_1_12_3,Lymphoid-Other
c_1_12_4,Lymphoid-Other
c_1_12_5,Lymphoid-Other
c_1_12_6,Lymphoid-Other
c_1_12_7,Lymphoid-Other
c_1_12_8,Lymphoid-Other
c_1_12_9,Lymphoid-Other
c_1_12_10,Lymphoid-Other
c_1_12_11,Lymphoid-Other
c_1_12_12,Lymphoid-Other
c_1_12_13,Lymphoid-Other
c_1_12_14,Lymphoid-Other
c_1_12_15,Lymphoid-T
c_1_12_16,Lymphoid-Other
c_1_12_17,Lymphoid-T
c_1_12_18,Lymphoid-Other
c_1_12_19,Lymphoid-Other
c_1_12_20,Lymphoid-Other
c_1_12_21,Lymphoid-Other
c_1_12_22,Lymphoid-Other
c_1_12_23,Lymphoid-T
c_1_12_24,Lymphoid-Other
c_1_12_25,Lymphoid-Other
c_1_12_26,Lymphoid-Other
c_1_12_27,Lymphoid-T
c_1_12_28,Lymphoid-Other
c_1_12_29,Lymphoid-Other
c_1_12_30,Lymphoid-Other
c_1_12_31,Lymphoid-Other
c_1_12_32,Lymphoid-Other
c_1_12_33,Lymphoid-Other
c_1_12_34,Lymphoid-Other
c_1_12_35,Lymphoid-T
c_1_12_36,Lymphoid-Other
c_1_12_37,Lymphoid-Other
c_1_12_38,Lymphoid-Other
c_1_12_39,Lymphoid-Other
c_1_12_40,Lymphoid-Other
c_1_12_41,Lymphoid-Other
c_1_12_42,Lymphoid-T
c_1_12_43,Lymphoid-Other
c_1_12_44,Lymphoid-Other
c_1_12_45,Lymphoid-T
c_1_12_46,Lymphoid-Other
c_1_12_47,Lymphoid-Other
c_1_12_48,Lymphoid-Other
c_1_12_49,Lymphoid-Other
c_1_12_50,Lymphoid-Other
c_1_12_51,Lymphoid-T
c_1_12_52,Lymphoid-Other
c_1_12_53,Lymphoid-Other
c_1_12_54,Lymphoid-DC
c_1_12_55,Lymphoid-Other
c_1_12_56,Lymphoid-Other
c_1_12_57,Lymphoid-Other
c_1_12_58,Lymphoid-Other
c_1_12_59,Lymphoid-Other
c_1_12_60,Lymphoid-Other
c_1_12_61,Lymphoid-Other
c_1_12_62,Lymphoid-Other
c_1_12_63,Lymphoid-Other
c_1_12_64,Lymphoid-T
c_1_12_65,Lymphoid-Other
c_1_12_66,Lymphoid-Other
c_1_12_67,Lymphoid-Other
c_1_12_68,Lymphoid-Other
c_1_12_69,Lymphoid-Other
c_1_12_70,Lymphoid-Other
c_1_12_71,Lymphoid-T
c_1_12_72,Lymphoid-Other
c_1_12_73,Lymphoid-Other
