cell_id,PC_1,PC_2
c_1_40_1,0.0022836092,-0.09200398
c_1_40_2,-1.2545239,2.4593182
c_1_40_3,-5.0229263,3.226618
c_1_40_4,0.2320416,-3.4695508
c_1_40_5,-7.138716,4.5993567
c_1_40_7,1.9752053,-0.07863146
c_1_40_8,-2.224886,0.32179362
c_1_40_9,-3.3386533,2.1185043
c_1_40_10,-3.4733481,0.6466743
c_1_40_11,0.23457204,2.5653987
c_1_40_12,-1.3598975,-2.77008
c_1_40_13,-2.4587483,-5.711947
c_1_40_14,-2.666302,2.04034
c_1_40_16,-5.9568324,-0.5825659
c_1_40_17,-0.9948314,-0.25768426
c_1_40_18,-0.09836842,1.1189042
c_1_40_19,2.2472956,-1.3460418
c_1_40_20,1.6927283,-0.9273152
c_1_40_23,-4.773824,3.4097013
c_1_40_24,-2.7081532,1.5410535
c_1_40_27,-0.31178683,1.0911082
c_1_40_29,0.85282946,-0.14637262
c_1_40_30,0.35644102,-0.2315192
c_1_40_32,1.2232249,-0.6204862
c_1_40_33,-1.0452821,-1.0416445
c_1_40_35,0.10216439,-0.18197982
c_1_40_36,2.9686816,1.0853621
c_1_40_37,-4.036319,-1.1026752
c_1_40_39,-0.6272397,-0.12568091
c_1_40_40,0.60854226,-1.8044605
c_1_40_41,-0.71174616,-3.5256166
c_1_40_43,1.2303952,1.3276261
c_1_40_45,-2.4222612,-1.4589062
c_1_40_47,-2.157012,-2.426748
c_1_40_48,-1.2498702,-3.235556
c_1_40_49,1.1242644,0.60818905
c_1_40_50,-1.1693662,-2.7759113
c_1_40_51,-0.93953025,-1.4493332
c_1_40_52,-0.6997635,-0.9530645
c_1_40_53,-0.48011583,-2.5863712
c_1_40_55,-7.2850165,5.2728667
c_1_40_56,1.9473059,-0.10354956
c_1_40_57,-5.585769,4.332982
c_1_40_59,-1.4943376,-0.43297887
c_1_40_60,3.8898888,0.98527896
c_1_40_61,-0.87202865,-3.920521
c_1_40_63,-3.798689,-0.37521374
c_1_40_65,-3.1712394,-1.6384432
c_1_40_66,-2.5392003,-2.8778107
c_1_40_67,-0.8518166,-2.6160572
c_1_40_70,-3.487251,1.2528044
c_1_40_71,-0.0932349,1.6132303
c_1_40_72,-1.4429212,-5.3103466
c_1_40_73,2.3467677,1.3660263
c_1_40_74,-0.22323127,0.7034055
c_1_40_75,-1.2023054,-0.2854281
c_1_40_76,-0.24451448,-3.1497169
c_1_40_78,-3.244782,0.18012783
c_1_40_79,-4.563942,-0.1498613
c_1_40_80,-1.050555,-2.1344244
c_1_40_81,0.016615644,-2.154512
c_1_40_82,-3.144391,-0.16343944
c_1_40_83,-0.46632183,-3.6830273
c_1_40_84,-2.2786682,-1.9932356
c_1_40_85,-2.5105038,-0.9959776
c_1_40_86,-0.115588695,-0.49076158
c_1_40_87,-2.5202098,-0.1133522
c_1_40_90,0.72584486,0.038010843
c_1_40_91,-2.9422739,1.6126586
c_1_40_92,-0.8755753,-0.206025
c_1_40_93,-2.1946487,0.30467543
c_1_40_95,-5.2296863,1.2552341
c_1_40_96,-2.567701,3.6161451
c_1_40_97,-2.6789122,-0.2157277
c_1_40_98,-3.6837401,0.0881165
c_1_40_99,-0.64777106,-1.7148353
c_1_40_101,-0.8797354,-2.712563
c_1_40_102,-1.3638843,-2.4645545
c_1_40_103,2.9453282,1.8203549
c_1_40_105,1.5468233,1.5822167
c_1_40_106,-0.5797067,-0.5473138
c_1_40_109,-2.3822887,0.29643032
c_1_40_112,-0.53207093,-1.9764209
c_1_40_113,-2.4599874,-2.4541695
c_1_40_114,-0.8850171,-1.7625008
c_1_40_115,1.8978846,0.740599
c_1_40_116,0.49470335,0.36359477
c_1_40_118,-1.1999447,-1.047036
c_1_40_119,-1.248007,-2.3148932
c_1_40_120,-3.5133138,1.7249398
c_1_40_121,2.8123293,1.2612029
c_1_40_123,1.7735147,0.40362954
c_1_40_124,0.9252759,0.3000824
c_1_40_125,0.65779525,-0.99087197
c_1_40_126,2.1110659,-0.0072992137
c_1_40_127,1.6714998,0.5461926
c_1_40_128,-1.3304999,-1.2911934
c_1_40_129,-0.22789022,-3.7646804
c_1_40_130,-1.9355493,-2.3202393
c_1_40_132,-0.5442092,0.73326135
c_1_40_133,1.6445168,-0.0112772
c_1_40_134,0.66368634,-0.13578123
c_1_40_137,-2.577913,-0.52845806
c_1_40_138,1.3863051,0.55853164
c_1_40_140,-1.6035612,-1.6798947
c_1_40_141,-2.5997436,-3.455927
c_1_40_143,-2.6634407,-3.0840492
c_1_40_144,-0.95001715,-1.1823382
c_1_40_145,-1.6026055,-2.108011
c_1_40_147,2.6669056,0.6049384
c_1_40_148,-3.0615265,-0.13065965
c_1_40_149,-2.322918,-3.6967292
c_1_40_150,-4.173756,3.558271
c_1_40_151,-1.4609641,0.9269975
c_1_40_153,-1.1404523,-2.0782773
c_1_40_154,2.9013395,1.6785748
c_1_40_157,-2.313033,-1.073748
c_1_40_158,-2.8675914,0.29598114
c_1_40_160,-2.9692302,-0.7914064
c_1_40_161,-2.4061673,-0.9222724
c_1_40_162,1.1132451,-0.47987857
c_1_40_163,3.9324718,1.1041576
c_1_40_164,-2.1511302,-1.3492765
c_1_40_165,0.5545761,-0.66319996
c_1_40_166,-5.2099943,4.9518843
c_1_40_167,2.2830374,-0.96621424
c_1_40_169,2.6812983,0.3259898
c_1_40_171,1.0226008,2.4180486
c_1_40_172,1.4254694,0.4402112
c_1_40_173,1.0168544,1.6293727
c_1_40_174,3.1245816,1.0689481
c_1_40_175,-3.327201,0.8466428
c_1_40_176,0.7613097,0.37473658
c_1_40_177,1.3044635,0.11920908
c_1_40_178,2.2641096,1.9693463
c_1_40_179,2.3444984,0.59148735
c_1_40_180,-1.084458,-1.0557032
c_1_40_181,2.480289,-2.3185852
c_1_40_182,0.9406448,0.98827547
c_1_40_183,1.8283503,0.5554718
c_1_40_186,0.38023582,-0.07478606
c_1_40_187,1.4234439,0.47235057
c_1_40_188,1.946325,0.7783645
c_1_40_189,0.9663558,0.88595283
c_1_40_191,0.17235771,1.3663162
c_1_40_192,0.28349087,-0.5178284
c_1_40_193,-1.0951378,-2.6315806
c_1_40_194,1.9411336,-0.13804418
c_1_40_195,2.7217522,1.622009
c_1_40_196,1.5472562,-0.49060246
c_1_40_197,4.8544145,3.1016045
c_1_40_198,0.14648779,-0.17974854
c_1_40_199,-0.39440528,-0.48590228
c_1_40_200,-0.44142365,-1.5584954
c_1_40_201,-0.9628359,-0.9978957
c_1_40_202,-3.0660548,-1.47152
c_1_40_203,1.2806164,-0.32866248
c_1_40_204,-1.3973311,-2.1960351
c_1_40_205,2.0192735,1.0221283
c_1_40_206,0.31999424,1.7326223
c_1_40_207,2.496816,0.6393998
c_1_40_208,1.5669475,0.47794667
c_1_40_209,1.8415159,0.61559415
c_1_40_210,0.27865973,1.3896421
c_1_40_211,-1.2923183,-1.4543586
c_1_40_212,-1.1988705,-2.8125098
c_1_40_213,1.9694682,-0.438271
c_1_40_214,0.39559856,0.65528315
c_1_40_215,1.1552407,1.1108146
c_1_40_217,2.5005057,0.26063654
c_1_40_218,1.5212601,0.053092193
c_1_40_219,1.1390054,1.1907154
c_1_40_220,0.5295711,1.0530787
c_1_40_221,1.2802496,-0.17061023
c_1_40_222,1.9221548,-0.24573402
c_1_40_223,-0.26264298,-1.902506
c_1_40_224,0.47040293,0.28500563
c_1_40_225,2.5815113,0.3191992
c_1_40_226,1.5161375,1.5277721
c_1_40_227,1.2209569,0.4933983
c_1_40_228,1.5843036,0.73430985
c_1_40_229,1.6492051,-0.5026981
c_1_40_230,0.6963807,0.049616996
c_1_40_231,3.1090834,1.8990738
c_1_40_232,2.025388,-0.07041971
c_1_40_234,-1.1244857,-3.4610884
c_1_40_235,3.019316,0.7151767
c_1_40_236,1.3195971,-0.34963796
c_1_40_237,1.8899462,0.5126281
c_1_40_238,3.599448,1.3826698
c_1_40_239,-0.87537444,-1.1552675
c_1_40_240,1.7304821,0.055684745
c_1_40_241,0.80007035,0.44443306
c_1_40_242,-0.96742374,2.9998727
c_1_40_243,-0.064626336,0.24966808
c_1_40_244,1.09867,0.75153357
c_1_40_245,2.2824612,1.446057
c_1_40_246,0.14357701,-0.1859665
c_1_40_248,2.0409937,1.0149962
c_1_40_249,2.4702237,-0.0085959565
c_1_40_250,1.3031815,1.2598785
c_1_40_251,4.6301928,0.9453614
c_1_40_252,2.1996844,1.1383635
c_1_40_253,1.8366477,0.8081549
c_1_40_254,2.3239498,2.6062002
c_1_40_255,1.0082846,-0.35018617
c_1_40_256,1.5910124,1.1400357
c_1_40_257,-0.9628699,-1.6890277
c_1_40_258,1.684964,0.37263024
c_1_40_259,-6.1158395,5.6241417
c_1_40_260,-2.8130918,2.6615674
c_1_40_261,0.72933954,0.480711
c_1_40_262,1.3235558,1.211169
c_1_40_263,1.9741974,-0.1480674
c_1_40_264,1.4821084,0.6723414
c_1_40_265,0.21183825,0.75915587
c_1_40_266,1.6558214,-1.4238218
c_1_40_267,-2.8151803,-4.3383813
c_1_40_268,1.1573191,0.63285965
c_1_40_269,1.3488162,0.59390086
c_1_40_270,-0.5153826,-0.49422553
c_1_40_271,0.19600843,-0.18526068
c_1_40_272,1.0905608,-0.14427759
c_1_40_273,0.40463293,-0.5474703
c_1_40_275,-1.0527189,-1.9949987
c_1_40_276,-2.6916988,2.7308419
c_1_40_277,-0.41874093,-1.3211977
c_1_40_278,-6.700107,4.9252634
c_1_40_279,-0.8123676,-1.4691474
c_1_40_280,0.34568402,-0.045239463
c_1_40_281,0.41713727,0.31982988
c_1_40_282,0.7312361,0.035677843
c_1_40_283,0.6766278,0.30112487
c_1_40_284,0.7162356,-0.9788191
c_1_40_285,0.95777065,-0.8682962
c_1_40_287,0.43795875,0.23000403
c_1_40_289,1.5668817,-1.3653234
c_1_40_290,0.6417206,-0.887021
c_1_40_291,-2.0743487,-2.8099563
c_1_40_292,2.2006059,0.06698301
c_1_40_293,-2.6622643,0.059282426
c_1_40_294,0.40809262,0.39277348
c_1_40_295,1.1567255,1.417092
c_1_40_296,0.64709926,-0.034742277
c_1_40_297,1.6598647,0.05529866
c_1_40_298,1.5697112,0.48789433
c_1_40_299,1.8232439,0.8114589
c_1_40_300,0.28265524,1.3001217
c_1_40_301,0.86359143,-0.49384898
c_1_40_302,2.853536,0.36039606
c_1_40_303,1.7859737,-0.4672841
c_1_40_304,0.89274573,-0.4380534
c_1_40_305,1.878881,0.2599388
c_1_40_306,-1.2402984,-2.167248
c_1_40_307,1.5098058,0.31826505
c_1_40_308,-1.7675824,-2.1397007
c_1_40_309,0.5288895,-0.24064548
c_1_40_310,2.9638972,0.8812937
c_1_40_311,0.4758236,0.48331255
c_1_40_312,1.1408889,1.5540085
c_1_40_314,3.559588,1.7903675
c_1_40_315,2.1307623,0.6019619
c_1_40_316,3.3943455,0.6466358
c_1_40_318,-3.7677212,6.3768697
c_1_40_319,1.1462529,-0.29713652
c_1_40_320,1.3179944,-1.671707
c_1_40_321,0.40327725,-0.93154424
c_1_40_322,0.6979007,-0.41864225
c_1_40_323,3.7300465,1.332213
c_1_40_324,0.8972821,0.032981668
c_1_40_325,-0.4249627,0.0598487
c_1_40_326,-0.7854267,-2.6572344
c_1_40_327,1.7861179,0.44734666
c_1_40_329,1.0422697,2.3932867
c_1_40_330,-0.14519879,0.37145233
c_1_40_331,1.2279332,0.5488464
c_1_40_333,3.0876338,0.563565
c_1_40_335,3.3669488,1.099484
c_1_40_337,0.59162277,-0.5992954
c_1_40_338,0.8709644,1.6212089
c_1_40_340,3.8203864,1.7013727
c_1_40_341,-5.6398525,3.194543
c_1_40_342,-3.182771,1.5822545
c_1_40_345,1.9212872,0.5247883
c_1_40_346,1.7583674,-0.26990122
c_1_40_349,1.3586385,-0.376635
c_1_40_350,3.827047,2.7644534
c_1_40_351,2.3030095,0.54895765
c_1_40_352,0.83610034,-1.2738868
c_1_40_353,0.08169723,0.2782999
c_1_40_355,-2.93553,0.85502076
c_1_40_357,1.0739198,-0.15140471
c_1_40_359,1.548126,0.05850964
c_1_40_361,0.54068846,1.0052778
c_1_40_362,-1.9327794,-1.4629929
c_1_40_363,-1.9967489,0.009332212
c_1_40_364,0.66423833,1.0452907
c_1_40_365,-3.8945446,2.226441
c_1_40_366,2.641921,-0.6261383
c_1_40_367,0.62976867,-0.31861764
c_1_40_368,1.0686321,1.0176591
c_1_40_369,1.3007398,-0.6101419
c_1_40_370,3.2902496,3.8066523
c_1_40_371,0.054237798,0.49686664
c_1_40_372,-0.1432362,-1.1228174
c_1_40_373,2.4356327,0.67467165
c_1_40_374,1.1894103,-1.1316849
