cell_id,cell_type
c_1_14_1,Epithelial
c_1_14_2,Epithelial
c_1_14_3,Epithelial
c_1_14_4,Lymphoid-Plasma
c_1_14_5,Epithelial
c_1_14_6,Myeloid
c_1_14_7,Epithelial
c_1_14_8,Epithelial
c_1_14_9,Lymphoid-Plasma
c_1_14_10,Epithelial
c_1_14_11,Lymphoid-DC
c_1_14_12,Epithelial
c_1_14_13,Epithelial
c_1_14_14,Lymphoid-Plasma
c_1_14_15,Epithelial
c_1_14_16,Epithelial
c_1_14_17,Lymphoid-Plasma
c_1_14_18,Epithelial
c_1_14_19,Epithelial
c_1_14_20,Epithelial
c_1_14_21,Epithelial
c_1_14_22,Epithelial
c_1_14_23,Epithelial
c_1_14_24,Epithelial
c_1_14_25,Myeloid
c_1_14_26,Epithelial
c_1_14_27,Epithelial
c_1_14_28,Lymphoid-Other
c_1_14_29,Epithelial
c_1_14_30,Epithelial
c_1_14_31,Lymphoid-Plasma
c_1_14_32,Epithelial
c_1_14_33,Epithelial
c_1_14_34,Epithelial
c_1_14_35,Epithelial
c_1_14_36,Lymphoid-Plasma
c_1_14_37,Epithelial
c_1_14_38,Epithelial
c_1_14_39,Epithelial
c_1_14_40,Epithelial
c_1_14_41,Epithelial
c_1_14_42,Epithelial
c_1_14_43,Epithelial
c_1_14_44,Myeloid
c_1_14_45,Epithelial
c_1_14_46,Epithelial
c_1_14_47,Lymphoid-Plasma
c_1_14_48,Epithelial
c_1_14_49,Epithelial
c_1_14_50,Epithelial
c_1_14_51,Lymphoid-Plasma
c_1_14_52,Lymphoid-Plasma
c_1_14_53,Epithelial
c_1_14_54,Lymphoid-Plasma
c_1_14_55,Myeloid
c_1_14_56,Epithelial
c_1_14_57,Lymphoid-Plasma
c_1_14_58,Lymphoid-Plasma
c_1_14_59,Lymphoid-Plasma
c_1_14_60,Epithelial
c_1_14_61,Lymphoid-Plasma
c_1_14_62,Stem
c_1_14_63,Epithelial
c_1_14_64,Epithelial
c_1_14_65,Epithelial
c_1_14_66,Epithelial
c_1_14_67,Myeloid
c_1_14_68,Epithelial
c_1_14_69,Epithelial
c_1_14_70,Epithelial
c_1_14_71,Epithelial
c_1_14_72,Epithelial
c_1_14_73,Epithelial
c_1_14_74,Epithelial
c_1_14_75,Epithelial
c_1_14_76,Epithelial
c_1_14_77,Epithelial
c_1_14_78,Epithelial
c_1_14_79,Lymphoid-Plasma
c_1_14_80,Epithelial
c_1_14_81,Stem
c_1_14_82,Stem
c_1_14_83,Endothelial
c_1_14_84,Epithelial
c_1_14_87,Epithelial
c_1_14_88,Lymphoid-Other
c_1_14_89,Epithelial
c_1_14_90,Epithelial
c_1_14_91,Epithelial
c_1_14_92,Epithelial
c_1_14_93,Epithelial
c_1_14_94,Lymphoid-Other
c_1_14_95,Epithelial
c_1_14_96,Epithelial
c_1_14_97,Epithelial
c_1_14_98,Epithelial
c_1_14_99,Epithelial
c_1_14_100,Epithelial
c_1_14_101,Epithelial
c_1_14_102,Epithelial
c_1_14_103,Epithelial
c_1_14_104,Epithelial
c_1_14_105,Epithelial
c_1_14_106,Epithelial
c_1_14_107,Epithelial
c_1_14_108,Epithelial
c_1_14_109,Epithelial
c_1_14_110,Epithelial
c_1_14_111,Epithelial
c_1_14_112,Epithelial
c_1_14_113,Epithelial
c_1_14_114,Epithelial
c_1_14_115,Epithelial
c_1_14_116,Epithelial
c_1_14_117,Epithelial
c_1_14_118,Epithelial
c_1_14_119,Epithelial
c_1_14_120,Epithelial
c_1_14_121,Epithelial
c_1_14_122,Epithelial
c_1_14_123,Epithelial
c_1_14_124,Epithelial
c_1_14_125,Epithelial
c_1_14_126,Epithelial
c_1_14_127,Epithelial
c_1_14_128,Epithelial
c_1_14_129,Epithelial
c_1_14_130,Epithelial
c_1_14_131,Epithelial
c_1_14_132,Epithelial
c_1_14_133,Epithelial
c_1_14_134,Epithelial
c_1_14_135,Epithelial
c_1_14_136,Epithelial
c_1_14_137,Epithelial
c_1_14_138,Epithelial
c_1_14_139,Epithelial
c_1_14_140,Epithelial
c_1_14_141,Epithelial
c_1_14_142,Epithelial
c_1_14_143,Epithelial
c_1_14_144,Epithelial
c_1_14_145,Epithelial
c_1_14_146,Myeloid
c_1_14_147,Epithelial
c_1_14_148,Epithelial
c_1_14_149,Epithelial
c_1_14_150,Epithelial
c_1_14_151,Epithelial
c_1_14_152,Epithelial
c_1_14_153,Epithelial
c_1_14_154,Epithelial
c_1_14_155,Epithelial
c_1_14_156,Epithelial
c_1_14_157,Lymphoid-Other
c_1_14_158,Epithelial
c_1_14_159,Epithelial
c_1_14_160,Epithelial
c_1_14_161,Epithelial
c_1_14_162,Epithelial
c_1_14_163,Epithelial
c_1_14_164,Epithelial
c_1_14_165,Epithelial
c_1_14_166,Epithelial
c_1_14_167,Epithelial
c_1_14_168,Epithelial
c_1_14_169,Epithelial
c_1_14_170,Epithelial
c_1_14_171,Epithelial
c_1_14_172,Epithelial
c_1_14_173,Epithelial
c_1_14_174,Epithelial
c_1_14_175,Epithelial
c_1_14_176,Epithelial
c_1_14_177,Epithelial
c_1_14_178,Epithelial
c_1_14_179,Epithelial
c_1_14_180,Epithelial
c_1_14_181,Epithelial
c_1_14_182,Epithelial
c_1_14_183,Epithelial
c_1_14_184,Epithelial
c_1_14_185,Epithelial
c_1_14_186,Epithelial
c_1_14_187,Epithelial
c_1_14_188,Epithelial
c_1_14_189,Epithelial
c_1_14_190,Epithelial
c_1_14_191,Epithelial
c_1_14_192,Epithelial
c_1_14_193,Epithelial
c_1_14_194,Epithelial
c_1_14_195,Epithelial
c_1_14_196,Epithelial
c_1_14_197,Epithelial
c_1_14_198,Epithelial
c_1_14_199,Epithelial
c_1_14_200,Epithelial
c_1_14_201,Epithelial
c_1_14_202,Epithelial
c_1_14_203,Epithelial
c_1_14_204,Epithelial
c_1_14_205,Epithelial
c_1_14_206,Epithelial
c_1_14_207,Epithelial
c_1_14_208,Epithelial
c_1_14_209,Epithelial
c_1_14_210,Epithelial
c_1_14_211,Epithelial
c_1_14_212,Epithelial
c_1_14_213,Epithelial
c_1_14_214,Epithelial
c_1_14_215,Epithelial
c_1_14_216,Epithelial
c_1_14_217,Epithelial
c_1_14_218,Epithelial
c_1_14_219,Epithelial
c_1_14_220,Epithelial
c_1_14_221,Epithelial
c_1_14_222,Epithelial
c_1_14_223,Epithelial
c_1_14_224,Epithelial
c_1_14_225,Epithelial
c_1_14_226,Epithelial
c_1_14_227,Epithelial
c_1_14_228,Epithelial
c_1_14_229,Epithelial
c_1_14_230,Epithelial
c_1_14_231,Epithelial
c_1_14_232,Epithelial
c_1_14_233,Epithelial
c_1_14_234,Epithelial
c_1_14_235,Epithelial
c_1_14_236,Epithelial
c_1_14_237,Epithelial
c_1_14_238,Epithelial
c_1_14_239,Epithelial
c_1_14_240,Epithelial
c_1_14_241,Epithelial
c_1_14_242,Epithelial
c_1_14_243,Epithelial
c_1_14_244,Epithelial
c_1_14_245,Epithelial
c_1_14_246,Epithelial
c_1_14_247,Epithelial
c_1_14_248,Epithelial
c_1_14_249,Epithelial
c_1_14_250,Epithelial
c_1_14_251,Epithelial
c_1_14_253,Epithelial
c_1_14_254,Epithelial
c_1_14_255,Epithelial
c_1_14_257,Epithelial
c_1_14_258,Epithelial
c_1_14_259,Lymphoid-DC
c_1_14_260,Epithelial
c_1_14_261,Epithelial
c_1_14_262,Epithelial
c_1_14_263,Epithelial
c_1_14_264,Epithelial
c_1_14_265,Epithelial
c_1_14_266,Epithelial
c_1_14_267,Epithelial
c_1_14_268,Epithelial
c_1_14_269,Epithelial
c_1_14_270,Epithelial
c_1_14_271,Epithelial
c_1_14_272,Epithelial
c_1_14_273,Epithelial
c_1_14_274,Epithelial
c_1_14_275,Epithelial
c_1_14_276,Epithelial
c_1_14_277,Epithelial
c_1_14_278,Epithelial
c_1_14_279,Epithelial
c_1_14_280,Epithelial
c_1_14_281,Epithelial
c_1_14_282,Epithelial
c_1_14_283,Epithelial
c_1_14_284,Epithelial
c_1_14_285,Epithelial
c_1_14_286,Epithelial
c_1_14_287,Epithelial
c_1_14_289,Epithelial
c_1_14_290,Epithelial
c_1_14_291,Epithelial
c_1_14_292,Epithelial
c_1_14_293,Epithelial
c_1_14_294,Epithelial
c_1_14_295,Epithelial
c_1_14_296,Epithelial
c_1_14_297,Epithelial
c_1_14_298,Epithelial
c_1_14_300,Epithelial
c_1_14_301,Epithelial
c_1_14_302,Epithelial
c_1_14_303,Epithelial
c_1_14_304,Epithelial
c_1_14_305,Epithelial
c_1_14_306,Epithelial
c_1_14_307,Epithelial
c_1_14_308,Epithelial
c_1_14_309,Epithelial
c_1_14_310,Epithelial
c_1_14_311,Epithelial
c_1_14_312,Epithelial
c_1_14_313,Epithelial
c_1_14_314,Epithelial
c_1_14_315,Epithelial
c_1_14_316,Epithelial
c_1_14_317,Epithelial
c_1_14_318,Epithelial
c_1_14_319,Epithelial
c_1_14_320,Epithelial
c_1_14_321,Epithelial
c_1_14_322,Epithelial
c_1_14_323,Epithelial
c_1_14_324,Epithelial
c_1_14_325,Epithelial
c_1_14_326,Epithelial
c_1_14_327,Epithelial
c_1_14_328,Epithelial
c_1_14_329,Epithelial
c_1_14_330,Epithelial
c_1_14_331,Epithelial
c_1_14_332,Epithelial
c_1_14_333,Epithelial
c_1_14_334,Epithelial
c_1_14_335,Epithelial
c_1_14_336,Epithelial
c_1_14_337,Epithelial
c_1_14_338,Epithelial
c_1_14_339,Epithelial
c_1_14_340,Epithelial
c_1_14_341,Epithelial
c_1_14_342,Epithelial
c_1_14_343,Epithelial
c_1_14_344,Epithelial
c_1_14_345,Epithelial
c_1_14_346,Epithelial
c_1_14_347,Epithelial
c_1_14_348,Epithelial
c_1_14_349,Epithelial
c_1_14_350,Epithelial
c_1_14_351,Epithelial
c_1_14_352,Epithelial
c_1_14_353,Epithelial
c_1_14_354,Epithelial
c_1_14_355,Epithelial
c_1_14_356,Lymphoid-T
c_1_14_357,Epithelial
c_1_14_358,Epithelial
c_1_14_359,Epithelial
c_1_14_360,Epithelial
c_1_14_362,Lymphoid-Plasma
c_1_14_364,Lymphoid-DC
c_1_14_365,Lymphoid-Other
c_1_14_366,Lymphoid-Plasma
c_1_14_368,Lymphoid-Plasma
c_1_14_369,Lymphoid-Plasma
c_1_14_370,Lymphoid-Plasma
c_1_14_371,Lymphoid-Plasma
c_1_14_373,Lymphoid-Plasma
c_1_14_374,Lymphoid-Plasma
c_1_14_375,Lymphoid-Plasma
c_1_14_376,Lymphoid-Plasma
c_1_14_377,Mesenchymal-Stromal
c_1_14_378,Lymphoid-Plasma
c_1_14_379,Lymphoid-Plasma
c_1_14_380,Lymphoid-Plasma
c_1_14_381,Lymphoid-T
c_1_14_382,Lymphoid-Other
c_1_14_383,Lymphoid-Plasma
c_1_14_384,Lymphoid-Plasma
c_1_14_385,Lymphoid-Plasma
c_1_14_386,Myeloid
c_1_14_387,Myeloid
c_1_14_388,Lymphoid-Plasma
c_1_14_389,Lymphoid-Plasma
c_1_14_390,Lymphoid-T
c_1_14_391,Lymphoid-Other
c_1_14_392,Lymphoid-Other
c_1_14_393,Lymphoid-Plasma
c_1_14_394,Myeloid
c_1_14_395,Myeloid
c_1_14_396,Lymphoid-Other
c_1_14_397,Lymphoid-Plasma
c_1_14_398,Epithelial
c_1_14_399,Lymphoid-Plasma
c_1_14_400,Lymphoid-Plasma
c_1_14_401,Lymphoid-Plasma
c_1_14_402,Lymphoid-Plasma
c_1_14_403,Lymphoid-Other
c_1_14_404,Lymphoid-Plasma
c_1_14_405,Lymphoid-Plasma
c_1_14_406,Lymphoid-Plasma
c_1_14_407,Myeloid
c_1_14_408,Lymphoid-Plasma
c_1_14_409,Lymphoid-Plasma
c_1_14_410,Lymphoid-Other
c_1_14_411,Lymphoid-Plasma
c_1_14_412,Endothelial
c_1_14_413,Lymphoid-Plasma
c_1_14_414,Lymphoid-Plasma
c_1_14_415,Lymphoid-Plasma
c_1_14_416,Lymphoid-Plasma
c_1_14_417,Lymphoid-Plasma
c_1_14_418,Mesenchymal-Stromal
c_1_14_419,Lymphoid-Plasma
c_1_14_420,Lymphoid-Other
c_1_14_421,Lymphoid-T
c_1_14_422,Lymphoid-Plasma
c_1_14_423,Lymphoid-Plasma
c_1_14_424,Lymphoid-Plasma
c_1_14_425,Endothelial
c_1_14_426,Lymphoid-Plasma
c_1_14_427,Lymphoid-Plasma
c_1_14_428,Lymphoid-Plasma
c_1_14_429,Lymphoid-Plasma
c_1_14_430,Endothelial
c_1_14_431,Lymphoid-Plasma
c_1_14_432,Lymphoid-Plasma
c_1_14_433,Lymphoid-Plasma
c_1_14_434,Lymphoid-Plasma
c_1_14_435,Lymphoid-Plasma
c_1_14_436,Lymphoid-Plasma
c_1_14_437,Epithelial
c_1_14_438,Epithelial
c_1_14_440,Lymphoid-Plasma
c_1_14_441,Lymphoid-Plasma
c_1_14_442,Lymphoid-Plasma
c_1_14_443,Lymphoid-Plasma
c_1_14_444,Lymphoid-Plasma
c_1_14_445,Lymphoid-Plasma
c_1_14_446,Lymphoid-Plasma
c_1_14_447,Endothelial
c_1_14_448,Epithelial
c_1_14_449,Lymphoid-Plasma
c_1_14_450,Mesenchymal-Stromal
c_1_14_451,Lymphoid-Plasma
c_1_14_452,Lymphoid-Plasma
c_1_14_453,Lymphoid-Plasma
c_1_14_454,Lymphoid-Plasma
c_1_14_455,Lymphoid-Plasma
c_1_14_456,Epithelial
c_1_14_457,Lymphoid-Plasma
c_1_14_458,Lymphoid-Plasma
c_1_14_459,Lymphoid-Plasma
c_1_14_460,Lymphoid-Plasma
c_1_14_461,Lymphoid-Plasma
c_1_14_462,Lymphoid-Plasma
c_1_14_463,Lymphoid-Other
c_1_14_464,Myeloid
c_1_14_465,Epithelial
c_1_14_466,Erythroid
c_1_14_467,Myeloid
c_1_14_468,Lymphoid-Plasma
c_1_14_469,Lymphoid-Other
c_1_14_470,Lymphoid-Other
c_1_14_471,Lymphoid-Plasma
c_1_14_472,Erythroid
c_1_14_473,Epithelial
c_1_14_474,Lymphoid-Plasma
c_1_14_475,Epithelial
c_1_14_476,Lymphoid-Plasma
c_1_14_477,Epithelial
c_1_14_478,Epithelial
c_1_14_479,Lymphoid-Plasma
c_1_14_480,Lymphoid-Plasma
c_1_14_481,Lymphoid-Plasma
c_1_14_482,Lymphoid-Plasma
c_1_14_483,Lymphoid-Plasma
c_1_14_484,Lymphoid-Plasma
c_1_14_485,Lymphoid-Plasma
c_1_14_486,Lymphoid-Plasma
c_1_14_487,Epithelial
c_1_14_488,Endothelial
c_1_14_489,Lymphoid-Plasma
c_1_14_490,Lymphoid-Plasma
c_1_14_491,Lymphoid-Plasma
c_1_14_492,Lymphoid-Plasma
c_1_14_493,Lymphoid-Plasma
c_1_14_494,Lymphoid-Plasma
c_1_14_495,Lymphoid-Plasma
c_1_14_496,Lymphoid-Other
c_1_14_497,Epithelial
c_1_14_498,Lymphoid-Plasma
c_1_14_499,Lymphoid-Plasma
c_1_14_500,Lymphoid-Plasma
c_1_14_501,Stem
c_1_14_502,Lymphoid-Plasma
c_1_14_503,Lymphoid-Other
c_1_14_504,Epithelial
c_1_14_505,Lymphoid-Plasma
c_1_14_506,Myeloid
c_1_14_507,Myeloid
c_1_14_508,Lymphoid-Plasma
c_1_14_509,Lymphoid-DC
c_1_14_512,Epithelial
c_1_14_513,Lymphoid-Plasma
c_1_14_514,Epithelial
c_1_14_515,Lymphoid-Plasma
c_1_14_516,Myeloid
c_1_14_517,Lymphoid-Plasma
c_1_14_518,Lymphoid-Plasma
c_1_14_519,Lymphoid-DC
c_1_14_520,Lymphoid-Plasma
c_1_14_521,Mesenchymal-Stromal
c_1_14_522,Epithelial
