cell_id,PC_1,PC_2
c_1_6_1,0.8931861,-0.50592494
c_1_6_3,-1.3503889,0.46751007
c_1_6_4,-0.5959982,1.3320236
c_1_6_5,-3.875592,0.6377127
c_1_6_6,-3.6859183,-0.322086
c_1_6_8,-0.7988451,0.31777793
c_1_6_9,2.8253767,-0.6747099
c_1_6_10,2.2336457,0.6480119
c_1_6_12,-0.5630536,0.6648899
c_1_6_13,-0.15814823,-0.10117466
c_1_6_14,-3.6177335,0.63337296
c_1_6_15,-4.4643474,4.995116
c_1_6_17,-1.0251086,1.5547839
c_1_6_18,-1.3305067,0.6090078
c_1_6_19,-3.5965924,0.6745661
c_1_6_20,0.16948172,-0.29545543
c_1_6_21,1.403466,0.39147043
c_1_6_22,-0.9577623,0.015298777
c_1_6_23,-1.571156,-1.9308444
c_1_6_24,-0.96996844,-1.1513916
c_1_6_25,-1.6374872,0.24518222
c_1_6_26,0.28091624,0.2234835
c_1_6_28,-1.0205574,1.8303941
c_1_6_29,-2.469383,-1.6995337
c_1_6_30,-3.7065377,-5.087399
c_1_6_31,-1.8942229,3.5167847
c_1_6_32,1.8127152,-0.5459864
c_1_6_33,0.8572516,-0.48001796
c_1_6_34,0.010806268,-0.14405797
c_1_6_35,-1.5224314,-0.38706946
c_1_6_36,-2.5942345,1.3438566
c_1_6_37,0.73089087,-0.07700929
c_1_6_38,-0.7117385,-0.105837926
c_1_6_39,-3.0210903,0.60047245
c_1_6_40,-4.3189855,4.7654524
c_1_6_41,-0.4473133,2.2753103
c_1_6_42,-1.293275,1.1771125
c_1_6_43,-1.6059432,0.8924205
c_1_6_44,-2.9797876,0.05412771
c_1_6_45,-5.0502253,4.640826
c_1_6_46,-0.566038,-1.5903493
c_1_6_47,-0.69615555,-1.8858671
c_1_6_48,0.40043354,-1.0008899
c_1_6_49,-2.826095,3.3316288
c_1_6_50,2.5029511,0.3084897
c_1_6_51,-2.7882578,3.5036924
c_1_6_52,-1.3122784,-0.7347962
c_1_6_53,2.2952485,-0.6808104
c_1_6_54,-2.682663,2.4857419
c_1_6_55,1.4759511,0.25569695
c_1_6_56,-2.1479065,-0.6348532
c_1_6_57,2.318545,-0.6079123
c_1_6_58,-2.0625474,1.3747851
c_1_6_59,-2.8221853,1.2035719
c_1_6_60,-0.40399832,0.27117032
c_1_6_61,1.7391094,0.5715869
c_1_6_62,-7.031151,-7.6706934
c_1_6_63,-1.9839414,-2.4128716
c_1_6_64,1.3917531,-0.109738976
c_1_6_65,-1.569921,0.87644213
c_1_6_66,1.3108253,-0.7934111
c_1_6_67,-1.0589887,1.3565071
c_1_6_68,-5.0829225,5.667213
c_1_6_69,-2.6698854,0.14261536
c_1_6_70,-2.7384844,-0.32361117
c_1_6_71,2.1176577,-0.9456465
c_1_6_72,-0.22391747,1.0510832
c_1_6_73,-0.12392132,0.87157327
c_1_6_74,0.08705219,0.018432692
c_1_6_76,-3.684827,2.5432198
c_1_6_77,-0.68066984,0.08370609
c_1_6_79,-1.7219039,3.3260083
c_1_6_80,-3.0167527,3.3784013
c_1_6_81,-2.8298898,1.474562
c_1_6_82,-1.8500139,-0.75063515
c_1_6_83,-2.071045,0.419433
c_1_6_84,-2.3994026,4.8967896
c_1_6_85,1.3751011,-2.1806874
c_1_6_86,0.07491691,-0.37285203
c_1_6_87,0.7208085,0.637993
c_1_6_88,-0.25909165,2.184854
c_1_6_89,-2.0209308,-0.09690123
c_1_6_90,2.561899,0.5312225
c_1_6_91,-0.84533584,-0.043809373
c_1_6_92,2.2841687,-1.4518565
c_1_6_93,-3.6323526,2.3392851
c_1_6_95,-1.1488943,0.10141558
c_1_6_96,0.028169509,2.3667793
c_1_6_97,-0.12513335,1.2271394
c_1_6_98,-3.8860488,6.335256
c_1_6_99,0.19175503,-1.0053883
c_1_6_100,2.0465474,-0.7633769
c_1_6_103,1.4776582,-0.44055465
c_1_6_104,-0.08849475,-0.67762387
c_1_6_107,0.22524552,0.3111307
