cell_id,UMAP_1,UMAP_2
c_1_1_1,4.141905,5.720269
c_1_1_3,5.2519016,5.324291
c_1_1_6,5.0662365,6.8490257
c_1_1_7,7.025455,2.9814258
c_1_1_9,8.217291,1.8277371
c_1_1_10,6.5438285,8.802808
c_1_1_11,6.763755,7.8194056
c_1_1_12,5.6744046,4.8702116
c_1_1_13,2.610347,2.3181906
c_1_1_14,5.5110693,4.917399
c_1_1_15,5.195842,8.382111
c_1_1_17,1.7275985,3.291584
c_1_1_19,7.1275663,5.503297
c_1_1_20,5.8322678,6.7115607
c_1_1_21,6.486603,8.061623
c_1_1_22,7.1096983,8.691613
c_1_1_24,7.8190007,2.0092704
c_1_1_25,8.301975,6.462264
c_1_1_26,6.1972547,8.439297
c_1_1_27,0.59505165,3.7208593
c_1_1_30,7.844352,6.5256276
c_1_1_31,6.5387554,1.2195151
c_1_1_32,6.8326097,6.714693
c_1_1_34,5.7201514,7.7696657
c_1_1_36,8.582277,7.261676
c_1_1_37,5.7168984,8.275905
c_1_1_38,5.9787645,4.831749
c_1_1_40,6.826631,2.9144752
c_1_1_41,5.9343257,8.639052
c_1_1_42,6.930991,7.569299
c_1_1_43,6.9224515,5.4216266
c_1_1_45,0.990203,4.2036047
c_1_1_48,5.873272,3.8501174
c_1_1_50,8.25375,7.4069514
c_1_1_54,7.000977,7.169817
c_1_1_55,5.5747685,8.431671
c_1_1_56,5.910818,3.8927705
c_1_1_58,6.797245,7.216228
c_1_1_59,0.65988857,3.5442638
c_1_1_60,4.359872,5.695305
c_1_1_61,6.132215,3.4877572
c_1_1_64,7.1086783,5.894466
c_1_1_65,5.724496,8.361613
c_1_1_66,5.8005977,6.221547
c_1_1_67,-0.19837725,3.4744961
c_1_1_68,6.9071803,6.1011477
c_1_1_69,6.3890195,8.591328
c_1_1_70,7.8014326,5.6686573
c_1_1_71,8.412531,6.9282427
c_1_1_72,6.611437,2.0532258
c_1_1_73,4.5859437,4.2414756
c_1_1_75,5.916629,4.157386
c_1_1_76,5.131056,6.3171864
c_1_1_77,6.0403223,7.4373174
c_1_1_79,2.2690134,3.5334046
c_1_1_81,6.197611,2.956968
c_1_1_83,4.358557,3.6643345
c_1_1_86,4.378761,5.784847
c_1_1_87,7.039567,5.7767634
c_1_1_88,7.6942515,3.7766855
c_1_1_91,7.180088,3.1143498
c_1_1_93,6.7501206,6.96014
c_1_1_95,4.745453,5.357288
c_1_1_96,6.1961513,3.5062764
c_1_1_97,6.422613,7.0518126
c_1_1_98,5.7416816,4.36514
c_1_1_100,6.6480274,4.6095104
c_1_1_101,0.9306916,4.471356
c_1_1_102,6.1783957,5.5921154
c_1_1_103,7.0871882,2.6036222
c_1_1_104,8.80842,3.330382
c_1_1_106,7.2596297,3.8622694
c_1_1_107,5.56432,4.3674965
c_1_1_108,5.0377116,4.3382773
c_1_1_109,4.244329,5.4883347
c_1_1_110,5.8921785,2.3497334
c_1_1_111,5.3140793,3.9511712
c_1_1_112,5.8518405,3.132217
c_1_1_114,5.627238,3.715163
c_1_1_115,5.4668584,4.118867
c_1_1_116,7.528583,5.8182163
c_1_1_118,6.3092275,3.5169582
c_1_1_119,5.1551585,5.2484975
c_1_1_120,6.6809306,3.8700817
c_1_1_121,5.322582,4.622785
c_1_1_123,6.521318,4.1754622
c_1_1_124,4.2083354,3.5227618
c_1_1_125,5.344438,5.505999
c_1_1_126,5.258675,5.546975
c_1_1_127,4.451222,4.870526
c_1_1_128,5.23173,5.299654
c_1_1_129,5.676189,1.2827815
c_1_1_130,3.1583889,4.0983973
c_1_1_132,4.216195,3.590332
c_1_1_133,0.052748695,3.4374366
c_1_1_134,8.686091,7.7878857
c_1_1_135,8.273512,6.611075
c_1_1_136,1.1025553,3.678896
c_1_1_137,5.8230715,2.7266681
c_1_1_138,7.682413,6.015419
c_1_1_139,8.974164,3.250144
c_1_1_141,6.2614737,3.049689
c_1_1_142,7.6916547,3.193113
c_1_1_143,7.012995,8.126834
c_1_1_144,4.8230944,6.7409844
c_1_1_145,5.7829833,7.194767
c_1_1_146,6.8315206,7.6013474
c_1_1_147,6.0486836,6.4556336
c_1_1_148,5.964548,8.32034
c_1_1_149,6.1916323,6.6369324
c_1_1_150,6.233105,7.031668
c_1_1_151,6.9315953,3.5928073
c_1_1_152,6.647036,6.0621157
c_1_1_153,6.2430925,8.273153
c_1_1_155,6.367921,8.37997
c_1_1_156,7.359103,5.1314764
c_1_1_158,6.3329406,8.752259
c_1_1_162,5.773143,7.705206
c_1_1_164,5.480005,8.297808
c_1_1_165,6.3441978,5.0518765
c_1_1_166,7.3171387,6.4062862
c_1_1_169,7.0216174,7.8267927
c_1_1_170,4.630938,4.90113
c_1_1_171,6.936434,8.375439
c_1_1_172,8.381353,7.1365666
c_1_1_174,5.786868,8.403342
c_1_1_176,7.216569,7.7615414
c_1_1_177,8.397192,6.209976
c_1_1_178,4.5462646,5.8359094
c_1_1_179,6.922576,6.161472
c_1_1_181,2.169751,7.391315
c_1_1_182,5.9569163,7.072268
c_1_1_183,6.344965,8.241339
c_1_1_184,7.42834,4.568404
c_1_1_185,6.475481,8.417696
c_1_1_186,8.09186,6.711273
c_1_1_187,6.1241517,7.805105
c_1_1_188,6.275816,3.4723158
c_1_1_189,5.216277,6.7565956
c_1_1_190,7.770121,7.1448355
c_1_1_191,6.751066,7.7709875
c_1_1_192,5.699665,5.971201
c_1_1_193,6.4457765,2.7215612
c_1_1_194,6.6624107,3.5831473
c_1_1_195,5.664702,6.6832247
c_1_1_196,6.7088842,7.882947
c_1_1_197,6.4234977,8.245595
c_1_1_198,7.7332416,4.954425
c_1_1_199,7.669767,3.1438496
c_1_1_200,6.1761336,7.105472
